,famer_product_name,dimensions dxl,dimensions wxhxd,dimensions,dimensions w x h x d,dimension,approx dimensions width x height x depth,camera dimensions wxhxd,dimensions  weight,dimensions diam x length,dimensions lxwxh,housing dimensions wxhxd,dimensions_dimensions_dxl,dimensions_dxl_depth,dimensions_dxl_length,dimensions_wxhxd_second_column_width,dimensions_wxhxd_second_column_height,dimensions_wxhxd_second_column_depth,unit,dimensions_third_column_width,dimensions_third_column_height,dimensions_third_column_depth,third_column_unit,dimensions_fourth_column_width,dimensions_fourth_column_height,dimensions_fourth_column_depth,fourth_column_unit,dimensions_funf_column_width,dimensions_funf_column_height,dimensions_funf_column_depth,funf_column_unit,extracted_width,extracted_height,extracted_width_cm,extracted_height_cm
1482,colemanduo2v7wp,,3.8 x 2.5 x 1.1 in. (9.7 x 6.4 x 2.8cm),,,,,,,,,,,,,9.7 cm),6.4 cm),2.8,cm),,,,,,,,,,,,,9.7 cm),6.4 cm),9.7,6.4
2225,sonyalphaa6000,,4.8 x 2.9 x 1.8 in. (120 x 67 x 45mm),,,,,,,,,,,,,120 mm),67 mm),45,mm),,,,,,,,,,,,,120 mm),67 mm),12.0,6.7
2366,panasoniclumixdmcgx7,,4.8 x 2.7 x 2.1 in. (123 x 71 x 55mm) (excluding protrusions),,,,,,,"2.2 x 1.9"" (56 x 49mm)",,,,,,123 mm) (excluding protrusions),71 mm) (excluding protrusions),55,mm) (excluding protrusions),,,,,,,,,,,,,123 mm) (excluding protrusions),71 mm) (excluding protrusions),12.3,7.1
2396,panasoniclumixdmczs5,,,,103.3 x 59.6 x 32.6 mm\n(4.07 x 2.35 x 1.28 in),,,,,,,,,,,,,,,,,,,103.3 mm,59.6 mm,32.6,mm,,,,,103.3 mm,59.6 mm,10.33,5.96
2410,canonpowershotelph340,,"3.93 x 2.27 x 0.88"" (99.7 x 57.6 x 22.4mm)",,,,,,,,,,,,,99.7 mm),57.6 mm),22.4,mm),,,,,,,,,,,,,99.7 mm),57.6 mm),9.97,5.76
2517,nikond610,,,,Approx. 141 x 113 x 82 mm/ 5.6 x 4.4 x 3.2 in.,,,,,,,,,,,,,,,,,,,141 mm,113 mm,82,mm,,,,,141 mm,113 mm,14.1,11.3
2725,sonycybershotdscrx10,,,"[""5.12 x 3.5 x 4.12\\"" \\/ 13.00 x 8.89 x 10.46 cm""\,""5.12 x 3.5 x 4.12\\"" \\/ 13.00 x 8.89 x 10.46 cm""]",,,,,,,,,,,,,,,,13.00 cm,8.89 cm,10.46,cm,,,,,,,,,13.00 cm,8.89 cm,13.00,8.89
2734,colemanxtremec5wp,,4.0 x 2.3 x 0.82 in. (101.6 x 58.4 x 20.8mm),,,,,,,,,,,,,101.6 mm),58.4 mm),20.8,mm),,,,,,,,,,,,,101.6 mm),58.4 mm),10.16,5.84
2835,leicavlux4,,"4.9 x 3.4 x 4.3"" / 125.2 x 86.6 x 110.2 mm",,,,,,,,,,,,,125.2 mm,86.6 mm,110.2,mm,,,,,,,,,,,,,125.2 mm,86.6 mm,12.52,8.66
2941,canonpowershotelph340hsdigitalcamera9350b001,,"3.93 x 2.27 x 0.88"" (99.7 x 57.6 x 22.4mm)",,,,,,,,,,,,,99.7 mm),57.6 mm),22.4,mm),,,,,,,,,,,,,99.7 mm),57.6 mm),9.97,5.76
2959,colemanduo2v9wp,,4.0 x 2.7 x 1.1 in. (101.6 x 68.5 x 27.9mm),,,,,,,,,,,,,101.6 mm),68.5 mm),27.9,mm),,,,,,,,,,,,,101.6 mm),68.5 mm),10.16,6.85
3029,nikoncoolpixl28,,3.8 x 2.4 x 1.1 in. (95.4 x 59.8 x 29mm),,,,,,,,,,,,,95.4 mm),59.8 mm),29,mm),,,,,,,,,,,,,95.4 mm),59.8 mm),9.540000000000001,5.9799999999999995
3179,polaroidz2300,,4.6 x 3 x 1.4 in. (11.7 x 7.6 x 3.6 cm),,,,,,,,,,,,,11.7 cm),7.6 cm),3.6,cm),,,,,,,,,,,,,11.7 cm),7.6 cm),11.7,7.6
3192,sonycybershotdscs500,,,3.6 x 2.4 x 1.2 in.\n(92 x 62 x 31 mm),,,,,,,,,,,,,,,,3.6 in,2.4 in,1.2,in,,,,,,,,,3.6 in,2.4 in,9.144,6.096
3294,nikond750,,"5.5 x 4.4 x 3.1"" / 140.5 x 113.0 x 78.0 mm",,,,,,,,,,,,,140.5 mm,113.0 mm,78.0,mm,,,,,,,,,,,,,140.5 mm,113.0 mm,14.05,11.3
3364,kodakpixproastrozoomaz361,,,,"Based on CIPA Standards\: 112.7 x 81.6 x 76.7mm (4.4 x 3.2 x 3.0"")",,,,,,,,,,,,,,,,,,,112.7 mm,81.6 mm,76.7,mm,,,,,112.7 mm,81.6 mm,11.27,8.16
4011,nikon1j4,"[""Approx. 2.28 x 1.10\\"" (58 x 28 mm)""\,""Approx. 2.36 x 2.40\\"" (60 x 61 mm)""]","3.9 x 2.4 x 1.1"" / 99.5 x 60.0 x 28.5 mm excluding protrusions",,,,,,,,,,58 x 28 mm,58,28 mm,99.5 mm excluding protrusions,60.0 mm excluding protrusions,28.5,mm excluding protrusions,,,,,,,,,,,,,99.5 mm excluding protrusions,28 mm,9.95,2.8
4372,samsunggalaxydigitalcameraekgc100,,,\: 5.07 x 2.79 x 0.75 in,,,,,,,,,,,,,,,,5.07 in,2.79 in,0.75,in,,,,,,,,,5.07 in,2.79 in,12.8778,7.0866
4411,canonpowershotg7,,"4.1 x 2.4 x 1.6"" / 104.1 x 61.0 x 40.6 mm",,,,,,,,,,,,,104.1 mm,61.0 mm,40.6,mm,,,,,,,,,,,,,104.1 mm,61.0 mm,10.41,6.1
4464,nikond810,,,,"5.70 x 4.80 x 3.20"" (14.47 x 12.19 x 8.12cm)",,,,,,,,,,,,,,,,,,,14.47 cm,12.19 cm,8.12,cm,,,,,14.47 cm,12.19 cm,14.47,12.19
4708,panasoniclumixdmcgh4,,5.23 x 3.68 x 3.30 in. (132.9 x 93.4 x 83.9mm) (excluding protrusions),,,,,,,,,,,,,132.9 mm) (excluding protrusions),93.4 mm) (excluding protrusions),83.9,mm) (excluding protrusions),,,,,,,,,,,,,132.9 mm) (excluding protrusions),93.4 mm) (excluding protrusions),13.290000000000001,9.34
4816,bellhowellsplashwp10,,3.5 x 1 x 2.5 in. (8.9 x 2.5 x 6.4cm),,,,,,,,,,,,,8.9 cm),2.5 cm),6.4,cm),,,,,,,,,,,,,8.9 cm),2.5 cm),8.9,2.5
5749,lumixgh2,,,,124 x 89.6 x 75.8mm / 4.88 x 3.53 x 2.98 in (excluding protrusions),,,,,,,,,,,,,,,,,,,124 mm,89.6 mm,75.8,mm,,,,,124 mm,89.6 mm,12.4,8.959999999999999
5765,sonycybershotdscqx10,,2.5 x 2.4 x 1.2 in. (62.4 x 61.8 x 30mm),,,,,,,,,,,,,62.4 mm),61.8 mm),30,mm),,,,,,,,,,,,,62.4 mm),61.8 mm),6.24,6.18
6014,canoneosrebelt5,,"5.1 x 3.9 x 3.07"" (129.6 x 99.7 x 77.9mm)",,,,,,,,,,,,,129.6 mm),99.7 mm),77.9,mm),,,,,,,,,,,,,129.6 mm),99.7 mm),12.959999999999999,9.97
6158,nikond5300,,"4.9 x 3.9 x 3.0"" / 125.0 x 98.0 x 76.0 mm",,,,,,,,,,,,,125.0 mm,98.0 mm,76.0,mm,,,,,,,,,,,,,125.0 mm,98.0 mm,12.5,9.8
6319,usedpentaxoptioe50,,,3.8 x 2.4 x 0.9 in.\n(97 x 61 x 23 mm),,,,,,,,,,,,,,,,3.8 in,2.4 in,0.9,in,,,,,,,,,3.8 in,2.4 in,9.652,6.096
6400,casioexilimexs10,,,3.7 x 2.1 x 0.6 in.\n(94 x 55 x 15 mm),,,,,,,,,,,,,,,,3.7 in,2.1 in,0.6,in,,,,,,,,,3.7 in,2.1 in,9.398000000000001,5.3340000000000005
6587,olympusstyluszoomsp100,,4.8 x 3.6 x 5.2 in. (121 x 91 x 133mm),,,,,,,,,,,,,121 mm),91 mm),133,mm),,,,,,,,,,,,,121 mm),91 mm),12.1,9.1
6655,leicax2,,"4.88 x 2.72 x 2.03"" / 124 x 69 x 51.5 mm",,,,,,,,,,,,,124 mm,69 mm,51.5,mm,,,,,,,,,,,,,124 mm,69 mm,12.4,6.9
6691,nikoncoolpixs3500,,3.9 x 2.3 x 0.9 in. (9.7 x 5.8 x 2cm),,,,,,,,,,,,,9.7 cm),5.8 cm),2,cm),,,,,,,,,,,,,9.7 cm),5.8 cm),9.7,5.8
6696,panasoniclumixdmcts25,,4.0 x 2.3 x 0.77 in. (103.7 x 58.3 x 19.7mm),,,,,,,,,,,,,103.7 mm),58.3 mm),19.7,mm),,,,,,,,,,,,,103.7 mm),58.3 mm),10.370000000000001,5.83
7454,nikond5100,"Approx. 2.7 x 2.9"" (6.86 x 7.37 cm)","5 x 3.8 x 3.1"" / 12.70 x 9.65 x 7.87 cm",,,,,,,,,,6.86 x 7.37 cm,6.86,7.37 cm,12.70 cm,9.65 cm,7.87,cm,,,,,,,,,,,,,12.70 cm,7.37 cm,12.70,7.37
7508,unlockedsamsunggalaxydigitalcameraekgc100,,,\: 5.07 x 2.79 x 0.75 in,,,,,,,,,,,,,,,,5.07 in,2.79 in,0.75,in,,,,,,,,,5.07 in,2.79 in,12.8778,7.0866
7515,canoneos60d,"Approx. 3.0 x 4.0"" (7.62 x 10.16 cm)","5.7 x 4.2 x 3.1"" / 14.4 x 10.6 x 7.8 cm",,,,,,,,,,7.62 x 10.16 cm,7.62,10.16 cm,14.4 cm,10.6 cm,7.8,cm,,,,,,,,,,,,,14.4 cm,10.16 cm,14.4,10.16
7592,nikoncoolpixs6500,,3.8 x 2.3 x 1.1 in. (9.7 x 5.8 x 2.8cm),,,,,,,,,,,,,9.7 cm),5.8 cm),2.8,cm),,,,,,,,,,,,,9.7 cm),5.8 cm),9.7,5.8
7752,fujifilmfujixm1,,"4.6 x 2.6 x 1.5"" / 11.7 x 6.6 x 3.8 cm",,,,,,,,,,,,,11.7 cm,6.6 cm,3.8,cm,,,,,,,,,,,,,11.7 cm,6.6 cm,11.7,6.6
7787,nikond3100,,4.9 x 3.8 x 2.9 in. (124 x 97 x 74mm),,,,,,,2.9 x 3.1 in. (73 x 79mm),,,,,,124 mm),97 mm),74,mm),,,,,,,,,,,,,124 mm),97 mm),12.4,9.7
7995,canoneos700d,,,133 x 100 x 79 mm (5.24 x 3.94 x 3.11?),,,,,,,,,,,,,,,,133 mm,100 mm,79,mm,,,,,,,,,133 mm,100 mm,13.3,10.0
8145,fujifilmxm1,"Approx. 2.46 x 2.57"" (62.6 x 65.2 mm)","4.6 x 2.6 x 1.5"" / 11.7 x 6.6 x 3.8 cm",,,,,,,,,,62.6 x 65.2 mm,62.6,65.2 mm,11.7 cm,6.6 cm,3.8,cm,,,,,,,,,,,,,11.7 cm,65.2 mm,11.7,6.5200000000000005
8615,nikond3300,,4.9 x 3.9 x 3.9 in. (124 x 98 x 75.5mm),,,,,,,2.3 x 2.6 in. (59.5 x 66mm),,,,,,124 mm),98 mm),75.5,mm),,,,,,,,,,,,,124 mm),98 mm),12.4,9.8
9269,nikoncoolpixs5200,,3.8 x 2.3 x 0.8 in. (97.7 x 58.4 x 21.3mm),,,,,,,,,,,,,97.7 mm),58.4 mm),21.3,mm),,,,,,,,,,,,,97.7 mm),58.4 mm),9.77,5.84
9301,sonyalphaa7,"Approx. 2.85 x 3.27"" (72.5 x 83 mm)","5.0 x 3.7 x 1.9"" / 126.9 x 94.4 x 48.2 mm",,,,,,,,,,72.5 x 83 mm,72.5,83 mm,126.9 mm,94.4 mm,48.2,mm,,,,,,,,,,,,,126.9 mm,83 mm,12.690000000000001,8.3
9558,olympustoughtg850,,4.3 x 2.5 x 1.1 in. (10.9 x 6.4 x 2.8cm),,,,,,,,,,,,,10.9 cm),6.4 cm),2.8,cm),,,,,,,,,,,,,10.9 cm),6.4 cm),10.9,6.4
9575,canoneosrebelt5i,,,"Kit Lens\: Approx. 2.7x3.0"" (68.58x76.20 mm)\nCamera\: 5.2x3.9x3.1"" / 132.08x99.06x78.74mm",,,,,,,,,,,,,,,,132.08 mm,99.06 mm,78.74,mm,,,,,,,,,132.08 mm,99.06 mm,13.208000000000002,9.906
9594,panasoniclumixdmczs35,,4.2 x 2.4 x 1.3 in. (106.8 x 62.2 x 32.4mm),,,,,,,,,,,,,106.8 mm),62.2 mm),32.4,mm),,,,,,,,,,,,,106.8 mm),62.2 mm),10.68,6.220000000000001
9867,leicavluxtyp114,,"5.4 x 3.9 x 5.2"" / 137.2 x 99.1 x 132.1 mm",,,,,,,,,,,,,137.2 mm,99.1 mm,132.1,mm,,,,,,,,,,,,,137.2 mm,99.1 mm,13.719999999999999,9.91
9927,sonyalphaa5000,,4.3 x 2.5 x 1.4 in. (109.6 x 62.8 x 35.7mm) (body only),,,,,,,"2-5/8 x 1-3/16"" (66.7 x 30.2mm)",,,,,,109.6 mm) (body only),62.8 mm) (body only),35.7,mm) (body only),,,,,,,,,,,,,109.6 mm) (body only),62.8 mm) (body only),10.959999999999999,6.279999999999999
10974,samsungnx30,"Approx. 2.48 x 2.56"" (6.30 x 6.50 cm)","5.0 x 3.8 x 1.6"" / 127.0 x 96.5 x 40.6 mm",,,,,,,,,,6.30 x 6.50 cm,6.30,6.50 cm,127.0 mm,96.5 mm,40.6,mm,,,,,,,,,,,,,127.0 mm,6.50 cm,12.7,6.50
11240,sonyupxc200,,,"[""9.2 x 7.5 x 3.0\\"" (230x 190 x 74mm)""\,""8.0 x 3.4 x 12.2\\"" (203 x 85 x 305mm)""]",,,,,,,,,,,,,,,,230 mm,190 mm,74,mm,,,,,,,,,230 mm,190 mm,23.0,19.0
11464,samsungwb1100f,,4.9 x 3.4 x 3.8 in. (12.4 x 8.6 x 9.7cm),,,,,,,,,,,,,12.4 cm),8.6 cm),9.7,cm),,,,,,,,,,,,,12.4 cm),8.6 cm),12.4,8.6
11589,samsungnx3000,,4.6 x 2.6 x 1.5 in. (117.4 x 65.9 x 39mm),,,,,,,2.5 x 1.6 in. (64 x 39.8mm),,,,,,117.4 mm),65.9 mm),39,mm),,,,,,,,,,,,,117.4 mm),65.9 mm),11.74,6.590000000000001
11608,panasoniclumixdmczs20,,,,104.9 x 58.9 x 28.2 mm / (4.13 x 2.32 x 1.11 inch),,,,,,,,,,,,,,,,,,,104.9 mm,58.9 mm,28.2,mm,,,,,104.9 mm,58.9 mm,10.49,5.89
12039,ricohwg4,,,"1.26 x 0.94 x 0.08"" (3.20 x 2.40 x 0.21 cm)",,,,,,,,,,,,,,,,3.20 cm,2.40 cm,0.21,cm,,,,,,,,,3.20 cm,2.40 cm,3.20,2.40
12096,nikondfdigitalslrfullframecamera16,,,,Approx. 143.5 x 110 x 66.5 mm (5.6 x 4.3 x 2.6 in.),,,,,,,,,,,,,,,,,,,143.5 mm,110 mm,66.5,mm,,,,,143.5 mm,110 mm,14.35,11.0
12845,colemanxtreme2,,3.8 x 2.5 x 1 in. (95.5 x 63.6 x 24.5mm),,,,,,,,,,,,,95.5 mm),63.6 mm),24.5,mm),,,,,,,,,,,,,95.5 mm),63.6 mm),9.55,6.36
13126,inboxpanasoniclumixdmcsz3,,,,94.8 x 55.8 x 21.9 mm / (3.73 x 2.20 x 0.86 inch),,,,,,,,,,,,,,,,,,,94.8 mm,55.8 mm,21.9,mm,,,,,94.8 mm,55.8 mm,9.48,5.58
13217,sonycybershotdscw800,,,,"2 x 7/8 x 2 1/4"" (5.08 x 2.21 x 5.72cm) (Approx.)",,,,,,,,,,,,,,,,,,,5.08 cm,2.21 cm,5.72,cm,,,,,5.08 cm,2.21 cm,5.08,2.21
13592,panasoniclumixdmczs25,,,,104.9 x 58.9 x 28.7 mm / (4.13 x 2.32 x 1.13 inch),,,,,,,,,,,,,,,,,,,104.9 mm,58.9 mm,28.7,mm,,,,,104.9 mm,58.9 mm,10.49,5.89
13713,sonycdmavica4,,,5-7/16 x 3-3/4 x 4 inches\n136 x 95 x 101mm,,,,,,,,,,,,,,,,136 mm,95 mm,101,mm,,,,,,,,,136 mm,95 mm,13.6,9.5
13722,cybershotdsch300,,,,"129.6 x 95 x 122.3mm / 5.10 x 3.74 x 4.81""",,,,,,,,,,,,,,,,,,,129.6 mm,95 mm,122.3,mm,,,,,129.6 mm,95 mm,12.959999999999999,9.5
13733,canonpowershotn100,,104.5 x 67.5 x 35.8 mm,,,,,,,,,,,,,104.5 mm,67.5 mm,35.8,mm,,,,,,,,,,,,,104.5 mm,67.5 mm,10.45,6.75
13755,sonycybershotdscqx100,,2.5 x 2.5 x 2.1 in. (62.5 x 62.5 x 52.2mm),,,,,,,,,,,,,62.5 mm),62.5 mm),52.2,mm),,,,,,,,,,,,,62.5 mm),62.5 mm),6.25,6.25
13856,panasoniclumixdmclz40,,,"126 x 87 x 94 mm (4.96 x 3.43 x 3.7"")",,,,,,,,,,,,,,,,126 mm,87 mm,94,mm,,,,,,,,,126 mm,87 mm,12.6,8.7
14515,canonpowershotsx600,,4.1 x 2.4 x 1 in. (10.4 x 6.1 x 2.5cm),,,,,,,,,,,,,10.4 cm),6.1 cm),2.5,cm),,,,,,,,,,,,,10.4 cm),6.1 cm),10.4,6.1
14653,canoneosdigitalrebelxt350d,,,,4.98 x 3.71 x 2.63 in./126.5 x 94.2 x 64mm,,,,,,,,,,,,,,,,,,,4.98 in,3.71 in,2.63,in,,,,,4.98 in,3.71 in,12.6492,9.4234
14690,samsungmd46c,,,,"Without Stand\: 41.6"" x 24.3"" x 3.7"" (105.6 x 61.7 x 9.3 cm)}\nBezel Width\: 0.72"" (17.14 mm)\, 0.8"" (22.0 mm) (B)",,,,,,,,,,,,,,,,,,,105.6 cm,61.7 cm,9.3,cm,,,,,105.6 cm,61.7 cm,105.6,61.7
14830,sonycybershotdsch300,,5.1 x 3.75 x 4.1 in. (129.6 x 95 x 122.3mm),,,,,,,,,,,,,129.6 mm),95 mm),122.3,mm),,,,,,,,,,,,,129.6 mm),95 mm),12.959999999999999,9.5
14863,31tftdigitalcameracamcorderzoomdv136,,,100x55x35mm,,,,,,,,,,,,,,,,100 mm,55 mm,35,mm,,,,,,,,,100 mm,55 mm,10.0,5.5
14894,panasoniclumixgh2,,,,124 x 89.6 x 75.8mm / 4.88 x 3.53 x 2.98 in (excluding protrusions),,,,,,,,,,,,,,,,,,,124 mm,89.6 mm,75.8,mm,,,,,124 mm,89.6 mm,12.4,8.959999999999999
15465,ximeausb3,,26 x 26 x 30 mm,,,,,,,,,,,,,26 mm,26 mm,30,mm,,,,,,,,,,,,,26 mm,26 mm,2.6,2.6
16323,panasoniclumixdmczs40,,4.4 x 2.5 x 1.4 in. (110.6 x 64.3 x 34.4mm),,,,,,,,,,,,,110.6 mm),64.3 mm),34.4,mm),,,,,,,,,,,,,110.6 mm),64.3 mm),11.059999999999999,6.43
16339,panasoniclumixdmcfz200,,,,125.2 x 86.6 x 110.2 mm / (4.93 x 3.41 x 4.34 inch),,,,,,,,,,,,,,,,,,,125.2 mm,86.6 mm,110.2,mm,,,,,125.2 mm,86.6 mm,12.52,8.66
16749,samsungnxmini,"Approx. 1.97 x 0.49"" (50 x 12.5 mm)","4.3 x 2.4 x 0.9"" / 110.4 x 61.9 x 22.5 mm excluding projections",,,,,,,,,,50 x 12.5 mm,50,12.5 mm,110.4 mm excluding projections,61.9 mm excluding projections,22.5,mm excluding projections,,,,,,,,,,,,,110.4 mm excluding projections,12.5 mm,11.040000000000001,1.25
17119,blackmagicdesignproductioncamera4k,,,"6.53 x 4.45 x 4.96"" (166 x 113 x 126 mm)",,,,,,,,,,,,,,,,166 mm,113 mm,126,mm,,,,,,,,,166 mm,113 mm,16.6,11.3
18374,nikond90,,,,\: Approx. 132 X 103 X 77 Mm (5.2 X 4.1 X 3.0 In.),,,,,,,,,,,,,,,,,,,132 Mm,103 Mm,77,Mm,,,,,132 Mm,103 Mm,132,103
18946,panasoniclumixdmclf1,,"4.0 x 2.4 x 1.1"" / 10.2 x 6.1 x 2.8 cm",,,,,,,,,,,,,10.2 cm,6.1 cm,2.8,cm,,,,,,,,,,,,,10.2 cm,6.1 cm,10.2,6.1
19904,kodakeasysharez5010,,,4.6 x 3.2 x 3.1 inches,,,,,,,,,,,,,,,,4.6 inches,3.2 inches,3.1,inches,,,,,,,,,4.6 inches,3.2 inches,11.684,8.128
20367,canonpowershotsx110,,,,4.35 x 2.77 x 1.76 in./110.6 x 70.4 x 44.7mm,,,,,,,,,,,,,,,,,,,4.35 in,2.77 in,1.76,in,,,,,4.35 in,2.77 in,11.049,7.0358
20557,sonyalphanex55k,"Approx. 2.44 x 2.36"" (6.20 x 5.99 cm)","4.4 x 2.3 x 1.5"" / 11.1 x 5.9 x 3.8 cm",,,,,,,,,,6.20 x 5.99 cm,6.20,5.99 cm,11.1 cm,5.9 cm,3.8,cm,,,,,,,,,,,,,11.1 cm,5.99 cm,11.1,5.99
20730,leicactype112,,"4.1 x 2.5 x 1.1"" / 103.0 x 63.0 x 28.0 mm",,,,,,,,,,,,,103.0 mm,63.0 mm,28.0,mm,,,,,,,,,,,,,103.0 mm,63.0 mm,10.3,6.3
