;key;source;famer_brand_list;famer_model_list;famer_product_name;digital zoom;optical zoom;weight;sensor type;dimensions;optical sensor resolution in megapixel;other resolution;weight without battery;weight;weight_with_battery;weight_without_battery
113;5f3ba61e3fd5b671b22005da;www.price-hunt.com;canon;g15;canonpowershotg15;4x;5x;352 g (with Battery and Memory Card)\, 310 g (Camera Body Only);CMOS;) x 40.1 (d) mm\, 106.6 (w) x 75.9 (h;12.1 Megapixels;640 x 480 (Small)\, 1600 x 1200 (Medium 2)\, 4000 x 3000 (Raw)\, 2816 x 2112 (Medium 1);;352 g (with Battery and Memory Card)\, 310 g (Camera Body Only);352;310
114;5f3ba61e3fd5b671b22005e6;www.price-hunt.com;panasonic;s3;panasoniclumixdmcs3;4x;4x;117 g;CCD;) x 20.9 (d) mm\, 98.8 (w) x 58.8 (h;14.1 Megapixels;;;117 g;117;
115;5f3ba61e3fd5b671b22005e7;www.price-hunt.com;fujifilm;ax650;fujifilmfinepixax650;7.2x;5x;168 g (with Battery and Memory Card)\, 119 g (Without Battery and Memory Card);CCD;) x 27.8 (d) mm\, 93.0 (w) x 60.2 (h;16 Megapixels;Still Image Large\: 4\:3 Aspect Ratio 4608 x 3440\, 16\:9 Aspect Ratio 1920 x 1080\, 3\:2 Aspect Ratio 4608 x 3072\, Movie Recording\: 1280 x 720p\, 16\:9 Aspect Ratio 3072 x 1728\, 320 x 240p (30 Fps)\, 640 x 480p\, Small\: 4\:3 Aspect Ratio 2304 x 1728\, 16\:9 Aspect Ratio 4608 x 2592\, Medium\: 4\:3 Aspect Ratio 3264 x 2448;;168 g (with Battery and Memory Card)\, 119 g (Without Battery and Memory Card);168;119
116;5f3ba61e3fd5b671b22005e9;www.price-hunt.com;panasonic;tz18;panasoniclumixdmctz18;4x;16x;210 g;Mos;) x 33.4 (d) mm\, 104.9 (w) x 57.6 (h;14.1 Megapixels;;;210 g;210;
117;5f3ba61e3fd5b671b22005eb;www.price-hunt.com;sony;w810;sonycybershotdscw810;;6x;120 g (with Battery and Memory Stick);Super had CCD;93.1 (w) x 52.5 (h\, ) x 22.5 (d) mm;20.1 Megapixels;Sweep Panorama 360 (11520 x 1080)\, 4608 x 2592 (12 m)\, Sweep Panorama Standard (4912 x 1080 / 3424 x 1920)\, Movie Recording\: vga 640 x 480 / 30 Fps\, 16\:9 Aspect Ratio\: 1920 x 1080 (2 m)\, Sweep Panorama Wide (7152 x 1080 / 4912 x 1920)\, vga 640 x 480\, Image Recording\: 4\:3 Aspect Ratio\: 3648 x 2736 (10 m)\, 1280 x 720 / 30 Fps\, QVGA 320 x 240 / 30 Fps\, 2592 x 1944 (5 m);104.0;120 g (with Battery and Memory Stick);120;
118;5f3ba61e3fd5b671b22005f8;www.price-hunt.com;canon;a4000;canonpowershota4000;4x;8x;145 g (with Battery and Memory Card)\, 130 g (Camera Body Only);CCD;95.3 (w) x 56.3 (h\, ) x 24.3 (d) mm;16.0 Megapixels;640 x 480 (s)\, 4608 x 2592 (Widescreen)\, 1600 x 1200 (m 2)\, Still Image\: 3264 x 2448 (m 1);;145 g (with Battery and Memory Card)\, 130 g (Camera Body Only);145;
119;5f3ba61e3fd5b671b22005fa;www.price-hunt.com;benq;d35;benqd35;10x;;223 g to 233 g (Without Battery and SD Memory Card);CMOS;45.7 (w) x 67.6 (h) x 121.2 (d) mm;5 Megapixels;Still Image\: 4\:3 Aspect Ratio 4000 x 3000 (12 m)\, 2592 x 1944 (5 m)\, 1664 x 1248 (2 m)\, Video Format\: 1280 x 720\, 30 fps (720p)\, WVGA 848 x 480\, 30 Fps\, WVGA 60 Fps\: 848 x 480\, 60 fps;;223 g to 233 g (Without Battery and SD Memory Card);;233
120;5f3ba61e3fd5b671b2200602;www.price-hunt.com;nikon;s01;nikoncoolpixs01;4x;3x;96 g;CCD;) x 17.2 (d) mm\, 77.0 (w) x 51.2 (h;10.1 Megapixels;4 Megapixel (2272 x 1704)\, 2 Megapixel (1600 x 1200);;96 g;;96
121;5f3ba61e3fd5b671b2200615;www.price-hunt.com;sony;a57;sonyslta57;4x;;539 g (Without Battery\, Memory Card or Accessories);HD CMOS;132.1 (w) x 97.5 (h) x 80.7 (d) mm;16.1 Megapixels;Still Image (3\:2)\: 3568 x 2368 (8.4 m)\, 2448 x 1624 (4.0 m)\, Still Image (16\:9)\: 4912 x 2760 (14 m)\, 3568 x 2000 (7.1 m)\, 2448 x 1376 (3.4 m)\, Sweep Panorama (Wide)\: 12416 x 1856 (Horizontal\, 23 m)\, 2160 x 5536 (Vertical\, 12 m)\, Sweep Panorama (Standard)\: 8192 x 1856 (Horizontal\, 15 m)\, 2160 x 3872 (Vertical\, 8.4 m)\, 3d Sweep Panorama (Wide)\: 7152 x 1080 (7.7 m)\, 3d Sweep Panorama (Standard)\: 4912 x 1080 (5.3 m)\, 1920 x 1080 (16\:9\, 2.1 m);;539 g (Without Battery\, Memory Card or Accessories);;539
122;5f3ba61e3fd5b671b2200623;www.price-hunt.com;fujifilm;j40;fujifilmfinepixj40;5.7x;3x;113 g;CCD;92.0 (w) x 55.9 (h\, ) x 20.0 (d) mm;12.2 Megapixels;;;113 g;113;
123;5f3ba61e3fd5b671b2200636;www.price-hunt.com;ricoh;wg20;ricohwg20;6.7x;5x;164 g;CCD;) x 28.5 (d) mm\, 115.5 (w) x 58.5 (h;14 Megapixels;;143.0;164 g;164;
124;5f3ba61e3fd5b671b2200647;www.price-hunt.com;samsung;es80;samsunges80;Still Image Mode \: 1.0x ~ 3.0x Play Mode \: 1.0x ~ 12.5x (Depends on Image Size);5x;124.8 g;CCD;) x 20.8 (d) mm\, 97.0 (w) x 58.0 (h;12.2 Megapixels;;;124.8 g;124;
125;5f3ba61e3fd5b671b2200648;www.price-hunt.com;nikon;d700;nikond700;;;995 g (Without Battery\, Memory Card or Body Cap);CMOS;147 (w) x 123 (h) x 77 (d) mm;12.1 Megapixels;3184 x 2120 (m)\, dx Format (2784 x 1848 (l)\, 2128 x 1416 (s)\, 2080 x 1384 (m)\, 1392 x 920 (s));;995 g (Without Battery\, Memory Card or Body Cap);;995
126;5f3ba61e3fd5b671b2200654;www.price-hunt.com;fujifilm;s3300;fujifilmfinepixs3300;6.7x;26x;540 g;CCD;118.0 (w) x 80.9 (h) x 99.8 (d) mm;14 Megapixels;;;540 g;540;
127;5f3ba61e3fd5b671b2200655;www.price-hunt.com;olympus;m1;olympusomdem1;;;497 g (Cipa Guideline Compliant\, with Bln-1 Battery\, Memory Card);Mos;130.4 (w) x 93.5 (h) x 63.1 (d) mm;16.3 Megapixels;;443.0;497 g (Cipa Guideline Compliant\, with Bln-1 Battery\, Memory Card);497;
128;5f3ba61e3fd5b671b2200657;www.price-hunt.com;sony;a77v;sonyalphaslta77v;;;;Exmor aps HD CMOS;142.6 (w) x 104 (h) x 80.9 (d) mm;24.3 Megapixels;Recording (Movie)\: (Image Size (Avchd)\: 1920 x 1080 (50 Fps\, 28 Mbps\, ps\, 50i\, 24 Mbps\, fx\, 50i\, 17 Mbps\, fh\, 25 Fps\, 24 Mbps\, fx\, 25 Fps\, 17 Mbps\, Fh)\, Image Size (MP4)\: 1440 x 1080 (25 Fps\, Average...\nRead More\nRecording (Movie)\: (Image Size (Avchd)\: 1920 x 1080 (50 Fps\, 28 Mbps\, ps\, 50i\, 24 Mbps\, fx\, 50i\, 17 Mbps\, fh\, 25 Fps\, 24 Mbps\, fx\, 25 Fps\, 17 Mbps\, Fh)\, Image Size (MP4)\: 1440 x 1080 (25 Fps\, Average bit Rate 12 Mbps)\, 640 x 480 (25 Fps\, Average bit Rate 3 Mbps))\nRead Less;653.0;;;
129;5f3ba61e3fd5b671b220065e;www.price-hunt.com;yourdeal;sj4000;yourdealsj4000;4x;;100;CMOS;;12 mp;;;100;100;
130;5f3ba61e3fd5b671b220065f;www.price-hunt.com;sony;6l;sonynex6l;;;345 g (with Battery and Memory Stick pro Duo);Exmor aps HD CMOS;119.9 (w) x 66.9 (h) x 42.6 (d) mm;16.1 Megapixels;Recording (Movie)\: (Image Size (Avchd)\: 1920 x 1080 (50 Fps\, 28 Mbps\, ps\, 50i\, 24 Mbps\, fx\, 50i\, 17 Mbps\, fh\, 25 Fps\, 24 Mbps\, fx\, 25 Fps\, 17 Mbps\, Fh)\, Image Size (MP4)\: 1440 x 1080 (25 Fps\, 12...\nRead More\nRecording (Movie)\: (Image Size (Avchd)\: 1920 x 1080 (50 Fps\, 28 Mbps\, ps\, 50i\, 24 Mbps\, fx\, 50i\, 17 Mbps\, fh\, 25 Fps\, 24 Mbps\, fx\, 25 Fps\, 17 Mbps\, Fh)\, Image Size (MP4)\: 1440 x 1080 (25 Fps\, 12 Mbps)\, Image Size (Vga)\: 640 x 480 (25 Fps\, 3 Mbps))\nRead Less;287.0;345 g (with Battery and Memory Stick pro Duo);345;
131;5f3ba61e3fd5b671b2200662;www.price-hunt.com;sony;a58m;sonyalphaslta58m;;;492 g (Body Only)\, 573 g (with Battery and Memory Card);HD CMOS;128.6 (w) x 95.5 (h) x 77.7 (d) mm;20.1 Megapixels;Image Size\: 3\:2 Aspect Ratio 3872 x 2576 (10 m)\, 2736 x 1824 (5 m)\, 16\:9 Aspect Ratio\: 5456 x 3064 (17 m)\, 3872 x 2176 (8.4 m)\, 2736 x 1536 (4.2 m)\, Sweep Panorama (Wide) Horizontal (23 m)\: 12416 x...\nRead More\nImage Size\: 3\:2 Aspect Ratio 3872 x 2576 (10 m)\, 2736 x 1824 (5 m)\, 16\:9 Aspect Ratio\: 5456 x 3064 (17 m)\, 3872 x 2176 (8.4 m)\, 2736 x 1536 (4.2 m)\, Sweep Panorama (Wide) Horizontal (23 m)\: 12416 x 1856\, Vertical (12 m)\: 5536 x 2160\, Sweep Panorama (Standard) Horizontal (15 m)\: 8192 x 1856\, Vertical (8.4 m)\: 3872 x 2160\nRead Less;;492 g (Body Only)\, 573 g (with Battery and Memory Card);573;
132;5f3ba61e3fd5b671b2200667;www.price-hunt.com;wespro;dv540;wesprodv540;4x;;;CMOS;;10 mp;;;;;
133;5f3ba61e3fd5b671b2200670;www.price-hunt.com;kodak;m531;kodakeasysharem531;5x;3x;130 g (with Batteries and SD Card);CCD;93.7 (w) x 56.7 (h\, ) x 22.7 (d) mm;14 Megapixels;;;130 g (with Batteries and SD Card);130;
134;5f3ba61e3fd5b671b2200671;www.price-hunt.com;sony;5tl;sonynex5tl;4x;;218 g;Exmor aps HD CMOS Sensor;;16.1 Megapixels;;;218 g;218;
135;5f3ba61e3fd5b671b2200688;www.price-hunt.com;nikon;l830;nikoncoolpixl830;4x;34x;508 g (with Battery and SD Memory Card);Bsi CMOS;) x 91.2 (d) mm\, 111 (w) x 75.8 (h;16 Megapixels;;;508 g (with Battery and SD Memory Card);508;
136;5f3ba61e3fd5b671b2200693;www.price-hunt.com;olympus;pl3;olympuspenliteepl3;;;313g (Including Battery and Memory Card) / 265g (Body Only);High Speed Live mos;109.5 (w) x 63.7 (h) x 37.3 (d) mm;12.3 Megapixels;;;313g (Including Battery and Memory Card) / 265g (Body Only);;
1860;5f3ba61e3fd5b671b2200555;www.price-hunt.com;fujifilm;x20;fujifilmfinepixx20;2x;4x;333 g (Without Battery and Memory Card)\, 353 g (with Battery and Memory Card);X-Trans CMOS ii;117.0 (w) x 69.6 (h) x 56.8 (d) mm;12.0 Megapixels;Recorded Pixels Large\: 4\:3 Aspect Ratio 4000 x 3000\, 3\:2 Aspect Ratio 4000 x 2664\, 16\:9 Aspect Ratio 4000 x 2248\, 1\:1 Aspect Ratio 2992 x 2992\, Medium\: 4\:3 Aspect Ratio 2816 x 2112\, 3\:2 Aspect Ratio 2816 x 1864\, 16\:9 Aspect Ratio 2816 x 1584\, 1\:1 Aspect Ratio 2112 x 2112\, Small\: 4\:3 Aspect Ratio 2048 x 1536\, 3\:2 Aspect Ratio 2048 x 1360\, 16\:9 Aspect Ratio 1920 x 1080\, 1\:1 Aspect Ratio 1536 x 1536\, Movie Recording\: 1920 x 1080 / 1280 x 720 (60 Fps) / 640 x 480 (30 Fps) with Stereo Sound;;333 g (Without Battery and Memory Card)\, 353 g (with Battery and Memory Card);353;333
1861;5f3ba61e3fd5b671b220056e;www.price-hunt.com;fujifilm;jz300;fujifilmfinepixjz300;6x;10x;168 g;CCD;) x 29 (d) mm\, 97 (w) x 57 (h;12.1 Megapixels;;;168 g;168;
1862;5f3ba61e3fd5b671b2200577;www.price-hunt.com;canon;a2500;canonpowershota2500;4x;5x;125 g (with Batteries and Memory Card);CCD;97.7 (w) x 56.0 (h) x 20.9 (d) mm;16 Megapixels;25 Fps\, 4608 x 2592 (w)\, 1600 x 1200 (M2)\, Resize in Playback (m2\, s)\, Movies\: 1280 x 720\, (l) 640 x 480\, Miniature Effect\: (5\, 2.5\, 1.25 Fps) or l (6\, 3\, 1.5 Fps)\, 640 x 480 (s)\, Image Size\: 3264 x 2448 (M1)\, 30 fps;;125 g (with Batteries and Memory Card);125;
1863;5f3ba61e3fd5b671b220057c;www.price-hunt.com;fujifilm;x10;fujifilmxseriesx10;2x;4x;;;;12 mp;;;;;
1864;5f3ba61e3fd5b671b220059b;www.price-hunt.com;aiptek;1;aiptek1;5x;5x;800 g;CMOS;84 (w) x 48 (h) x 120 (l) mm;;2560 x 1920 (5 m)\, 2048 x 1536 (3 m)\, 5292 x 1944 (CMOS);;800 g;800;
1865;5f3ba61e3fd5b671b22005a3;www.price-hunt.com;nikon;d5300;nikond5300;;;480 g (Body Only)\, 530 g (with Battery and Memory Card but Without Body Cap);CMOS;125 (w) x 98 (h) x 76 (d) mm;24.2 Megapixels;4496 x 3000 (Medium)\, 2992 x 2000 (Small);;480 g (Body Only)\, 530 g (with Battery and Memory Card but Without Body Cap);530;480
1866;5f3ba61e3fd5b671b22005ab;www.price-hunt.com;olympus;xz1;olympusxz1;16x;4x;275 g;CCD;110.6 (w) x 64.8 (h) x 42.3 (d) mm;10 Megapixels;;;275 g;275;
1867;5f3ba61e3fd5b671b22005ad;www.price-hunt.com;sony;a35k;sonyslta35k;;;433 g;Exmor aps HD CMOS;124.4 (w) x 92 (h) x 84.7 (d) mm;16.2 Megapixels;;;433 g;433;
1868;5f3ba61e3fd5b671b22005b3;www.price-hunt.com;panasonic;v100;panasonichcv100;;34x;181 g (Without Battery and Memory Card);CMOS;51.5 (w) x 59.5 (h) x 112.5 (d) mm;1.3 Megapixels;;;181 g (Without Battery and Memory Card);;181
1869;5f3ba61e3fd5b671b22005b7;www.price-hunt.com;sony;7k;sonyilce7k;2x;;474 g (with Battery and Memory Stick pro Duo);Exmor CMOS;126.9 (w) x 94.4 (h) x 48.2 (d) mm;24.3 Megapixels;;416.0;474 g (with Battery and Memory Stick pro Duo);474;
1870;5f3ba61e3fd5b671b22005b8;www.price-hunt.com;panasonic;s15;panasonicsdrs15;10x - 700x;10x;165 g;CCD;43 (w) x 59 (h) x 102 (d) mm;0.8 Megapixels;;;165 g;165;
1871;5f3ba61e3fd5b671b22005d6;www.price-hunt.com;ricoh;wg4;ricohwg4;7.2x;4x;236 g (with Battery and SD Card);CMOS;125 (w) x 64.5 (h\, ) x 32 (d) mm;16 Megapixels;;216.0;236 g (with Battery and SD Card);236;
1872;5f3ba61e3fd5b671b22005fc;www.price-hunt.com;sony;cx240eb;sonyhdrcx240eb;320x;27x;190 g;CMOS;;9.2 Megapixels;;;190 g;190;
1873;5f3ba61e3fd5b671b2200601;www.price-hunt.com;canon;s110;canonpowershots110;4x;5x;198 g (with Battery and Memory Card)\, 173 g (Camera Body Only);CMOS;98.8 (w) x 59 (h\, ) x 26.9 (d) mm;12.1 Megapixels;4000 x 3000 (Raw)\, 1600 x 1200 (Medium 2)\, 2816 x 2112 (Medium 1)\, 640 x 480 (Small);;198 g (with Battery and Memory Card)\, 173 g (Camera Body Only);198;173
1874;5f3ba61e3fd5b671b220060b;www.price-hunt.com;sony;qx100;sonydscqx100;;3.6x;90 g (Main Unit)\, 179 g (with Battery and Memory Stick);Exr CMOS;;20 Megapixels;Small\: 1920 x 1920 (3.7 m)\, 1\:1\: Large 3648 x 3648 (13 m)\, Video Mode\: MP4 - 1440 x 1080\, 30 fps (12 m)\, 4\:3\: Large 4864 x 3648 (18 m)\, Still Image Size 16\:9\: Small 2720 x 1528 (4.2 m)\, 3\:2\: Large 5472 x 3648 (20 m) Small\: 2736 x 1824 (5 m)\, Small\: 2592 x 1944 (5 m);;90 g (Main Unit)\, 179 g (with Battery and Memory Stick);179;90
1875;5f3ba61e3fd5b671b220061b;www.price-hunt.com;panasonic;dc2;panasonichxdc2;120x (Motion Image)\, 50x (Still Image);5x;180 g (with Battery and SD Memory Card)\, 162 g (Without Battery and SD Memory Card);Mos;86.2 (w) x 120.8 (h) x 38.1 (d) mm;14.3 Megapixels;Still Image (16\:9)\: 4352 x 2448 (10 m)\, 3744 x 2106 (7.8 m)\, 2560 x 1440 (3.5 m)\, 1920 x 1080 (2.0 m)\, Still Image (4\:3)\: 4352 x 3264 (14 m)\, 3744 x 2808 (10 m)\, 2560 x 1920 (5.0 m)\, 2048 x 1536 (3.0 m)\, 640 x 480 (0.3 m)\, Panorama \: 360Â° Panorama Horizontal 14400 x 720\, 180Â° Panorama Horizontal 7200 x 720\, 360Â° Panorama Vertical 1280 x 14400\, 180Â° Panorama Vertical 1280 x 7200\, Simultaneous Recording (16\:9)\: 1920 x 1080 (2.0 m)\, 1280 x 720 (0.9 m)\, Simultaneous Recording (4\:3)\: 640 x 480 (0.3 m)\, Recording\: 1920 x 1080 at 60i\, 1920 x 1080 at 30p\, 1280 x 720 at 60p\, 1280 x 720 at 30p\, 640 x 480 at 30p\, 960 x 540 at 30p;;180 g (with Battery and SD Memory Card)\, 162 g (Without Battery and SD Memory Card);180;162
1876;5f3ba61e3fd5b671b2200633;www.price-hunt.com;olympus;sh1;olympussh1;96x;24x;271 g (Cipa Guideline Compliant\, Including Batteries\, Card);CMOS;;16 Megapixels;Time Lapse Movie\: 280 x 720 at 720 Fps\, 640 x 480 (Vga)\, 1280 x 720 at 720 Fps\, 320 x 240 at Hs240 Fps\, 1920 x 1080 at 1080 Fps\, Movie Recording Size\: (1920 x 1080) 1080 at 60 Fps\, 640 x 480 at Hs120 fps;;271 g (Cipa Guideline Compliant\, Including Batteries\, Card);271;
1877;5f3ba61e3fd5b671b220063c;www.price-hunt.com;sony;3500j;sonyilce3500j;;;411 g (with Battery and Memory Stick pro Duo);Exmor aps HD CMOS;128 (w) x 90.9 (h) x 84.5 (d) mm;20.1 Megapixels;;353.0;411 g (with Battery and Memory Stick pro Duo);411;
1878;5f3ba61e3fd5b671b220066c;www.price-hunt.com;olympus;pl5;olympusepl5;;;279 g (Body Only)\, 325 g (Cipa Guideline Compliant\, with Bls-5 Battery and Memory Card);Mos;110.5 (w) x 63.7 (h) x 38.2 (d) mm;16.5 Megapixels;640 x 480 (Vga);;279 g (Body Only)\, 325 g (Cipa Guideline Compliant\, with Bls-5 Battery and Memory Card);325;279
1879;5f3ba61e3fd5b671b2200674;www.price-hunt.com;fujifilm;c25;fujifilmfinepixc25;6.3x;3x;;CCD;) x 32.1 (d) mm\, 91.3 (w) x 59 (h;12 Megapixels;;;;;
1880;5f3ba61e3fd5b671b220067c;www.price-hunt.com;panasonic;v250;panasonichcv250;150x / 3000x (the Maximum Value of Zoom Magnification);50x;216 g (Without Battery and SD Card);Bsi mos;53 (w) x 59 (h) x 116 (d) mm;2.20 Megapixels;;;216 g (Without Battery and SD Card);;216
1881;5f3ba61e3fd5b671b220067e;www.price-hunt.com;garmin;virb hd\,virbhd;garminvirbhd;;;177.4 g (with Battery);CMOS;53 (w) x 32 (h) x 111 (d);16 Megapixels;HD Video\: 1080p (1920 x 1080) at 30 Fps\, 720p (1280 x 720) at 30 fps / 60 Fps\, Still Photo Resolution\: 16 m (4664 x 3496)\, 8 m (3264 x 2448)\, 960p (1280 x 960) at 48 Fps\, 12 m (4664 x 2632)\, WVGA (Slow Motion)\: 848 480 at 120 fps;135.7;177.4 g (with Battery);177;
1882;5f3ba61e3fd5b671b2200686;www.price-hunt.com;canon;ixus150;canonixus150;4x;8x;130 g;CCD;95.2 (w) x 54.3 (h) x 22.1 (d) mm;16 Megapixels;;;130 g;130;
