,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list,famer_resolution_from,famer_resolution_to,famer_megapixel
7263,5f3ba61f3fd5b671b2200b93,www.cambuy.com.au,tg3,/,/,/,olympusstylustoughtg3,4,,11.15,6.590000000000001,,/,olympus,/,/,/
7264,5f3ba61f3fd5b671b2200b9e,www.cambuy.com.au,d610,/,/,/,nikond610,,,14.1,11.3,850,/,nikon,/,/,/
7265,5f3ba61f3fd5b671b2200ba0,www.cambuy.com.au,d30,/,/,/,canonpowershotd30,,,10.940000000000001,6.8,218,/,canon,/,/,/
7266,5f3ba61f3fd5b671b2200bab,www.cambuy.com.au,dscw830,/,/,/,sonycybershotdscw830,,8.0,9.309999999999999,5.25,,/,sony,/,/,/
8970,5f3ba61f3fd5b671b2200b53,www.cambuy.com.au,700d,/,/,/,canoneos700d,,,13.309999999999999,9.98,,/,canon,/,/,/
8971,5f3ba61f3fd5b671b2200b57,www.cambuy.com.au,d3300,/,/,/,nikond3300,,,12.4,9.8,460,/,nikon,/,/,/
8972,5f3ba61f3fd5b671b2200b61,www.cambuy.com.au,s120,/,/,/,canonpowershots120,,,10.02,5.9,217,/,canon,/,/,/
8973,5f3ba61f3fd5b671b2200b85,www.cambuy.com.au,p600,/,/,/,nikoncoolpixp600,,,12.5,8.5,565,/,nikon,/,/,/
8974,5f3ba61f3fd5b671b2200b95,www.cambuy.com.au,s8400w,/,/,/,fujifilmfinepixs8400w,,,,,670,/,fujifilm,/,/,/
8975,5f3ba61f3fd5b671b2200b97,www.cambuy.com.au,d5300,/,/,/,nikond5300,,,12.5,9.8,530,/,nikon,/,/,/
8976,5f3ba61f3fd5b671b2200bad,www.cambuy.com.au,s32,/,/,/,nikoncoolpixs32,,,10.76,6.609999999999999,175,/,nikon,/,/,/
10749,5f3ba61f3fd5b671b2200b46,www.cambuy.com.au,g1,/,/,/,canonpowershotg1,,,,,558,/,canon,/,/,/
10750,5f3ba61f3fd5b671b2200b49,www.cambuy.com.au,ixus150,/,/,/,canonixus150,,,9.52,5.43,130,/,canon,/,/,/
10751,5f3ba61f3fd5b671b2200b5e,www.cambuy.com.au,em1,/,/,/,olympusomdem1,,,,,,/,olympus,/,/,/
10752,5f3ba61f3fd5b671b2200b70,www.cambuy.com.au,100d,/,/,/,canoneos100d,,,11.68,9.07,,/,canon,/,/,/
10753,5f3ba61f3fd5b671b2200b86,www.cambuy.com.au,sx700,/,/,/,canonpowershotsx700,,,11.27,6.58,269,/,canon,/,/,/
10754,5f3ba61f3fd5b671b2200b88,www.cambuy.com.au,df,/,/,/,nikondfdslr,,,14.35,11.0,765,/,nikon,/,/,/
10755,5f3ba61f3fd5b671b2200b94,www.cambuy.com.au,dmcgx7,/,/,/,panasoniclumixdmcgx7,2,,12.26,7.07,402,/,panasonic,/,/,/
10756,5f3ba61f3fd5b671b2200b98,www.cambuy.com.au,s2800,/,/,/,nikoncoolpixs2800,,,9.379999999999999,5.84,120,/,nikon,/,/,/
10757,5f3ba61f3fd5b671b2200b99,www.cambuy.com.au,ixus145,/,/,/,canonixus145,,,9.52,5.43,127,/,canon,/,/,/
10758,5f3ba61f3fd5b671b2200ba1,www.cambuy.com.au,1200d,/,/,/,canoneos1200d,,,,,,/,canon,/,/,/
10759,5f3ba61f3fd5b671b2200ba7,www.cambuy.com.au,7d,/,/,/,canoneos7d,,,,,,/,canon,/,/,/
12509,5f3ba61f3fd5b671b2200b4b,www.cambuy.com.au,dschx60v,/,/,/,sonycybershotdschx60v,,30.0,10.809999999999999,6.36,,/,sony,/,/,/
12510,5f3ba61f3fd5b671b2200b4c,www.cambuy.com.au,70d,/,/,/,canoneos70d,,,13.9,10.43,,/,canon,/,/,/
12511,5f3ba61f3fd5b671b2200b4f,www.cambuy.com.au,7d,/,/,/,canoneos7d,,,,,,/,canon,/,/,/
12512,5f3ba61f3fd5b671b2200b55,www.cambuy.com.au,s6800,/,/,/,nikoncoolpixs6800,,,9.68,5.75,145,/,nikon,/,/,/
12513,5f3ba61f3fd5b671b2200b5c,www.cambuy.com.au,df,/,/,/,nikondfdslr,,,14.35,11.0,765,/,nikon,/,/,/
12514,5f3ba61f3fd5b671b2200b65,www.cambuy.com.au,dmcg6,/,/,/,panasoniclumixdmcg6,24,,12.245000000000001,8.459999999999999,340,/,panasonic,/,/,/
12515,5f3ba61f3fd5b671b2200b68,www.cambuy.com.au,dmcg6,/,/,/,panasoniclumixdmcg6,24,,12.245000000000001,8.459999999999999,340,/,panasonic,/,/,/
12516,5f3ba61f3fd5b671b2200b72,www.cambuy.com.au,dmcg6,/,/,/,panasoniclumixdmcg6,24,,12.245000000000001,8.459999999999999,340,/,panasonic,/,/,/
12517,5f3ba61f3fd5b671b2200b7c,www.cambuy.com.au,7d,/,/,/,canoneos7d,,,,,,/,canon,/,/,/
12518,5f3ba61f3fd5b671b2200b7e,www.cambuy.com.au,1200d,/,/,/,canoneos1200d,,,,,,/,canon,/,/,/
12519,5f3ba61f3fd5b671b2200b7f,www.cambuy.com.au,dscwx350,/,/,/,sonycybershotdscwx350,,20.0,9.6,5.49,,/,sony,/,/,/
12520,5f3ba61f3fd5b671b2200b92,www.cambuy.com.au,s32,/,/,/,nikoncoolpixs32,,,10.76,6.609999999999999,175,/,nikon,/,/,/
14290,5f3ba61f3fd5b671b2200b4e,www.cambuy.com.au,d3300,/,/,/,nikond3300,,,12.4,9.8,460,/,nikon,/,/,/
14291,5f3ba61f3fd5b671b2200b67,www.cambuy.com.au,dmcfz1000,/,/,/,panasoniclumixdmcfz1000,.4,16.0,,,780,/,panasonic,/,/,/
14292,5f3ba61f3fd5b671b2200b77,www.cambuy.com.au,sx700,/,/,/,canonpowershotsx700,,,11.27,6.58,269,/,canon,/,/,/
14293,5f3ba61f3fd5b671b2200b7a,www.cambuy.com.au,l830,/,/,/,nikoncoolpixl830,,,11.1,7.58,508,/,nikon,/,/,/
14294,5f3ba61f3fd5b671b2200b8e,www.cambuy.com.au,700d,/,/,/,canoneos700d,,,13.309999999999999,9.98,,/,canon,/,/,/
14295,5f3ba61f3fd5b671b2200b91,www.cambuy.com.au,dmcgf6,/,/,/,panasoniclumixdmcgf6,24,,11.120000000000001,6.4799999999999995,323,/,panasonic,/,/,/
14296,5f3ba61f3fd5b671b2200b9b,www.cambuy.com.au,s9700,/,/,/,nikoncoolpixs9700,,,10.959999999999999,6.35,232,/,nikon,/,/,/
14297,5f3ba61f3fd5b671b2200ba3,www.cambuy.com.au,d610,/,/,/,nikond610,,,14.1,11.3,850,/,nikon,/,/,/
14298,5f3ba61f3fd5b671b2200bae,www.cambuy.com.au,sx400,/,/,/,canonpowershotsx400,,,10.440000000000001,6.909999999999999,313,/,canon,/,/,/
16015,5f3ba61f3fd5b671b2200b40,www.cambuy.com.au,wg4,/,/,/,ricohwg4,7.2,4.0,,,,/,ricoh,/,/,/
16016,5f3ba61f3fd5b671b2200b51,www.cambuy.com.au,d750,/,/,/,nikond750,,,14.05,11.3,,/,nikon,/,/,/
16017,5f3ba61f3fd5b671b2200b62,www.cambuy.com.au,s9600,/,/,/,nikoncoolpixs9600,,,10.86,6.1,206,/,nikon,/,/,/
16018,5f3ba61f3fd5b671b2200b63,www.cambuy.com.au,dscw830,/,/,/,sonycybershotdscw830,,8.0,9.309999999999999,5.25,,/,sony,/,/,/
16019,5f3ba61f3fd5b671b2200b6a,www.cambuy.com.au,dmcgf6,/,/,/,panasoniclumixdmcgf6,24,,11.120000000000001,6.4799999999999995,323,/,panasonic,/,/,/
16020,5f3ba61f3fd5b671b2200b75,www.cambuy.com.au,dmcgx7,/,/,/,panasoniclumixdmcgx7,2,,12.26,7.07,402,/,panasonic,/,/,/
16021,5f3ba61f3fd5b671b2200b76,www.cambuy.com.au,g16,/,/,/,canonpowershotg16,,,10.879999999999999,7.590000000000001,356,/,canon,/,/,/
16022,5f3ba61f3fd5b671b2200b8a,www.cambuy.com.au,70d,/,/,/,canoneos70d,,,13.9,10.43,,/,canon,/,/,/
16023,5f3ba61f3fd5b671b2200b96,www.cambuy.com.au,70d,/,/,/,canoneos70d,,,13.9,10.43,,/,canon,/,/,/
16024,5f3ba61f3fd5b671b2200b9f,www.cambuy.com.au,d3300,/,/,/,nikond3300,,,12.4,9.8,460,/,nikon,/,/,/
16025,5f3ba61f3fd5b671b2200ba4,www.cambuy.com.au,dscw830,/,/,/,sonycybershotdscw830,,8.0,9.309999999999999,5.25,,/,sony,/,/,/
17760,5f3ba61f3fd5b671b2200b45,www.cambuy.com.au,70d,/,/,/,canoneos70d,,,13.9,10.43,,/,canon,/,/,/
17761,5f3ba61f3fd5b671b2200b47,www.cambuy.com.au,d3300,/,/,/,nikond3300,,,12.4,9.8,460,/,nikon,/,/,/
17762,5f3ba61f3fd5b671b2200b64,www.cambuy.com.au,s3600,/,/,/,nikoncoolpixs3600,,,9.709999999999999,5.79,125,/,nikon,/,/,/
17763,5f3ba61f3fd5b671b2200b66,www.cambuy.com.au,p7800,/,/,/,nikoncoolpixp7800,,,11.85,7.75,399,/,nikon,/,/,/
17764,5f3ba61f3fd5b671b2200b69,www.cambuy.com.au,d810,/,/,/,nikond810,,,14.6,12.3,,/,nikon,/,/,/
17765,5f3ba61f3fd5b671b2200b71,www.cambuy.com.au,s9600,/,/,/,nikoncoolpixs9600,,,10.86,6.1,206,/,nikon,/,/,/
17766,5f3ba61f3fd5b671b2200b79,www.cambuy.com.au,dmcgx7,/,/,/,panasoniclumixdmcgx7,2,,12.26,7.07,402,/,panasonic,/,/,/
17767,5f3ba61f3fd5b671b2200b9a,www.cambuy.com.au,d5300,/,/,/,nikond5300,,,12.5,9.8,530,/,nikon,/,/,/
17768,5f3ba61f3fd5b671b2200b9c,www.cambuy.com.au,g7,/,/,/,canonpowershotg7,,,,,304,/,canon,/,/,/
19518,5f3ba61f3fd5b671b2200b3e,www.cambuy.com.au,em1,/,/,/,olympusomdem1,,,,,,/,olympus,/,/,/
19519,5f3ba61f3fd5b671b2200b44,www.cambuy.com.au,100d,/,/,/,canoneos100d,,,11.68,9.07,,/,canon,/,/,/
19520,5f3ba61f3fd5b671b2200b5b,www.cambuy.com.au,p340,/,/,/,nikoncoolpixp340,,,10.3,5.83,194,/,nikon,/,/,/
19521,5f3ba61f3fd5b671b2200b60,www.cambuy.com.au,dscrx100,/,/,/,sonycybershotdscrx100,,2.9,10.16,5.8100000000000005,290,/,sony,/,/,/
19522,5f3ba61f3fd5b671b2200b6f,www.cambuy.com.au,ixus155,/,/,/,canonixus155,,,9.53,5.68,142,/,canon,/,/,/
19523,5f3ba61f3fd5b671b2200b7b,www.cambuy.com.au,dsctx30,/,/,/,sonycybershotdsctx30,,5.0,9.64,5.93,,/,sony,/,/,/
19524,5f3ba61f3fd5b671b2200b8c,www.cambuy.com.au,ixus155,/,/,/,canonixus155,,,9.53,5.68,142,/,canon,/,/,/
19525,5f3ba61f3fd5b671b2200b9d,www.cambuy.com.au,s2800,/,/,/,nikoncoolpixs2800,,,9.379999999999999,5.84,120,/,nikon,/,/,/
19526,5f3ba61f3fd5b671b2200baa,www.cambuy.com.au,s3600,/,/,/,nikoncoolpixs3600,,,9.709999999999999,5.79,125,/,nikon,/,/,/
