key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list,famer_resolution_from,famer_resolution_to,famer_megapixel
5f3ba6213fd5b671b2205338,www.shopbot.com.au,dscw610,610,/,/,sonycybershotdscw610,/,4,9.3,5.2,113,/,sony,/,/,/
5f3ba6213fd5b671b220533e,www.shopbot.com.au,ks1,1,/,/,pentaxks1,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b220533f,www.shopbot.com.au,dschx60v,60,/,/,sonycybershotdschx60v,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205342,www.shopbot.com.au,es95,95,/,/,samsunges95,/,,0.0,0.0,,/,samsung,/,/,/
5f3ba6213fd5b671b220534a,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b220534c,www.shopbot.com.au,dscwx50,50,/,/,sonycybershotdscwx50,/,5,9.2,5.2,117,/,sony,/,/,/
5f3ba6213fd5b671b2205353,www.shopbot.com.au,s32,32,/,/,nikoncoolpixs32,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205364,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205367,www.shopbot.com.au,f300exr,300,/,/,fujifilmfinepixf300exr,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b2205379,www.shopbot.com.au,xe1,1,/,/,fujifilmxe1,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b22053a5,www.shopbot.com.au,j4,4,/,/,nikon1j4,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22053a7,www.shopbot.com.au,60d,60,/,/,canoneos60d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22053be,www.shopbot.com.au,dmcgx7,7,/,/,panasoniclumixdmcgx7,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22053fd,www.shopbot.com.au,d3200,3200,/,/,nikond3200,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205406,www.shopbot.com.au,g15,15,/,/,canonpowershotg15,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b220540b,www.shopbot.com.au,dscwx300,300,/,/,sonycybershotdscwx300,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b220540f,www.shopbot.com.au,sz14,14,/,/,olympussz14,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b220541b,www.shopbot.com.au,dmcg10,10,/,/,panasoniclumixdmcg10,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b220541d,www.shopbot.com.au,6d,6,/,/,canoneos6d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205446,www.shopbot.com.au,dmcsz5,5,/,/,panasoniclumixdmcsz5,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b220544a,www.shopbot.com.au,vr350,350,/,/,olympusvr350,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b2205456,www.shopbot.com.au,ks1,1,/,/,pentaxks1,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b2205458,www.shopbot.com.au,dscw690,690,/,/,sonycybershotdscw690,/,10,9.4,5.6,142,/,sony,/,/,/
5f3ba6213fd5b671b220545b,www.shopbot.com.au,d3100,3100,/,/,nikond3100,/,,12.4,9.6,505,/,nikon,/,/,/
5f3ba6213fd5b671b220545e,www.shopbot.com.au,xt1,1,/,/,fujifilmxt1,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b2205463,www.shopbot.com.au,sx520,520,/,/,canonpowershotsx520,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b220546e,www.shopbot.com.au,5d,5-3,/,/,canoneos5d,/,,15.2,11.6,950,/,canon,/,/,/
5f3ba6213fd5b671b2205473,www.shopbot.com.au,dsch90,90,/,/,sonycybershotdsch90,/,16,10.5,6.0,222,/,sony,/,/,/
5f3ba6213fd5b671b2205474,www.shopbot.com.au,dv150f,150,/,/,samsungdv150f,/,,0.0,0.0,,/,samsung,/,/,/
5f3ba6213fd5b671b2205478,www.shopbot.com.au,k30,30,/,/,pentaxk30,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b2205480,www.shopbot.com.au,500d,500,/,/,canoneos500d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205491,www.shopbot.com.au,typ701,701,/,/,leicattyp701,/,,0.0,0.0,,/,leica,/,/,/
5f3ba6213fd5b671b2205493,www.shopbot.com.au,epl3,3,/,/,olympuspenepl3,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b220529f,www.shopbot.com.au,g16,16,/,/,canonpowershotg16,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052a0,www.shopbot.com.au,dmc3d1,3,/,/,panasoniclumixdmc3d1,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22052c8,www.shopbot.com.au,j1,1,/,/,nikon1j1,/,,10.6,6.1,234,/,nikon,/,/,/
5f3ba6213fd5b671b22052ca,www.shopbot.com.au,nex5r,5,/,/,sonyalphanex5r,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b22052cc,www.shopbot.com.au,ixus500,500,/,/,canonixus500,/,12,8.7,5.4,155,/,canon,/,/,/
5f3ba6213fd5b671b22052d8,www.shopbot.com.au,slta57,57,/,/,sonyslta57,/,,13.2,9.8,618,/,sony,/,/,/
5f3ba6213fd5b671b22052e1,www.shopbot.com.au,70d,70,/,/,canoneos70d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052e8,www.shopbot.com.au,1100d,1100,/,/,canoneos1100d,/,,13.0,10.0,495,/,canon,/,/,/
5f3ba6213fd5b671b22052f4,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052f8,www.shopbot.com.au,1200d,1200,/,/,canoneos1200d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b220532e,www.shopbot.com.au,dscw810,810,/,/,sonycybershotdscw810,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205334,www.shopbot.com.au,dschx200v,200,/,/,sonycybershotdschx200v,/,30,12.2,8.7,583,/,sony,/,/,/
5f3ba6213fd5b671b2205347,www.shopbot.com.au,xp150,150,/,/,fujifilmfinepixxp150,/,5,10.3,7.1,205,/,fujifilm,/,/,/
5f3ba6213fd5b671b220535d,www.shopbot.com.au,70d,70,/,/,canoneos70d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b220537d,www.shopbot.com.au,s3500,3500,/,/,nikoncoolpixs3500,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205388,www.shopbot.com.au,em10,10,/,/,olympusomdem10,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b220538e,www.shopbot.com.au,sx50,50,/,/,canonpowershotsx50,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22053a3,www.shopbot.com.au,g1,1-2,/,/,canonpowershotg1,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22053b2,www.shopbot.com.au,dmcft1,1,/,/,panasoniclumixdmcft1,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22053bf,www.shopbot.com.au,d5200,5200,/,/,nikond5200,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22053c2,www.shopbot.com.au,q,,/,/,pentaxq,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b22053ce,www.shopbot.com.au,dsch7,7,/,/,sonydsch7,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b22053d3,www.shopbot.com.au,s2950,2950,/,/,fujifilmfinepixs2950,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b22053d9,www.shopbot.com.au,p340,340,/,/,nikoncoolpixp340,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22053dc,www.shopbot.com.au,p520,520,/,/,nikoncoolpixp520,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22053de,www.shopbot.com.au,dmcgf5,5,/,/,panasoniclumixdmcgf5,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22053e8,www.shopbot.com.au,sx600,600,/,/,canonpowershotsx600,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22053ec,www.shopbot.com.au,l810,810,/,/,nikoncoolpixl810,/,26,11.1,7.6,430,/,nikon,/,/,/
5f3ba6213fd5b671b22053f2,www.shopbot.com.au,slta65,65,/,/,sonyalphaslta65,/,,13.2,9.7,622,/,sony,/,/,/
5f3ba6213fd5b671b2205402,www.shopbot.com.au,d3200,3200,/,/,nikond3200,/,,12.5,9.6,505,/,nikon,/,/,/
5f3ba6213fd5b671b2205405,www.shopbot.com.au,70d,70,/,/,canoneos70d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205410,www.shopbot.com.au,s9200,9200,/,/,nikoncoolpixs9200,/,18,108.7,59.8,209,/,nikon,/,/,/
5f3ba6213fd5b671b2205426,www.shopbot.com.au,l29,29,/,/,nikoncoolpixl29,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205436,www.shopbot.com.au,em5,5,/,/,olympusomdem5,/,,12.2,8.9,425,/,olympus,/,/,/
5f3ba6213fd5b671b2205451,www.shopbot.com.au,slta57,57,/,/,sonyslta57,/,,13.2,9.8,618,/,sony,/,/,/
5f3ba6213fd5b671b2205453,www.shopbot.com.au,xpro1,1,/,/,fujifilmxpro1,/,,14.0,8.2,450,/,fujifilm,/,/,/
5f3ba6213fd5b671b2205459,www.shopbot.com.au,wg1,1,/,/,pentaxoptiowg1,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b2205466,www.shopbot.com.au,epl7,7,/,/,olympuspenepl7,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b2205468,www.shopbot.com.au,100d,100,/,/,canoneos100d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205477,www.shopbot.com.au,dsch9,9,/,/,sonydsch9,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205486,www.shopbot.com.au,5d,5-3,/,/,canoneos5d,/,,15.2,11.6,950,/,canon,/,/,/
5f3ba6213fd5b671b220549d,www.shopbot.com.au,7d,7,/,/,canoneos7d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052b2,www.shopbot.com.au,1200d,1200,/,/,canoneos1200d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052b5,www.shopbot.com.au,5d,5-3,/,/,canoneos5d,/,,15.2,11.6,950,/,canon,/,/,/
5f3ba6213fd5b671b22052bf,www.shopbot.com.au,k5,5-2,/,/,pentaxk5,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b22052d2,www.shopbot.com.au,dscs930,930,/,/,sonycybershotdscs930,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b22052f0,www.shopbot.com.au,exzr1000,1000,/,/,casioexilimexzr1000,/,,0.0,0.0,,/,casio,/,/,/
5f3ba6213fd5b671b22052f6,www.shopbot.com.au,d3200,3200,/,/,nikond3200,/,,12.5,9.6,505,/,nikon,/,/,/
5f3ba6213fd5b671b220530b,www.shopbot.com.au,dmcsz8,8,/,/,panasoniclumixdmcsz8,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b2205322,www.shopbot.com.au,60d,60,/,/,canoneos60d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205328,www.shopbot.com.au,stylus1,1,/,/,olympusstylus1,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b2205335,www.shopbot.com.au,alpha7,7,/,/,sonyalpha7,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205348,www.shopbot.com.au,hs50,50,/,/,fujifilmfinepixhs50,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b2205370,www.shopbot.com.au,nx30,30,/,/,samsungnx30,/,,0.0,0.0,,/,samsung,/,/,/
5f3ba6213fd5b671b22053ab,www.shopbot.com.au,dmcg3,3,/,/,panasoniclumixdmcg3,/,,11.5,8.4,336,/,panasonic,/,/,/
5f3ba6213fd5b671b22053af,www.shopbot.com.au,dmcft25,25,/,/,panasoniclumixdmcft25,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22053c6,www.shopbot.com.au,slta99,99,/,/,sonyslta99,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b22053da,www.shopbot.com.au,5d,5-3,/,/,canoneos5d,/,,15.2,11.6,950,/,canon,/,/,/
5f3ba6213fd5b671b22053e1,www.shopbot.com.au,100d,100,/,/,canoneos100d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205403,www.shopbot.com.au,f770exr,770,/,/,fujifilmfinepixf770exr,/,20,10.5,6.3,234,/,fujifilm,/,/,/
5f3ba6213fd5b671b220540a,www.shopbot.com.au,dmclf1,1,/,/,panasoniclumixdmclf1,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b2205411,www.shopbot.com.au,d3100,3100,/,/,nikond3100,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205417,www.shopbot.com.au,sx40,40,/,/,canonpowershotsx40,/,35,12.3,9.2,600,/,canon,/,/,/
5f3ba6213fd5b671b220541a,www.shopbot.com.au,tough6010,6010,/,/,olympusmjutough6010,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b2205429,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b220543d,www.shopbot.com.au,ep5,5,/,/,olympuspenep5,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b2205444,www.shopbot.com.au,d5300,5300,/,/,nikond5300,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205448,www.shopbot.com.au,60d,60,/,/,canoneos60d,/,,14.5,10.6,755,/,canon,/,/,/
5f3ba6213fd5b671b2205470,www.shopbot.com.au,d5300,5300,/,/,nikond5300,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b220547c,www.shopbot.com.au,600d,600,/,/,canoneos600d,/,,13.3,10.0,570,/,canon,/,/,/
5f3ba6213fd5b671b220547d,www.shopbot.com.au,xz1,1,/,/,olympusxz1,/,4,11.1,6.5,275,/,olympus,/,/,/
5f3ba6213fd5b671b220547e,www.shopbot.com.au,wb250f,250,/,/,samsungwb250f,/,,0.0,0.0,,/,samsung,/,/,/
5f3ba6213fd5b671b220548f,www.shopbot.com.au,s120,120,/,/,canonpowershots120,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205499,www.shopbot.com.au,dscw350,350,/,/,sonycybershotdscw350,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b220549b,www.shopbot.com.au,s4800,4800,/,/,fujifilmfinepixs4800,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b220529e,www.shopbot.com.au,nx300,300,/,/,samsungnx300,/,,0.0,0.0,,/,samsung,/,/,/
5f3ba6213fd5b671b22052be,www.shopbot.com.au,g7x,7,/,/,canonpowershotg7x,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052ce,www.shopbot.com.au,dsctx5,5,/,/,sonycybershotdsctx5,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b22052cf,www.shopbot.com.au,7d,7,/,/,canoneos7d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052d0,www.shopbot.com.au,7d,7-2,/,/,canoneos7d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052d6,www.shopbot.com.au,100d,100,/,/,canoneos100d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052db,www.shopbot.com.au,p70,70,/,/,pentaxoptiop70,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b22052de,www.shopbot.com.au,dmcft4,4,/,/,panasoniclumixdmcft4,/,46,10.3,6.4,197,/,panasonic,/,/,/
5f3ba6213fd5b671b22052e4,www.shopbot.com.au,z712,712,/,/,kodakeasysharez712,/,,0.0,0.0,,/,kodak,/,/,/
5f3ba6213fd5b671b22052ea,www.shopbot.com.au,d5200,5200,/,/,nikond5200,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22052fb,www.shopbot.com.au,j3,3,/,/,nikon1j3,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22052ff,www.shopbot.com.au,dscw710,710,/,/,sonycybershotdscw710,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205305,www.shopbot.com.au,xpro1,1,/,/,fujifilmxpro1,/,,14.0,8.2,450,/,fujifilm,/,/,/
5f3ba6213fd5b671b220530c,www.shopbot.com.au,a3000,3000,/,/,sonyalphaa3000,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205310,www.shopbot.com.au,x100t,100,/,/,fujifilmx100t,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b220531c,www.shopbot.com.au,j1,1,/,/,nikon1j1,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205332,www.shopbot.com.au,dmcgh4,4,/,/,panasoniclumixdmcgh4,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b2205333,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205340,www.shopbot.com.au,60d,60,/,/,canoneos60d,/,,14.5,10.6,755,/,canon,/,/,/
5f3ba6213fd5b671b2205355,www.shopbot.com.au,em10,10,/,/,olympusomdem10,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b220535f,www.shopbot.com.au,s3300,3300,/,/,nikoncoolpixs3300,/,6,9.5,5.8,128,/,nikon,/,/,/
5f3ba6213fd5b671b220536d,www.shopbot.com.au,dmcgf2,2,/,/,panasoniclumixdmcgf2,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b220536f,www.shopbot.com.au,d3100,3100,/,/,nikond3100,/,,12.4,9.6,505,/,nikon,/,/,/
5f3ba6213fd5b671b2205383,www.shopbot.com.au,d7000,7000,/,/,nikond7000,/,,13.2,10.5,780,/,nikon,/,/,/
5f3ba6213fd5b671b220539a,www.shopbot.com.au,nexf3,3,/,/,sonyalphanexf3,/,,11.7,6.7,314,/,sony,/,/,/
5f3ba6213fd5b671b22053bd,www.shopbot.com.au,e5,5,/,/,olympuse5,/,,14.3,11.7,800,/,olympus,/,/,/
5f3ba6213fd5b671b22053ca,www.shopbot.com.au,d800,800,/,/,nikond800,/,,14.6,12.3,900,/,nikon,/,/,/
5f3ba6213fd5b671b22053cd,www.shopbot.com.au,dmcgh3,3,/,/,panasoniclumixdmcgh3,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22053d0,www.shopbot.com.au,d5300,5300,/,/,nikond5300,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22053d1,www.shopbot.com.au,dmcg6,6,/,/,panasoniclumixdmcg6,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22053dd,www.shopbot.com.au,dmcsz1,1,/,/,panasoniclumixdmcsz1,/,10,9.9,5.9,131,/,panasonic,/,/,/
5f3ba6213fd5b671b22053eb,www.shopbot.com.au,em5,5,/,/,olympusomdem5,/,,12.2,8.9,425,/,olympus,/,/,/
5f3ba6213fd5b671b22053f9,www.shopbot.com.au,sl300,300,/,/,fujifilmfinepixsl300,/,30,12.2,9.3,510,/,fujifilm,/,/,/
5f3ba6213fd5b671b220540c,www.shopbot.com.au,xm1,1,/,/,fujifilmxm1,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b2205413,www.shopbot.com.au,nexf3,3,/,/,sonyalphanexf3,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205422,www.shopbot.com.au,s6400,6400,/,/,nikoncoolpixs6400,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205455,www.shopbot.com.au,dschx300,300,/,/,sonycybershotdschx300,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b220545a,www.shopbot.com.au,650d,650,/,/,canoneos650d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205479,www.shopbot.com.au,em10,10,/,/,olympusomdem10,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b220547f,www.shopbot.com.au,ex10,10,/,/,casioexilimex10,/,,0.0,0.0,,/,casio,/,/,/
5f3ba6213fd5b671b2205485,www.shopbot.com.au,dmcfh8,8,/,/,panasoniclumixdmcfh8,/,5,9.6,5.7,123,/,panasonic,/,/,/
5f3ba6213fd5b671b220548b,www.shopbot.com.au,p310,310,/,/,nikoncoolpixp310,/,42,10.3,5.8,194,/,nikon,/,/,/
5f3ba6213fd5b671b2205495,www.shopbot.com.au,nx300,300,/,/,samsungnx300,/,,0.0,0.0,,/,samsung,/,/,/
5f3ba6213fd5b671b22052a4,www.shopbot.com.au,d3200,3200,/,/,nikond3200,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22052a7,www.shopbot.com.au,7d,7-2,/,/,canoneos7d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052ab,www.shopbot.com.au,dmctz30,30,/,/,panasoniclumixdmctz30,/,20,10.5,5.9,206,/,panasonic,/,/,/
5f3ba6213fd5b671b22052ba,www.shopbot.com.au,dmcg6,6,/,/,panasoniclumixdmcg6,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22052bc,www.shopbot.com.au,epl5,5,/,/,olympuspenepl5,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b22052c1,www.shopbot.com.au,600d,600,/,/,canoneos600d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052da,www.shopbot.com.au,sp100,100,/,/,olympusstylussp100,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b22052e2,www.shopbot.com.au,dscwx350,350,/,/,sonycybershotdscwx350,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b22052e3,www.shopbot.com.au,d7000,7000,/,/,nikond7000,/,,13.2,10.5,780,/,nikon,/,/,/
5f3ba6213fd5b671b22052e9,www.shopbot.com.au,dmcts5,5,/,/,panasoniclumixdmcts5,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b22052f2,www.shopbot.com.au,t200,200,/,/,fujifilmfinepixt200,/,,0.0,0.0,,/,fujifilm,/,/,/
5f3ba6213fd5b671b22052f3,www.shopbot.com.au,dscw830,830,/,/,sonycybershotdscw830,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205317,www.shopbot.com.au,d610,610,/,/,nikond610,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b220531a,www.shopbot.com.au,dmcgx1,1,/,/,panasoniclumixdmcgx1,/,,11.6,6.8,318,/,panasonic,/,/,/
5f3ba6213fd5b671b220531d,www.shopbot.com.au,q7,7,/,/,pentaxq7,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b2205343,www.shopbot.com.au,650d,650,/,/,canoneos650d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b220534b,www.shopbot.com.au,k3,3,/,/,pentaxk3,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b2205354,www.shopbot.com.au,tg2,2,/,/,olympustoughtg2,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b2205363,www.shopbot.com.au,650d,650,/,/,canoneos650d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205366,www.shopbot.com.au,d5200,5200,/,/,nikond5200,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b220536e,www.shopbot.com.au,ixus145,145,/,/,canonixus145,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b2205375,www.shopbot.com.au,d5200,5200,/,/,nikond5200,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b2205384,www.shopbot.com.au,x,,/,/,leicaxvario,/,,0.0,0.0,,/,leica,/,/,/
