key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba6213fd5b671b2204ef2,www.priceme.co.nz,s8200,8200,/,/,nikoncoolpixs8200,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204f17,www.priceme.co.nz,hs20,20,/,/,fujifilmfinepixhs20,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204f1e,www.priceme.co.nz,j1,1,/,/,nikon1j1,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204f22,www.priceme.co.nz,gm1,1,/,/,panasoniclumixgm1,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204f33,www.priceme.co.nz,l810,810,/,/,nikoncoolpixl810,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204f34,www.priceme.co.nz,nx,,/,/,samsungnxmini,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204f68,www.priceme.co.nz,d5100,5100,/,/,nikond5100,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204f6a,www.priceme.co.nz,k5,5-2,/,/,pentaxk5,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204f7d,www.priceme.co.nz,xp200,200,/,/,fujifilmfinepixxp200,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204f86,www.priceme.co.nz,dscrx10,10,/,/,sonycybershotdscrx10,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204cad,www.priceme.co.nz,dmcg5,5,/,/,panasoniclumixdmcg5,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204cb5,www.priceme.co.nz,dschx30v,30,/,/,sonycybershotdschx30v,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204cbf,www.priceme.co.nz,wb250f,250,/,/,samsungwb250f,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204cc3,www.priceme.co.nz,k50,50,/,/,pentaxk50,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204ccd,www.priceme.co.nz,d4,4,/,/,nikond4,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204cce,www.priceme.co.nz,j4,4,/,/,nikon1j4,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204cd4,www.priceme.co.nz,epm1,1,/,/,olympuspenepm1,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204cef,www.priceme.co.nz,df,,/,/,nikondf,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d04,www.priceme.co.nz,l610,610,/,/,nikoncoolpixl610,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d3c,www.priceme.co.nz,epl1,1,/,/,olympuspenepl1,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204d44,www.priceme.co.nz,a700,700,/,/,sonyalphadslra700,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d4a,www.priceme.co.nz,dscs2100,2100,/,/,sonycybershotdscs2100,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d5c,www.priceme.co.nz,dmcgf3,3,/,/,panasoniclumixdmcgf3,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d63,www.priceme.co.nz,d3100,3100,/,/,nikond3100,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d80,www.priceme.co.nz,s8600,8600,/,/,fujifilmfinepixs8600,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d8a,www.priceme.co.nz,dv300f,300,/,/,samsungdv300f,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204d90,www.priceme.co.nz,ex2f,2,/,/,samsungex2f,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204dac,www.priceme.co.nz,s6500,6500,/,/,nikoncoolpixs6500,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204dc9,www.priceme.co.nz,wb850f,850,/,/,samsungwb850f,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204dcc,www.priceme.co.nz,dscwx30,30,/,/,sonycybershotdscwx30,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204de6,www.priceme.co.nz,av130,130,/,/,fujifilmfinepixav130,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e14,www.priceme.co.nz,s3600,3600,/,/,nikoncoolpixs3600,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204e1e,www.priceme.co.nz,k7,7,/,/,pentaxk7,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204e1f,www.priceme.co.nz,nx3000,3000,/,/,samsungnx3000,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204e41,www.priceme.co.nz,qx1,1,/,/,sonyalphaqx1,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e51,www.priceme.co.nz,v1,1,/,/,nikon1v1,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204e63,www.priceme.co.nz,f200,200,/,/,fujifilmfinepixf200,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e6d,www.priceme.co.nz,dscw620,620,/,/,sonycybershotdscw620,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e75,www.priceme.co.nz,d750,750,/,/,nikond750,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204eae,www.priceme.co.nz,nx200,200,/,/,samsungnx200,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204eb1,www.priceme.co.nz,60d,60,/,/,canoneos60d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204ecc,www.priceme.co.nz,j2,2,/,/,nikon1j2,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204ee2,www.priceme.co.nz,dslra390,390,/,/,sonyalphadslra390,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204ee3,www.priceme.co.nz,tg630,630,/,/,olympusstylustoughtg630,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204ee5,www.priceme.co.nz,slta37,37,/,/,sonyalphaslta37,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204ee7,www.priceme.co.nz,645z,645,/,/,pentax645z,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204f15,www.priceme.co.nz,g12,12,/,/,canonpowershotg12,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204f37,www.priceme.co.nz,sx500,500,/,/,canonpowershotsx500,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204f48,www.priceme.co.nz,nx1000,1000,/,/,samsungnx1000,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204f6b,www.priceme.co.nz,sx50,50,/,/,canonpowershotsx50,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204f82,www.priceme.co.nz,1200d,1200,/,/,canoneos1200d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204f8c,www.priceme.co.nz,dmclf1,1,/,/,panasoniclumixdmclf1,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204cc4,www.priceme.co.nz,av110,110,/,/,fujifilmfinepixav110,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204cd2,www.priceme.co.nz,q10,10,/,/,pentaxq10,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204ce5,www.priceme.co.nz,xp70,70,/,/,fujifilmfinepixxp70,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204cfc,www.priceme.co.nz,dmcfz70,70,/,/,panasoniclumixdmcfz70,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d01,www.priceme.co.nz,exzr1000,1000,/,/,casioexilimexzr1000,/,/,/,/,/,/,casio
5f3ba6213fd5b671b2204d0c,www.priceme.co.nz,l120,120,/,/,nikoncoolpixl120,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d1a,www.priceme.co.nz,dschx20,20,/,/,sonycybershotdschx20,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d23,www.priceme.co.nz,x100t,100,/,/,fujifilmx100t,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d2e,www.priceme.co.nz,dscs2000,2000,/,/,sonycybershotdscs2000,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d34,www.priceme.co.nz,dmclx7,7,/,/,panasoniclumixdmclx7,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d3f,www.priceme.co.nz,a580,580,/,/,sonyalphaa580,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d40,www.priceme.co.nz,hs35,35,/,/,fujifilmfinepixhs35,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d60,www.priceme.co.nz,a7r,7,/,/,sonyalphaa7r,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d62,www.priceme.co.nz,ks1,1,/,/,pentaxks1,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204d73,www.priceme.co.nz,dscs3000,3000,/,/,sonycybershotdscs3000,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d96,www.priceme.co.nz,slta33,33,/,/,sonyalphaslta33,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d98,www.priceme.co.nz,dscw350,350,/,/,sonycybershotdscw350,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204db0,www.priceme.co.nz,em1,1,/,/,olympusomdem1,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dc1,www.priceme.co.nz,f770,770,/,/,fujifilmfinepixf770,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204dc6,www.priceme.co.nz,s6300,6300,/,/,nikoncoolpixs6300,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204ddc,www.priceme.co.nz,dscw570,570,/,/,sonycybershotdscw570,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204df4,www.priceme.co.nz,wb1100f,1100,/,/,samsungwb1100f,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204dfe,www.priceme.co.nz,z110,110,/,/,fujifilmfinepixz110,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e25,www.priceme.co.nz,wb30f,30,/,/,samsungwb30f,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204e42,www.priceme.co.nz,stla99v,99,/,/,sonyalphastla99v,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e46,www.priceme.co.nz,xp60,60,/,/,fujifilmfinepixxp60,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e49,www.priceme.co.nz,s110,110,/,/,canonpowershots110,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204e5e,www.priceme.co.nz,s3300,3300,/,/,nikoncoolpixs3300,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204e60,www.priceme.co.nz,p7100,7100,/,/,nikoncoolpixp7100,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204e70,www.priceme.co.nz,slta77,77,/,/,sonyalphaslta77,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e83,www.priceme.co.nz,j110,110,/,/,fujifilmfinepixj110,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e86,www.priceme.co.nz,xz10,10,/,/,olympusxz10,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204e8b,www.priceme.co.nz,k3,3,/,/,pentaxk3,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204ea3,www.priceme.co.nz,s3100,3100,/,/,nikoncoolpixs3100,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204ea4,www.priceme.co.nz,a100,100,/,/,fujifilmfinepixa100,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204eb3,www.priceme.co.nz,p510,510,/,/,nikoncoolpixp510,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204eb4,www.priceme.co.nz,d810,810,/,/,nikond810,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204eb9,www.priceme.co.nz,dscwx70,70,/,/,sonycybershotdscwx70,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204ebe,www.priceme.co.nz,d600,600,/,/,nikond600,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204ecb,www.priceme.co.nz,dmcg6,6,/,/,panasoniclumixdmcg6,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204ece,www.priceme.co.nz,exzr15,15,/,/,casioexilimexzr15,/,/,/,/,/,/,casio
5f3ba6213fd5b671b2204ecf,www.priceme.co.nz,j3,3,/,/,nikon1j3,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204edc,www.priceme.co.nz,vlux3,3,/,/,leicavlux3,/,/,/,/,/,/,leica
5f3ba6213fd5b671b2204ef4,www.priceme.co.nz,j27,27,/,/,fujifilmfinepixj27,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204f0e,www.priceme.co.nz,dmcgx7,7,/,/,panasoniclumixdmcgx7,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204f42,www.priceme.co.nz,l830,830,/,/,nikoncoolpixl830,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204f83,www.priceme.co.nz,sd1,1,/,/,sigmasd1,/,/,/,/,/,/,sigma
5f3ba6213fd5b671b2204f8d,www.priceme.co.nz,400d,400,/,/,canoneos400d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204cb9,www.priceme.co.nz,ixus140,140,/,/,canonixus140,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204cc5,www.priceme.co.nz,p530,530,/,/,nikoncoolpixp530,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204cd3,www.priceme.co.nz,sp100ee,100,/,/,olympusstylussp100ee,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204cd9,www.priceme.co.nz,60da,60,/,/,canoneos60da,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204cf4,www.priceme.co.nz,wb2200,2200,/,/,samsungwb2200,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204d00,www.priceme.co.nz,s4200,4200,/,/,fujifilmfinepixs4200,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d2a,www.priceme.co.nz,dscrx100,100,/,/,sonycybershotdscrx100,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d6a,www.priceme.co.nz,st150f,150,/,/,samsungst150f,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204d6b,www.priceme.co.nz,d3300,3300,/,/,nikond3300,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d6d,www.priceme.co.nz,nex7,7,/,/,sonyalphanex7,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d83,www.priceme.co.nz,dmczs30,30,/,/,panasoniclumixdmczs30,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d8d,www.priceme.co.nz,dscwx350,350,/,/,sonycybershotdscwx350,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204da3,www.priceme.co.nz,ax600,600,/,/,fujifilmfinepixax600,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204dce,www.priceme.co.nz,sp810,810,/,/,olympussp810,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dd3,www.priceme.co.nz,d30,30,/,/,canonpowershotd30,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204dd4,www.priceme.co.nz,s2500hd,2500,/,/,fujifilmfinepixs2500hd,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204de1,www.priceme.co.nz,nex3,3,/,/,sonynex3,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204de2,www.priceme.co.nz,d700,700,/,/,nikond700,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204df1,www.priceme.co.nz,dscwx5,5,/,/,sonycybershotdscwx5,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204dfc,www.priceme.co.nz,x100s,100,/,/,fujifilmfinepixx100s,/,/,/,/,/,/,fujifilm
