key,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba61e3fd5b671b2200841,5f3ba61e3fd5b671b2200841,www.buzzillions.com,d70,70,"""58030""\,""59565""\,""60628""\,""candigrebxtiblk""\,""rebelxtib""\,""rebelxtilens""","""candigrebxtiblk""\,""rebelxtib""\,""rebelxtilens""",canond70candigrebxtiblkrebelxtibrebelxtilens,,3.0,,,,,canon
5f3ba61e3fd5b671b220084f,5f3ba61e3fd5b671b220084f,www.buzzillions.com,dmcfx12,12,"60316 black\,dmcfx12k",dmcfx12k,panasoniclumixdmcfx12dmcfx12k,,,,,,,panasonic
5f3ba61e3fd5b671b2200859,5f3ba61e3fd5b671b2200859,www.buzzillions.com,stylus5010,5010,"183365 blue\,olympusstylus5010",olympusstylus5010,olympusstylus5010olympusstylus5010stylus5010stylus5010,5.0,5.0,,,,,olympus
5f3ba61e3fd5b671b220085f,5f3ba61e3fd5b671b220085f,www.buzzillions.com,stylus1010,1010,"""148900 blue""\,""73411 black""\,""xxolystylus1010""\,""226280""","""xxolystylus1010""\,""226280""",olympusstylus1010226280stylus1010xxolystylus1010,55.0,77.0,,,,,olympus
5f3ba61e3fd5b671b2200866,5f3ba61e3fd5b671b2200866,www.buzzillions.com,m583,583,m583blue,,kodakcameram583,5.0,8.0,,,,CCD,kodak
5f3ba61e3fd5b671b2200871,5f3ba61e3fd5b671b2200871,www.buzzillions.com,"vivicam5024\,v5024s",5024,,,vivitarvivicam5024vivicam5024v5024s,8.0,,,,,,vivitar
5f3ba61e3fd5b671b2200873,5f3ba61e3fd5b671b2200873,www.buzzillions.com,a77,77,,,sonyalphaa77,,,,,,CMOS,sony
5f3ba61e3fd5b671b220087e,5f3ba61e3fd5b671b220087e,www.buzzillions.com,elph310,310,"233064 black\,canps310hs",canps310hs,canonpowershotelph310canps310hselph310,4.0,88.0,,,,CMOS,canon
5f3ba61e3fd5b671b2200887,5f3ba61e3fd5b671b2200887,www.buzzillions.com,wb210,210,,,samsungwb210wb210wb210,5.0,1212.0,,,,,samsung
5f3ba61e3fd5b671b2200889,5f3ba61e3fd5b671b2200889,www.buzzillions.com,t99,99,,,sonycybershotdigitalcamerat99,,4.0,,,,,sony
5f3ba61e3fd5b671b2200896,5f3ba61e3fd5b671b2200896,www.buzzillions.com,olystylus9000,9000,"166989 black\,olystylus9000",olystylus9000,olympusstylusdigitalolystylus9000olystylus9000,5.0,1010.0,,,,,olympus
5f3ba61e3fd5b671b22008a0,5f3ba61e3fd5b671b22008a0,www.buzzillions.com,s2550,2550,"183357\,fujifinepixs2550",fujifinepixs2550,fujifilmfinepixs2550fujifinepixs2550,,1818.0,,,,,fujifilm
5f3ba61e3fd5b671b22008b8,5f3ba61e3fd5b671b22008b8,www.buzzillions.com,elph100,100,"""208309 blue""\,""208310 blue""\,""215218 silver""\,""218094""\,""013803132007""\,""575302bndl""\,""canps100hs""\,""canps100hskit""\,pse100hsblutru","""013803132007""\,""575302bndl""\,""canps100hs""\,""canps100hskit""",canonpowershotelph100013803132007575302bndlcanps100hscanps100hskitelph100,44.0,44.0,,,,,canon
5f3ba61e3fd5b671b22008da,5f3ba61e3fd5b671b22008da,www.buzzillions.com,sp560,560,,,olympussp560,5.6,18.0,,,,,olympus
5f3ba61e3fd5b671b22008e3,5f3ba61e3fd5b671b22008e3,www.buzzillions.com,sp800uz,800,"180108\,227665",227665,olympussp800uz227665sp800uzsp800uz,5.0,30.0,,,,,olympus
5f3ba61e3fd5b671b22008e6,5f3ba61e3fd5b671b22008e6,www.buzzillions.com,n,,,,canonpowershotn,,8.0,,,,CMOS,canon
5f3ba61e3fd5b671b22008e8,5f3ba61e3fd5b671b22008e8,www.buzzillions.com,stylus5010,5010,"183365 blue\,olympusstylus5010",olympusstylus5010,olympusstylus5010olympusstylus5010stylus5010stylus5010,5.0,5.0,,,,,olympus
5f3ba61e3fd5b671b22008f2,5f3ba61e3fd5b671b22008f2,www.buzzillions.com,canpssd850is,850,"62253\,canpssd850is",canpssd850is,canonpowershotelphcanpssd850iscanpssd850is,444.0,444.0,,,,,canon
5f3ba61e3fd5b671b22008f6,5f3ba61e3fd5b671b22008f6,www.buzzillions.com,"s230\,reflector21",230,"154841 black\,nkns230",nkns230,nikoncoolpixs230nkns230s230reflector21,4.0,33.0,,,,,nikon
5f3ba61e3fd5b671b22008f7,5f3ba61e3fd5b671b22008f7,www.buzzillions.com,dmcgx7,7,,,panasoniclumixdmcgx7,,,,,,,panasonic
5f3ba61e3fd5b671b220090c,5f3ba61e3fd5b671b220090c,www.buzzillions.com,slta55,55,,,sonyalphaslta55,,,,,,,sony
5f3ba61e3fd5b671b2200911,5f3ba61e3fd5b671b2200911,www.buzzillions.com,st65,65,,,samsungst65st65st65,,5.0,,,,CCD,samsung
5f3ba61e3fd5b671b220091c,5f3ba61e3fd5b671b220091c,www.buzzillions.com,z712,712,"106536 black\,1699511",1699511,kodakeasysharez7121699511z712z712,4.2,12.0,,,,,kodak
5f3ba61e3fd5b671b220091f,5f3ba61e3fd5b671b220091f,www.buzzillions.com,stylus7040,7040,,,olympusstylus7040stylus7040stylus7040,5.0,7.0,,,,,olympus
5f3ba61e3fd5b671b2200923,5f3ba61e3fd5b671b2200923,www.buzzillions.com,dmczs20,20,,,panasoniclumixdmczs20,,20.0,,,,CMOS,panasonic
5f3ba61e3fd5b671b2200942,5f3ba61e3fd5b671b2200942,www.buzzillions.com,dmcfp1s,1,,,panasoniclumixdmcfp1sdmcfp1sdmcfp1s,4.0,4.0,,,0.31,,panasonic
5f3ba61e3fd5b671b2200943,5f3ba61e3fd5b671b2200943,www.buzzillions.com,f850exr,850,fpf850exrblk,,fujifilmfinepixf850exr,2.0,20.0,,,,CMOS,fujifilm
5f3ba61e3fd5b671b220094e,5f3ba61e3fd5b671b220094e,www.buzzillions.com,dschx200v,200,,,sonycybershotdschx200v,,30.0,,,,CMOS,sony
5f3ba61f3fd5b671b2200958,5f3ba61f3fd5b671b2200958,www.buzzillions.com,f500exr,500,,,fujifilmfinepixf500exrf500exrf500exr,5.0,15.0,,,,,fujifilm
5f3ba61f3fd5b671b220095a,5f3ba61f3fd5b671b220095a,www.buzzillions.com,is326,326,"289315 white\,is326whrd",is326whrd,polaroidis326is326whrd,,,,,,,polaroid
5f3ba61f3fd5b671b2200965,5f3ba61f3fd5b671b2200965,www.buzzillions.com,,,"148789 black\,15841174",15841174,fujifilmcamera15841174,,1515.0,,,,,fujifilm
5f3ba61f3fd5b671b220097a,5f3ba61f3fd5b671b220097a,www.buzzillions.com,t350,350,"244223\,074101012651",074101012651,fujifilmfinepixt350074101012651,6.7,10.0,,,,CCD,fujifilm
5f3ba61f3fd5b671b2200987,5f3ba61f3fd5b671b2200987,www.buzzillions.com,c143,143,,,kodakc143c143c143,5.0,3.0,,,,,kodak
5f3ba61f3fd5b671b22009a6,5f3ba61f3fd5b671b22009a6,www.buzzillions.com,exz35,35,"196151\,exz35bk",exz35bk,casioexilimexz35exz35bk,4.0,3.0,,,,,casio
5f3ba61f3fd5b671b22009a7,5f3ba61f3fd5b671b22009a7,www.buzzillions.com,dmcg2k,2,,,panasoniclumixdmcg2k,,3.0,,,,,panasonic
5f3ba61f3fd5b671b22009aa,5f3ba61f3fd5b671b22009aa,www.buzzillions.com,g1,1,"60667 black\,g1",g1,geapplianceg1,4.5,3.0,,,,,ge
5f3ba61f3fd5b671b22009b0,5f3ba61f3fd5b671b22009b0,www.buzzillions.com,extr100,100,,,casioextr100,4.04,2.0,,,,,casio
5f3ba61f3fd5b671b22009d2,5f3ba61f3fd5b671b22009d2,www.buzzillions.com,t5i,5,,,canoneosrebelt5i,,37.0,,,,CMOS,canon
5f3ba61f3fd5b671b22009d7,5f3ba61f3fd5b671b22009d7,www.buzzillions.com,a2500,2500,"280877\,013803216714",013803216714,canonpowershota2500013803216714a2500a2500,,5.0,,,,CCD,canon
5f3ba61f3fd5b671b22009df,5f3ba61f3fd5b671b22009df,www.buzzillions.com,dp2s,2,,,sigmadp2s,,,,,,,sigma
5f3ba61f3fd5b671b22009f9,5f3ba61f3fd5b671b22009f9,www.buzzillions.com,dmczs30,30,,,panasoniclumixdmczs30,,20.0,,,,CMOS,panasonic
5f3ba61f3fd5b671b22009fd,5f3ba61f3fd5b671b22009fd,www.buzzillions.com,dp1x,1,,,sigmadp1x,,,,,,CMOS,sigma
5f3ba61f3fd5b671b2200a00,5f3ba61f3fd5b671b2200a00,www.buzzillions.com,nexc3,3,,,sonyalphanexc3,,,,,,CMOS,sony
5f3ba61f3fd5b671b2200a01,5f3ba61f3fd5b671b2200a01,www.buzzillions.com,dsctx66,66,,,sonycybershotdsctx66,,5.0,,,,CMOS,sony
5f3ba61f3fd5b671b2200a0b,5f3ba61f3fd5b671b2200a0b,www.buzzillions.com,sz30mr,30,,,olympussz30mr,44.0,2424.0,,,,CMOS,olympus
5f3ba61f3fd5b671b2200a16,5f3ba61f3fd5b671b2200a16,www.buzzillions.com,"tough8010\,tough3000",8010,"""183363 silver""\,""211971 black""\,""227655""\,""olympusstylustough8010""\,""227660""","""227655""\,""olympusstylustough8010""",olympusstylustough8010227655olympusstylustough8010tough8010tough3000,55.0,55.0,,,,,olympus
5f3ba61f3fd5b671b2200a1f,5f3ba61f3fd5b671b2200a1f,www.buzzillions.com,g15,15,,,canonpowershotg15,,5.0,,,,CMOS,canon
5f3ba61f3fd5b671b2200a21,5f3ba61f3fd5b671b2200a21,www.buzzillions.com,slta99v,99,,,sonyslta99v,,,,,,CMOS,sony
5f3ba61f3fd5b671b2200a2a,5f3ba61f3fd5b671b2200a2a,www.buzzillions.com,hs30exr,30,,,fujifilm16229347finepixhs30exr,,30.0,,,,CMOS,fujifilm
5f3ba61f3fd5b671b2200a31,5f3ba61f3fd5b671b2200a31,www.buzzillions.com,uni20560dd,20560,"78101\,uni20560dd\,m522red",uni20560dd,kodakedtvwidescreenuni20560dduni20560dd,5.0,4.0,,,,CCD,kodak
5f3ba61f3fd5b671b2200a4f,5f3ba61f3fd5b671b2200a4f,www.buzzillions.com,a735,735,"133430 silver\,a735",a735,geappliancea735,4.5,3.0,,,,,ge
5f3ba61f3fd5b671b2200a59,5f3ba61f3fd5b671b2200a59,www.buzzillions.com,c190,190,"173003\,c190\,c190red",c190,kodakeasysharec190c190c190,5.0,5.0,,,,,kodak
5f3ba61f3fd5b671b2200a63,5f3ba61f3fd5b671b2200a63,www.buzzillions.com,l22,22,"173748 red\,nknl22",nknl22,nikoncoolpixl22nknl22,44.0,,,,,,nikon
5f3ba61f3fd5b671b2200a69,5f3ba61f3fd5b671b2200a69,www.buzzillions.com,epl2,2,,,olympuspenepl2,,4.0,,,,,olympus
5f3ba61f3fd5b671b2200a72,5f3ba61f3fd5b671b2200a72,www.buzzillions.com,r1901,1901,"191974\,r1901",r1901,fisherpricesesamestreetr1901r1901,,,,,,,fisherprice
5f3ba61f3fd5b671b2200a82,5f3ba61f3fd5b671b2200a82,www.buzzillions.com,tl210,210,"180114\,ectl210zbprus",ectl210zbprus,samsungtl210ectl210zbprustl210tl210,4.0,5.0,,,,,samsung
5f3ba61f3fd5b671b2200a91,5f3ba61f3fd5b671b2200a91,www.buzzillions.com,s610,610,"148895 black\,26125bgr",26125bgr,nikoncoolpixs61026125bgr,4.0,44.0,,,,,nikon
5f3ba61f3fd5b671b2200a9c,5f3ba61f3fd5b671b2200a9c,www.buzzillions.com,a800,800,"208321 black\,canpsa800",canpsa800,canonpowershota800canpsa800,4.0,,,,,,canon
5f3ba61f3fd5b671b2200ab0,5f3ba61f3fd5b671b2200ab0,www.buzzillions.com,stylus5010,5010,"183365 blue\,olympusstylus5010",olympusstylus5010,olympusstylus5010olympusstylus5010stylus5010stylus5010,5.0,5.0,,,,,olympus
5f3ba61f3fd5b671b2200ac6,5f3ba61f3fd5b671b2200ac6,www.buzzillions.com,s6200,6200,,,nikoncoolpixs6200,44.0,1010.0,,,,CCD,nikon
5f3ba61f3fd5b671b2200b0a,5f3ba61f3fd5b671b2200b0a,www.buzzillions.com,dscwx5,5,,,sonycybershotdscwx5,,55.0,,,,,sony
5f3ba61f3fd5b671b2200b0b,5f3ba61f3fd5b671b2200b0b,www.buzzillions.com,vg120,120,"211977 black\,228180",228180,olympusvg120228180vg120vg120,,5.0,,,,,olympus
5f3ba61f3fd5b671b2200b1b,5f3ba61f3fd5b671b2200b1b,www.buzzillions.com,sd940,940,"180129\,3640b001",3640b001,canonpowershotsd9403640b001sd940sd940,44.0,44.0,,,,,canon
5f3ba61f3fd5b671b2200b23,5f3ba61f3fd5b671b2200b23,www.buzzillions.com,tl240,240,,,samsungtl240,4.0,7.0,,,,,samsung
5f3ba61f3fd5b671b2200b26,5f3ba61f3fd5b671b2200b26,www.buzzillions.com,x100,100,,,fujifilmfinepixx100,,,,,,,fujifilm
5f3ba61f3fd5b671b2200b29,5f3ba61f3fd5b671b2200b29,www.buzzillions.com,v1073,1073,"147331\,kdk1247576",kdk1247576,kodakdigitalcamerav1073kdk1247576,5.0,3.0,,,,,kodak
5f3ba61f3fd5b671b2200b2d,5f3ba61f3fd5b671b2200b2d,www.buzzillions.com,vr320,320,"211975 black\,228125\,""228135""\,""228140""\,""228130""",228125,olympusvr320228125,,12.0,,,,,olympus
5f3ba61f3fd5b671b2200b31,5f3ba61f3fd5b671b2200b31,www.buzzillions.com,rx100,100-2,,,sonycybershotdigitalcamerarx100,,3.6,,,,CMOS,sony
5f3ba61e3fd5b671b22007ff,5f3ba61e3fd5b671b22007ff,www.buzzillions.com,a490,490,"180143\,a490",a490,canonpowershota490a490a490,4.0,,,,,,canon
5f3ba61e3fd5b671b2200811,5f3ba61e3fd5b671b2200811,www.buzzillions.com,dmcts5,5,"""318802 orange""\,""318801 red""\,""280892""\,""qz4519202122""\,""qz45161718""\,""885170117013""","""qz4519202122""\,""qz45161718""\,""885170117013""",panasoniclumixdmcts5885170117013qz45161718qz4519202122,,4.0,,,,"[""CCD""\,""CMOS""]",panasonic
5f3ba61e3fd5b671b2200827,5f3ba61e3fd5b671b2200827,www.buzzillions.com,w80,80,"""160024 gray""\,""174590 red""\,""ptx17731""\,""027075154773""","""ptx17731""\,""027075154773""",pentaxoptiow80027075154773ptx17731,,5.0,,,,,pentax
5f3ba61e3fd5b671b220083c,5f3ba61e3fd5b671b220083c,www.buzzillions.com,stylus850,850,"""148902 black""\,""73414 blue""\,""226325bl""\,""olystylus850sw""","""226325bl""\,""olystylus850sw""",olympusstylus850226325blolystylus850swstylus850stylus850,55.0,33.0,,,,,olympus
5f3ba61e3fd5b671b220083d,5f3ba61e3fd5b671b220083d,www.buzzillions.com,pandmczs10,10,"214729\,pandmczs10black",pandmczs10black,panasoniclumixdigitalpandmczs10pandmczs10,44.0,16164.0,,,,CCD,panasonic
5f3ba61e3fd5b671b2200845,5f3ba61e3fd5b671b2200845,www.buzzillions.com,nex6l,6,,,sonynex6l,,3.0,,,,,sony
5f3ba61e3fd5b671b2200846,5f3ba61e3fd5b671b2200846,www.buzzillions.com,j1,1,,,nikon1j1,,,,,,,nikon
5f3ba61e3fd5b671b2200849,5f3ba61e3fd5b671b2200849,www.buzzillions.com,dmcfh5,5,,,panasoniclumixdmcfh5,4.0,4.0,,,,,panasonic
5f3ba61e3fd5b671b2200854,5f3ba61e3fd5b671b2200854,www.buzzillions.com,k7,7,"158715\,17811",17811,pentaxk717811,,,,,,,pentax
5f3ba61e3fd5b671b220085b,5f3ba61e3fd5b671b220085b,www.buzzillions.com,l120,120,"215639 black\,26253",26253,nikoncoolpixl12026253l120l120,4.0,21.0,,,,,nikon
5f3ba61e3fd5b671b2200865,5f3ba61e3fd5b671b2200865,www.buzzillions.com,dslra580,580,,,sonyalphadslra580,,,,,,,sony
5f3ba61e3fd5b671b2200882,5f3ba61e3fd5b671b2200882,www.buzzillions.com,"v1253\,v2",1253,"""106538 black""\,""106530 white""\,""1076645""\,""8722787""","""1076645""\,""8722787""",kodakeasysharev125310766458722787v1253v2,5.0,3.0,,,,,kodak
5f3ba61e3fd5b671b220089d,5f3ba61e3fd5b671b220089d,www.buzzillions.com,"dmcfx37k\,dmcfx37",37,,,panasonicdmcfx37kdmcfx37kdmcfx37,4.0,5.0,,,,,panasonic
5f3ba61e3fd5b671b220089f,5f3ba61e3fd5b671b220089f,www.buzzillions.com,with18,18,"166264 black\,16301ptx",16301ptx,pentax1630316301ptxwith18,,3.0,,,,,pentax
5f3ba61e3fd5b671b22008ac,5f3ba61e3fd5b671b22008ac,www.buzzillions.com,exz16,16,"207227\,exz16bk",exz16bk,casioexilimexz16exz16bk,44.0,33.0,,,,,casio
5f3ba61e3fd5b671b22008ad,5f3ba61e3fd5b671b22008ad,www.buzzillions.com,z990,990,,,kodakeasysharemaxz990,54.0,30.0,,,,,kodak
5f3ba61e3fd5b671b22008b6,5f3ba61e3fd5b671b22008b6,www.buzzillions.com,e620,620,"156303\,olyevolt620ii",olyevolt620ii,olympuse620olyevolt620ii,,,,,,,olympus
5f3ba61e3fd5b671b22008be,5f3ba61e3fd5b671b22008be,www.buzzillions.com,"f80exr\,casioexg1",80,,,fujifilmfinepixf80exrf80exrcasioexg1,44.0,1010.0,,,,,fujifilm
5f3ba61e3fd5b671b22008c7,5f3ba61e3fd5b671b22008c7,www.buzzillions.com,s3000,3000,"173749 plum\,nkns3000",nkns3000,nikoncoolpixs3000nkns3000,4.0,4.0,,,,,nikon
5f3ba61e3fd5b671b22008fa,5f3ba61e3fd5b671b22008fa,www.buzzillions.com,lumix,,"327223\,885170150737",885170150737,panasoniclumixdigital885170150737,,,,,,,panasonic
5f3ba61e3fd5b671b2200901,5f3ba61e3fd5b671b2200901,www.buzzillions.com,wg1,1,"""16896""\,""16911""",,pentaxoptiowg1,6.7,5.0,,,,CCD,pentax
5f3ba61e3fd5b671b2200915,5f3ba61e3fd5b671b2200915,www.buzzillions.com,dmcfs15,15,,,panasonicdmcfs15,44.0,55.0,,,,,panasonic
5f3ba61e3fd5b671b2200932,5f3ba61e3fd5b671b2200932,www.buzzillions.com,z10,10,"158834\,ptxz10",ptxz10,pentaxpentaxoptioz10ptxz10z10z10,,77.0,,,,,pentax
5f3ba61e3fd5b671b2200933,5f3ba61e3fd5b671b2200933,www.buzzillions.com,a850,850,,,sonyalphadslra850,,,,,,,sony
5f3ba61e3fd5b671b2200940,5f3ba61e3fd5b671b2200940,www.buzzillions.com,m340,340,"168716 silver\,kodakm340\,m340red",kodakm340,kodakeasysharem340kodakm340,5.0,53.0,,,,,kodak
5f3ba61f3fd5b671b2200969,5f3ba61f3fd5b671b2200969,www.buzzillions.com,t4i,4,"253343 black\,cant4i1855",cant4i1855,canoneosrebelt4icant4i1855,,3.0,,,,CMOS,canon
5f3ba61f3fd5b671b2200974,5f3ba61f3fd5b671b2200974,www.buzzillions.com,"8160b001\,under200",8160,"""289020""\,""280876""\,""013803207095""\,""013803156881""","""013803207095""\,""013803156881""",canon8160b0010138031568810138032070958160b001under200,,530.0,,,,CCD,canon
5f3ba61f3fd5b671b220097b,5f3ba61f3fd5b671b220097b,www.buzzillions.com,slta58,58,,,sonyalphadslrslta58,,3.0,,,,CMOS,sony
5f3ba61f3fd5b671b220097d,5f3ba61f3fd5b671b220097d,www.buzzillions.com,mv800,800,,,samsungmv800,,5.0,,,,CCD,samsung
5f3ba61f3fd5b671b2200984,5f3ba61f3fd5b671b2200984,www.buzzillions.com,"sd1300is\,sd1300",1300,"""175000 blue""\,""202242 silver""\,""212917 blue""\,""013803119534""\,""canpssd1300is""","""013803119534""\,""canpssd1300is""",canonpowershotsd1300is013803119534canpssd1300issd1300issd1300,44.0,44.0,,,,,canon
5f3ba61f3fd5b671b2200988,5f3ba61f3fd5b671b2200988,www.buzzillions.com,dsctx9,9,,,sonycybershotdsctx9,42.0,4124.0,,,,,sony
5f3ba61f3fd5b671b2200989,5f3ba61f3fd5b671b2200989,www.buzzillions.com,tl110,110,,,samsungtl110tl110tl110,5.0,5.0,,,,,samsung
5f3ba61f3fd5b671b2200997,5f3ba61f3fd5b671b2200997,www.buzzillions.com,d7100,7100,,,nikond7100,,,,,,,nikon
5f3ba61f3fd5b671b2200998,5f3ba61f3fd5b671b2200998,www.buzzillions.com,fox2005763dd,2005763,"114739\,fox2005763dd",fox2005763dd,foxonefinefox2005763ddfox2005763dd,,4.0,,,,,fox
5f3ba61f3fd5b671b220099f,5f3ba61f3fd5b671b220099f,www.buzzillions.com,16,16,,,panasoniclumixdigitalcamera16camera16,4.0,8.0,,,,,panasonic
5f3ba61f3fd5b671b22009a1,5f3ba61f3fd5b671b22009a1,www.buzzillions.com,l22,22,"173748 red\,nknl22",nknl22,nikoncoolpixl22nknl22,44.0,,,,,,nikon
5f3ba61f3fd5b671b22009b8,5f3ba61f3fd5b671b22009b8,www.buzzillions.com,nex3nl,3,,,sonyalphanex3nl,,3.0,,,,CMOS,sony
5f3ba61f3fd5b671b22009b9,5f3ba61f3fd5b671b22009b9,www.buzzillions.com,pandmczs10,10,"214729\,pandmczs10black",pandmczs10black,panasoniclumixdigitalpandmczs10pandmczs10,44.0,41616.0,,,,CCD,panasonic
5f3ba61f3fd5b671b22009bb,5f3ba61f3fd5b671b22009bb,www.buzzillions.com,"l20\,s230",20,"154839\,nknl20red",nknl20red,nikoncoolpixl20l20s230nknl20,4.0,,,,,,nikon
5f3ba61f3fd5b671b22009bf,5f3ba61f3fd5b671b22009bf,www.buzzillions.com,pandmczs10,10,"214729\,pandmczs10black",pandmczs10black,panasoniclumixdigitalpandmczs10pandmczs10,44.0,41616.0,,,,CCD,panasonic
5f3ba61f3fd5b671b22009ca,5f3ba61f3fd5b671b22009ca,www.buzzillions.com,s80,80,,,nikoncoolpixs80,44.0,55.0,,,,,nikon
5f3ba61f3fd5b671b22009d3,5f3ba61f3fd5b671b22009d3,www.buzzillions.com,s630,630,"""166978 silver""\,""154843 black""\,nkns630",nkns630,nikoncoolpixs630nkns630,74.0,777.0,,,,,nikon
5f3ba61f3fd5b671b22009d6,5f3ba61f3fd5b671b22009d6,www.buzzillions.com,tx9,9,,,sonytx9,2.0,44.0,,,,,sony
5f3ba61f3fd5b671b22009de,5f3ba61f3fd5b671b22009de,www.buzzillions.com,dscw510,510,,,sonycybershotdscw510,,4.0,,,,,sony
5f3ba61f3fd5b671b22009e0,5f3ba61f3fd5b671b22009e0,www.buzzillions.com,xp50,50,"""250794""\,""250524""\,""074101014853""\,""074101014860""","""074101014853""\,""074101014860""",fujifilmfinepixxp50074101014853074101014860,,5.0,,,,CMOS,fujifilm
5f3ba61f3fd5b671b22009fa,5f3ba61f3fd5b671b22009fa,www.buzzillions.com,vr340,340,,,olympusvr340,,10.0,,,,CCD,olympus
5f3ba61f3fd5b671b2200a08,5f3ba61f3fd5b671b2200a08,www.buzzillions.com,epl1,1,,,olympusepl1,,3.0,,,,,olympus
5f3ba61f3fd5b671b2200a09,5f3ba61f3fd5b671b2200a09,www.buzzillions.com,sx20,20,"180130\,3633b001",3633b001,canonpowershotsx203633b001,44.0,2020.0,,,,,canon
5f3ba61f3fd5b671b2200a1e,5f3ba61f3fd5b671b2200a1e,www.buzzillions.com,60da,60,,,canoneos60da,,,,,,CMOS,canon
5f3ba61f3fd5b671b2200a39,5f3ba61f3fd5b671b2200a39,www.buzzillions.com,t4i,4,"253342 black\,cant4i18135",cant4i18135,canoneosrebelt4icant4i18135,,3.0,,,,CMOS,canon
5f3ba61f3fd5b671b2200a3c,5f3ba61f3fd5b671b2200a3c,www.buzzillions.com,elph110,110,"""250529""\,""240328 black""\,""013803145649""\,""canps110hs""","""013803145649""\,""canps110hs""",canonpowershotelph110013803145649canps110hselph110,44.0,5.0,,,,CMOS,canon
5f3ba61f3fd5b671b2200a70,5f3ba61f3fd5b671b2200a70,www.buzzillions.com,dscs750,750,,,sonycybershotdscs750,,3.0,,,,,sony
5f3ba61f3fd5b671b2200a74,5f3ba61f3fd5b671b2200a74,www.buzzillions.com,z90,90,fpz90blue,,fujifilmfinepixz90,6.8,5.0,,,,CCD,fujifilm
5f3ba61f3fd5b671b2200a77,5f3ba61f3fd5b671b2200a77,www.buzzillions.com,j1,1,"238815\,018208275281",018208275281,nikon1j1018208275281,,,,,,CMOS,nikon
5f3ba61f3fd5b671b2200aa1,5f3ba61f3fd5b671b2200aa1,www.buzzillions.com,m3,3,,,canoneosm3m3,,3.0,,,,CMOS,canon
5f3ba61f3fd5b671b2200acb,5f3ba61f3fd5b671b2200acb,www.buzzillions.com,t400,400,,,fujifilmfinepixt400,,,,,,,fujifilm
5f3ba61f3fd5b671b2200ad2,5f3ba61f3fd5b671b2200ad2,www.buzzillions.com,"concepts clipshot\,conceptsclipshot",,"180140\,11692",11692,digitalconceptsclipshot11692,,,,,,,digital
5f3ba61f3fd5b671b2200ad9,5f3ba61f3fd5b671b2200ad9,www.buzzillions.com,s8100,8100,"200338 black\,nkns8100black",nkns8100black,nikoncoolpixs8100nkns8100s8100s8100,44.0,1010.0,,,,,nikon
5f3ba61f3fd5b671b2200ada,5f3ba61f3fd5b671b2200ada,www.buzzillions.com,olystylus9000,9000,"166989 black\,olystylus9000",olystylus9000,olympusstylusdigitalolystylus9000olystylus9000,5.0,1010.0,,,,,olympus
5f3ba61f3fd5b671b2200af7,5f3ba61f3fd5b671b2200af7,www.buzzillions.com,v5024,5024,"186147 blue\,v5024",v5024,vivitarv5024,,,,,,,vivitar
