,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
10595,5f3ba61e3fd5b671b220046c,www.ukdigitalcameras.co.uk,sx700,/,9338b014aa,/,canonpowershotsx700,/,30.0,/,/,/,/,canon
10596,5f3ba61e3fd5b671b2200475,www.ukdigitalcameras.co.uk,wg4,/,08586,/,ricohwg4,/,4.0,/,/,/,/,ricoh
10598,5f3ba61e3fd5b671b220048f,www.ukdigitalcameras.co.uk,sx520,/,9544b002,/,canonpowershotsx520,/,42.0,/,/,/,/,canon
10599,5f3ba61e3fd5b671b2200493,www.ukdigitalcameras.co.uk,hx60v,/,dschx60v/b,/,sonycybershothx60v,/,30.0,/,/,/,/,sony
10600,5f3ba61e3fd5b671b22004ab,www.ukdigitalcameras.co.uk,lx7,/,dmc-lx5eb-k,/,panasoniclumixlx7,/,3.8,/,/,/,/,panasonic
10601,5f3ba61e3fd5b671b22004b3,www.ukdigitalcameras.co.uk,wg20,/,08061,/,ricohwg20,/,5.0,/,/,/,/,ricoh
10602,5f3ba61e3fd5b671b22004cd,www.ukdigitalcameras.co.uk,p340,/,vna490e1,/,nikoncoolpixp340,/,5.0,/,/,/,/,nikon
10603,5f3ba61e3fd5b671b22004d0,www.ukdigitalcameras.co.uk,xq1,/,p10nc11760a,/,fujixq1,/,4.0,/,/,/,/,fuji
12353,5f3ba61e3fd5b671b220046a,www.ukdigitalcameras.co.uk,ixus140,/,8195b010aa,/,canonixus140,/,5.0,/,/,/,/,canon
12356,5f3ba61e3fd5b671b2200495,www.ukdigitalcameras.co.uk,sx400,/,9769b002,/,canonpowershotsx400,/,30.0,/,/,/,/,canon
12357,5f3ba61e3fd5b671b220049a,www.ukdigitalcameras.co.uk,dmclf1,/,dmc-lf1eb-k,/,panasoniclumixdmclf1,/,7.1,/,/,/,/,panasonic
12358,5f3ba61e3fd5b671b220049b,www.ukdigitalcameras.co.uk,xe2,/,p10nc11740a,/,fujixe2,/,,/,/,/,/,fuji
12359,5f3ba61e3fd5b671b22004a1,www.ukdigitalcameras.co.uk,dscrx1r,/,dscrx1r/b,/,sonycybershotdscrx1r,/,,/,/,/,/,sony
12364,5f3ba61e3fd5b671b22004bf,www.ukdigitalcameras.co.uk,700d,/,8596b027aa,/,canoneos700d,/,,/,/,/,/,canon
14157,5f3ba61e3fd5b671b2200481,www.ukdigitalcameras.co.uk,rx10,/,dscrx10.ceh,/,sonycybershotrx10,/,8.0,/,/,/,/,sony
14158,5f3ba61e3fd5b671b2200491,www.ukdigitalcameras.co.uk,ixus155,/,9357b006,/,canonixus155,/,10.0,/,/,/,/,canon
15883,5f3ba61e3fd5b671b22004a5,www.ukdigitalcameras.co.uk,gr,/,175749,/,ricohgr,/,,/,/,/,/,ricoh
15884,5f3ba61e3fd5b671b22004b0,www.ukdigitalcameras.co.uk,s120,/,8407b012aa,/,canonpowershots120,/,5.0,/,/,/,/,canon
17619,5f3ba61e3fd5b671b2200471,www.ukdigitalcameras.co.uk,sz8,/,dmc-sz8eb-k,/,panasoniclumixsz8,/,12.0,/,/,/,/,panasonic
17621,5f3ba61e3fd5b671b2200492,www.ukdigitalcameras.co.uk,g16,/,8406b012aa,/,canonpowershotg16,/,5.0,/,/,/,/,canon
17622,5f3ba61e3fd5b671b220049c,www.ukdigitalcameras.co.uk,sx60,/,9543b009aa,/,canonpowershotsx60,/,65.0,/,/,/,/,canon
19374,5f3ba61e3fd5b671b2200463,www.ukdigitalcameras.co.uk,galaxy2,/,ek-gc200zwabtu,/,samsunggalaxy2,/,21.0,/,/,/,/,samsung
19375,5f3ba61e3fd5b671b2200469,www.ukdigitalcameras.co.uk,sp100ee,/,v103070be000,/,olympussp100ee,/,50.0,/,/,/,/,olympus
19376,5f3ba61e3fd5b671b220046b,www.ukdigitalcameras.co.uk,s4800,/,p10nc09950a,/,fujifinepixs4800,/,30.0,/,/,/,/,fuji
19377,5f3ba61e3fd5b671b220047a,www.ukdigitalcameras.co.uk,ft25,/,dmc-ft25eb-a,/,panasoniclumixft25,/,4.0,/,/,/,/,panasonic
19380,5f3ba61e3fd5b671b2200499,www.ukdigitalcameras.co.uk,p7800,/,vna670e1,/,nikoncoolpixp7800,/,7.1,/,/,/,/,nikon
19383,5f3ba61e3fd5b671b22004ad,www.ukdigitalcameras.co.uk,galaxy2,/,ek-gc200zkabtu,/,samsunggalaxy2,/,21.0,/,/,/,/,samsung
19385,5f3ba61e3fd5b671b22004c1,www.ukdigitalcameras.co.uk,hx400v,/,dschx400vb.ceh,/,sonycybershothx400v,/,50.0,/,/,/,/,sony
