,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_sensor,famer_brand_list
3467,5f3ba6213fd5b671b2205218,21,www.pcconnection.com,nex5t,5,/,/,sonyalphanex5t,,,,,,Exmor APS HD CMOS,Exmor APS HD CMOS,sony
3468,5f3ba6213fd5b671b2205227,22,www.pcconnection.com,em5,5,/,/,olympusomdem5,,,,,,Live MOS,Live MOS,olympus
3469,5f3ba6213fd5b671b2205241,23,www.pcconnection.com,wgm1,1,/,/,pentaxwgm1,,,,,,,,pentax
3470,5f3ba6213fd5b671b220524a,24,www.pcconnection.com,galaxy2,2,/,/,samsunggalaxy2,,21 ,5.2,2.8,283.495,CMOS,CMOS,samsung
3471,5f3ba6213fd5b671b220524d,25,www.pcconnection.com,em10,10,/,/,olympusomdem10,,,,,,Live MOS,Live MOS,olympus
3472,5f3ba6213fd5b671b220524f,26,www.pcconnection.com,j3,3,/,/,nikonj3,,,,,,CMOS,CMOS,nikon
3473,5f3ba6213fd5b671b220525c,27,www.pcconnection.com,dmclx7,7,/,/,panasonicdmclx7,,,,,,MOS,MOS,panasonic
3474,5f3ba6213fd5b671b220525d,28,www.pcconnection.com,elph150,150,/,/,canonpowershotelph150,4 ,10 ,3.8,2.2,124.73780000000001,CCD,CCD,canon
3475,5f3ba6213fd5b671b220527b,29,www.pcconnection.com,xp70,70,/,/,fujifilmfinepixxp70,,,,,,CMOS,CMOS,fujifilm
3476,5f3ba6213fd5b671b2205281,30,www.pcconnection.com,dscwx300,300,/,/,sonydscwx300,,,,,,Exmor R CMOS,Exmor R CMOS,sony
3477,5f3ba6213fd5b671b2205283,31,www.pcconnection.com,60d,60,/,/,canoneos60d,,,,,,CMOS,CMOS,canon
3478,5f3ba6213fd5b671b2205293,32,www.pcconnection.com,d610,610,/,/,nikond610,,,5.6,4.4,771.1064,CMOS,CMOS,nikon
3479,5f3ba6213fd5b671b2205295,33,www.pcconnection.com,elph150,150,/,/,canonpowershotelph150,4 ,10 ,3.8,2.2,124.73780000000001,CCD,CCD,canon
5241,5f3ba6213fd5b671b22051d7,34,www.pcconnection.com,rx1r,1,/,/,sonycybershotrx1r,,,,,,Exmor CMOS,Exmor CMOS,sony
5242,5f3ba6213fd5b671b22051da,35,www.pcconnection.com,galaxy16,16,/,/,samsunggalaxy16,,21 ,5.1,2.8,303.33964999999995,BSI-CMOS,BSI-CMOS,samsung
5243,5f3ba6213fd5b671b22051e7,36,www.pcconnection.com,tg850,850,/,/,olympusstylustoughtg850,,,,,,BSI-CMOS,BSI-CMOS,olympus
5244,5f3ba6213fd5b671b22051e8,37,www.pcconnection.com,d5100,5100,/,/,nikond5100,,,,,,CMOS,CMOS,nikon
5245,5f3ba6213fd5b671b220521f,38,www.pcconnection.com,nex5t,5,/,/,sonyalphanex5t,,,,,,Exmor APS HD CMOS,Exmor APS HD CMOS,sony
5246,5f3ba6213fd5b671b2205237,39,www.pcconnection.com,t5i,5,/,/,canoneosrebelt5i,,,5.2,,9298.636,CMOS,CMOS,canon
5247,5f3ba6213fd5b671b220523a,40,www.pcconnection.com,j3,3,/,/,nikonj3,,,,,,CMOS,CMOS,nikon
5248,5f3ba6213fd5b671b2205246,41,www.pcconnection.com,5d,5-3,/,/,canoneos5d,,,6,4.6,949.70825,CMOS,CMOS,canon
5249,5f3ba6213fd5b671b2205250,42,www.pcconnection.com,d5300,5300,/,/,nikond5300,,,4.9,3.9,480.80752,CMOS,CMOS,nikon
5250,5f3ba6213fd5b671b2205255,43,www.pcconnection.com,vs536,536,/,/,sakarvs536,,,,,,,,sakar
5251,5f3ba6213fd5b671b220525e,44,www.pcconnection.com,sl1,1,/,/,canoneosrebelsl1,,,4.6,3.6,371.37845,CMOS,CMOS,canon
5252,5f3ba6213fd5b671b2205269,45,www.pcconnection.com,s8400,8400,/,/,fujifilmfinepixs8400,,,,,,BSI-CMOS,BSI-CMOS,fujifilm
5253,5f3ba6213fd5b671b2205288,46,www.pcconnection.com,dsctx30,30,/,/,sonydsctx30,,5 ,,,,Exmor R CMOS,Exmor R CMOS,sony
5254,5f3ba6213fd5b671b2205289,47,www.pcconnection.com,dmcts25w,25,/,/,panasonicdmcts25w,,,,,,CCD,CCD,panasonic
5255,5f3ba6213fd5b671b220528c,48,www.pcconnection.com,d5300,5300,/,/,nikond5300,,,4.9,3.9,498.95120000000003,CMOS,CMOS,nikon
5256,5f3ba6213fd5b671b220528d,49,www.pcconnection.com,elph135,135,/,/,canonpowershotelph135,4 ,8 ,3.7,2.1,127.57275,CMOS,CMOS,canon
5257,5f3ba6213fd5b671b2205292,50,www.pcconnection.com,t4i,4,/,/,canoneosrebelt4i,,,,,,CMOS,CMOS,canon
5258,5f3ba6213fd5b671b220529a,51,www.pcconnection.com,ks1,1,/,/,pentaxks1,,,,,,,,pentax
6939,5f3ba6213fd5b671b22051d1,52,www.pcconnection.com,1080p,1080,/,/,vistaquestactionlcd1080p,,,,,,,,vista
6940,5f3ba6213fd5b671b22051ec,53,www.pcconnection.com,em10,10,/,/,olympusomdem10,,,,,,Live MOS,Live MOS,olympus
6941,5f3ba6213fd5b671b22051f4,54,www.pcconnection.com,s1,1,/,/,nikons1,,,,,,CMOS,CMOS,nikon
6942,5f3ba6213fd5b671b2205204,55,www.pcconnection.com,wg4,4,/,/,pentaxwg4,,,,,,BSI-CMOS,BSI-CMOS,pentax
6943,5f3ba6213fd5b671b2205205,56,www.pcconnection.com,s8600,8600,/,/,fujifilmfinepixs8600,,,,,,CCD,CCD,fujifilm
6944,5f3ba6213fd5b671b2205211,57,www.pcconnection.com,tg850,850,/,/,olympusstylustoughtg850,,,,,,BSI-CMOS,BSI-CMOS,olympus
6945,5f3ba6213fd5b671b2205217,58,www.pcconnection.com,q10,10,/,/,pentaxq10,,,,,,BSI-CMOS,BSI-CMOS,pentax
6946,5f3ba6213fd5b671b220521c,59,www.pcconnection.com,s6800,6800,/,/,fujifilmfinepixs6800,,,,,,,,fujifilm
6947,5f3ba6213fd5b671b2205221,60,www.pcconnection.com,q7,7,/,/,pentaxq7,,,,,,BSI-CMOS,BSI-CMOS,pentax
6948,5f3ba6213fd5b671b220522e,61,www.pcconnection.com,wx80,80,/,/,sonycybershotwx80,,,,,,Exmor R CMOS,Exmor R CMOS,sony
6949,5f3ba6213fd5b671b2205242,62,www.pcconnection.com,d800e,800,/,/,nikond800e,,,,,,CMOS,CMOS,nikon
6950,5f3ba6213fd5b671b220527d,63,www.pcconnection.com,epl7,7,/,/,olympuspenepl7,,,,,,Live MOS,Live MOS,olympus
6951,5f3ba6213fd5b671b2205280,64,www.pcconnection.com,j3,3,/,/,nikonj3,,,,,,CMOS,CMOS,nikon
6952,5f3ba6213fd5b671b2205285,65,www.pcconnection.com,d5200,5200,/,/,nikond5200,,,,,,CMOS,CMOS,nikon
6953,5f3ba6213fd5b671b2205290,66,www.pcconnection.com,xp70,70,/,/,fujifilmfinepixxp70,,,,,,CMOS,CMOS,fujifilm
8691,5f3ba6213fd5b671b22051d0,67,www.pcconnection.com,g16,16,/,/,canonpowershotg16,4 ,5 ,4.3,3,314.67945,BSI-CMOS,BSI-CMOS,canon
8692,5f3ba6213fd5b671b22051d4,68,www.pcconnection.com,5d,5-3,/,/,canoneos5d,,,6,4.6,858.98985,CMOS,CMOS,canon
8693,5f3ba6213fd5b671b22051dc,69,www.pcconnection.com,d5200,5200,/,/,nikond5200,,,,,,,,nikon
8694,5f3ba6213fd5b671b22051e1,70,www.pcconnection.com,a16,16,/,/,nikoncoolpixa16,,,,,,CMOS,CMOS,nikon
8695,5f3ba6213fd5b671b22051eb,71,www.pcconnection.com,k3,3,/,/,pentaxk3,,,,,,CMOS,CMOS,pentax
8696,5f3ba6213fd5b671b2205208,72,www.pcconnection.com,ep5,5,/,/,olympusep5,,,,,,Live MOS,Live MOS,olympus
8697,5f3ba6213fd5b671b2205209,73,www.pcconnection.com,n100,100,/,/,canonpowershotn100,4 ,,4.1,2.7,289.1649,CMOS,CMOS,canon
8698,5f3ba6213fd5b671b220520b,74,www.pcconnection.com,sl1000,1000,/,/,fujifilmfinepixsl1000,,,,,,,,fujifilm
8699,5f3ba6213fd5b671b220521b,75,www.pcconnection.com,em5,5,/,/,olympuspremiumeditionbundleomdem5,,,,,,Live MOS,Live MOS,olympus
8700,5f3ba6213fd5b671b2205223,76,www.pcconnection.com,dscwx300,300,/,/,sonydscwx300,,,,,,Exmor R CMOS,Exmor R CMOS,sony
8701,5f3ba6213fd5b671b2205228,77,www.pcconnection.com,elph340,340,/,/,canonpowershotelph340,4 ,12 ,3.9,2.3,147.4174,BSI-CMOS,BSI-CMOS,canon
8702,5f3ba6213fd5b671b220522c,78,www.pcconnection.com,s9200w,9200,/,/,fujifilmfinepixs9200w,,,,,,BSI-CMOS,BSI-CMOS,fujifilm
8703,5f3ba6213fd5b671b2205239,79,www.pcconnection.com,dmcsz3,3,/,/,panasoniclumixdmcsz3,,,,,,CCD,CCD,panasonic
8704,5f3ba6213fd5b671b220523b,80,www.pcconnection.com,ep5,5,/,/,olympusep5,,,,,,Live MOS,Live MOS,olympus
8705,5f3ba6213fd5b671b220523f,81,www.pcconnection.com,70d,70,/,/,canoneos70d,,,5.5,4.1,771.1064,CMOS,CMOS,canon
8706,5f3ba6213fd5b671b2205240,82,www.pcconnection.com,ks1,1,/,/,pentaxks1,,,,,,,,pentax
8707,5f3ba6213fd5b671b220524b,83,www.pcconnection.com,70d,70,/,/,canoneos70d,,,5.5,4.1,771.1064,CMOS,CMOS,canon
8708,5f3ba6213fd5b671b2205251,84,www.pcconnection.com,em5,5,/,/,olympusomdem5,,,,,,Live MOS,Live MOS,olympus
8709,5f3ba6213fd5b671b2205274,85,www.pcconnection.com,s9200,9200,/,/,fujifilmfinepixs9200,,,,,,BSI-CMOS,BSI-CMOS,fujifilm
8710,5f3ba6213fd5b671b2205284,86,www.pcconnection.com,,,/,/,panasonic,,,,,,,,panasonic
8711,5f3ba6213fd5b671b220528e,87,www.pcconnection.com,ks1,1,/,/,pentaxks1,,,,,,,,pentax
10410,5f3ba6213fd5b671b22051df,88,www.pcconnection.com,l30,30,/,/,nikoncoolpixl30,,,,,,CCD,CCD,nikon
10411,5f3ba6213fd5b671b22051e0,89,www.pcconnection.com,epl7,7,/,/,olympuspenepl7,,,,,,Live MOS,Live MOS,olympus
10412,5f3ba6213fd5b671b22051f9,90,www.pcconnection.com,slta58k,58,/,/,sonyalphaslta58k,,,,,,Exmor APS HD CMOS,Exmor APS HD CMOS,sony
10413,5f3ba6213fd5b671b22051fc,91,www.pcconnection.com,gr16,16,/,/,pentaxricohgr16,,,,,,CMOS,CMOS,pentax
10414,5f3ba6213fd5b671b2205203,92,www.pcconnection.com,p530,530,/,/,nikoncoolpixp530,,,,,,BSI-CMOS,BSI-CMOS,nikon
10415,5f3ba6213fd5b671b2205213,93,www.pcconnection.com,epl7,7,/,/,olympuspenepl7,,,,,,Live MOS,Live MOS,olympus
10416,5f3ba6213fd5b671b2205216,94,www.pcconnection.com,d5300,5300,/,/,nikond5300,,,4.9,3.9,480.80752,CMOS,CMOS,nikon
10417,5f3ba6213fd5b671b220521a,95,www.pcconnection.com,aw120,120,/,/,nikoncoolpixaw120,,,,,,BSI-CMOS,BSI-CMOS,nikon
10418,5f3ba6213fd5b671b220521d,96,www.pcconnection.com,k50,50,/,/,pentaxk50,,,,,,CMOS,CMOS,pentax
10419,5f3ba6213fd5b671b2205222,97,www.pcconnection.com,smartphone,,/,/,sonysmartphoneattachable,,,,,,Exmor CMOS,Exmor CMOS,sony
10420,5f3ba6213fd5b671b220522d,98,www.pcconnection.com,xz2,2,/,/,olympusstylusxz2,,,,,,BSI-CMOS,BSI-CMOS,olympus
10421,5f3ba6213fd5b671b2205230,99,www.pcconnection.com,dmcts5,5,/,/,panasoniclumixdmcts5,,,,,,CMOS,CMOS,panasonic
10422,5f3ba6213fd5b671b2205234,100,www.pcconnection.com,s1,1,/,/,nikons1,,,,,,CMOS,CMOS,nikon
10423,5f3ba6213fd5b671b2205235,101,www.pcconnection.com,d5200,5200,/,/,nikond5200,,,,,,,,nikon
10424,5f3ba6213fd5b671b2205244,102,www.pcconnection.com,70d,70,/,/,canoneos70d,,,5.5,4.1,771.1064,CMOS,CMOS,canon
10425,5f3ba6213fd5b671b2205254,103,www.pcconnection.com,dmcxs1r,1,/,/,panasonicdmcxs1r,,,,,,CCD,CCD,panasonic
10426,5f3ba6213fd5b671b220526f,104,www.pcconnection.com,wx80,80,/,/,sonycybershotwx80,,,,,,Exmor R CMOS,Exmor R CMOS,sony
10427,5f3ba6213fd5b671b2205299,105,www.pcconnection.com,t5i,5,/,/,canoneosrebelt5i,,,,,,CMOS,CMOS,canon
12191,5f3ba6213fd5b671b22051e9,106,www.pcconnection.com,qs102,102,/,/,pentaxqs102,,,,,,,,pentax
12192,5f3ba6213fd5b671b22051ea,107,www.pcconnection.com,stylus1,1,/,/,olympusstylus1,,,,,,BSI-CMOS,BSI-CMOS,olympus
12193,5f3ba6213fd5b671b22051f5,108,www.pcconnection.com,s110,110,/,/,canonpowershots110,4 ,5 ,3.9,2.3,172.93194999999997,CMOS,CMOS,canon
12194,5f3ba6213fd5b671b2205200,109,www.pcconnection.com,sh1,1,/,/,olympusstylussh1,,,,,,BSI-CMOS,BSI-CMOS,olympus
12195,5f3ba6213fd5b671b2205225,110,www.pcconnection.com,ax660,660,/,/,fujifilmfinepixax660,,,,,,CCD,CCD,fujifilm
12196,5f3ba6213fd5b671b2205226,111,www.pcconnection.com,em1,1,/,/,olympusomdem1,,,,,,,,olympus
12197,5f3ba6213fd5b671b220522a,112,www.pcconnection.com,xg1,1,/,/,pentaxxg1,,,,,,BSI-CMOS,BSI-CMOS,pentax
12198,5f3ba6213fd5b671b220523c,113,www.pcconnection.com,is2132,2132,/,/,sakaris2132,,,,,,BSI-CMOS,BSI-CMOS,sakar
12199,5f3ba6213fd5b671b2205243,114,www.pcconnection.com,1080p,1080,/,/,vistaquestactioncamlcd1080p,,,,,,,,vista
12200,5f3ba6213fd5b671b2205253,115,www.pcconnection.com,f2,2,/,/,pentaxqmounttelephotozoomlensf2,,,,,,,,pentax
12201,5f3ba6213fd5b671b2205257,116,www.pcconnection.com,epl7,7,/,/,olympuspenepl7,,,,,,Live MOS,Live MOS,olympus
12202,5f3ba6213fd5b671b2205260,117,www.pcconnection.com,dmcxs1w,1,/,/,panasonicdmcxs1w,,,,,,CCD,CCD,panasonic
12203,5f3ba6213fd5b671b2205263,118,www.pcconnection.com,dmcts5k,5,/,/,panasonicdmcts5k,,,,,,CMOS,CMOS,panasonic
12204,5f3ba6213fd5b671b2205268,119,www.pcconnection.com,dsctx30,30,/,/,sonydsctx30,,,,,,Exmor R CMOS,Exmor R CMOS,sony
12205,5f3ba6213fd5b671b2205270,120,www.pcconnection.com,elph340,340,/,/,canonpowershotelph340,4 ,12 ,3.9,2.3,147.4174,BSI-CMOS,BSI-CMOS,canon
12206,5f3ba6213fd5b671b2205272,121,www.pcconnection.com,em1,1,/,/,olympusolympusomdem1,,,,,,Live MOS,Live MOS,olympus
13999,5f3ba6213fd5b671b22051d9,122,www.pcconnection.com,d7100,7100,/,/,nikonnikond7100,,,,,,CMOS,CMOS,nikon
14000,5f3ba6213fd5b671b22051db,123,www.pcconnection.com,sx600,600,/,/,canonpowershotsx600,4 ,18 ,4.1,2.4,164.4271,BSI-CMOS,BSI-CMOS,canon
14001,5f3ba6213fd5b671b22051dd,124,www.pcconnection.com,t550,550,/,/,fujifilmfinepixt550,,,,,,CCD,CCD,fujifilm
14002,5f3ba6213fd5b671b22051e2,125,www.pcconnection.com,t5i,5,/,/,canoneosrebelt5i,,,5.2,3.9,524.46575,CMOS,CMOS,canon
14003,5f3ba6213fd5b671b22051e6,126,www.pcconnection.com,d800,800,/,/,nikond800,,,,,,CMOS,CMOS,nikon
14004,5f3ba6213fd5b671b2205219,127,www.pcconnection.com,t5,5,/,/,canoneosrebelt5,,,,,,,,canon
14005,5f3ba6213fd5b671b2205252,128,www.pcconnection.com,v2,2,/,/,nikonnikon1v2,,,,,,High Speed AF CMOS,High Speed AF CMOS,nikon
14006,5f3ba6213fd5b671b2205258,129,www.pcconnection.com,wr10,10,/,/,nikonwr10,,,,,,,,nikon
14007,5f3ba6213fd5b671b2205266,130,www.pcconnection.com,tg3,3,/,/,olympusstylustoughtg3,,,,,,BSI-CMOS,BSI-CMOS,olympus
14008,5f3ba6213fd5b671b220526e,131,www.pcconnection.com,d610,610,/,/,nikond610,,,5.6,4.4,771.1064,CMOS,CMOS,nikon
14009,5f3ba6213fd5b671b2205279,132,www.pcconnection.com,vs1527,1527,/,/,sakarvs1527,,,,,,,,sakar
15702,5f3ba6213fd5b671b22051d5,133,www.pcconnection.com,p7800,7800,/,/,nikoncoolpixp7800,,,,,,BSI-CMOS,BSI-CMOS,nikon
15703,5f3ba6213fd5b671b22051d6,134,www.pcconnection.com,wra10,10,/,/,nikonwra10,,,,,,,,nikon
15704,5f3ba6213fd5b671b22051f0,135,www.pcconnection.com,sx170,170,/,/,canonpowershotsx170,4 ,64 ,4.25,2.80,3646.8796799999996,CCD,CCD,canon
15705,5f3ba6213fd5b671b22051f1,136,www.pcconnection.com,s120,120,/,/,canonpowershots120,4 ,5 ,3.9,2.3,218.29115,BSI-CMOS,BSI-CMOS,canon
15706,5f3ba6213fd5b671b22051f2,137,www.pcconnection.com,6d,6,/,/,canoneos6d,,,5.7,4.4,756.93165,CMOS,CMOS,canon
15707,5f3ba6213fd5b671b22051f7,138,www.pcconnection.com,xp70,70,/,/,fujifilmfinepixxp70,,,,,,CMOS,CMOS,fujifilm
15708,5f3ba6213fd5b671b22051f8,139,www.pcconnection.com,f2,2,/,/,canoneosmmirrorlesswithefmf2,,,4.28,2.62,261.94938,3MOS,3MOS,canon
15709,5f3ba6213fd5b671b2205207,140,www.pcconnection.com,dsctx30,30,/,/,sonydsctx30,,,,,,Exmor R CMOS,Exmor R CMOS,sony
15710,5f3ba6213fd5b671b2205210,141,www.pcconnection.com,xf1,1,/,/,fujifilmxf1,,,,,,EXR-CMOS,EXR-CMOS,fujifilm
15711,5f3ba6213fd5b671b2205220,142,www.pcconnection.com,a3000,3000,/,/,sonyalphaa3000,,,,,,Exmor APS HD CMOS,Exmor APS HD CMOS,sony
15712,5f3ba6213fd5b671b2205238,143,www.pcconnection.com,s1,1,/,/,fujifilmfinepixs1,,,,,,BSI-CMOS,BSI-CMOS,fujifilm
15713,5f3ba6213fd5b671b220523e,144,www.pcconnection.com,j3,3,/,/,nikonj3,,,,,,CMOS,CMOS,nikon
15714,5f3ba6213fd5b671b2205245,145,www.pcconnection.com,dscw800,800,/,/,sonycybershotdscw800,,,,,,Super HAD CCD,Super HAD CCD,sony
15715,5f3ba6213fd5b671b2205247,146,www.pcconnection.com,epl5,5,/,/,olympusepl5,,,,,,Live MOS,Live MOS,olympus
15716,5f3ba6213fd5b671b2205256,147,www.pcconnection.com,ep5,5,/,/,olympusep5,,,,,,Live MOS,Live MOS,olympus
15717,5f3ba6213fd5b671b220525f,148,www.pcconnection.com,jx680,680,/,/,fujifilmfinepixjx680,,,,,,CCD,CCD,fujifilm
15718,5f3ba6213fd5b671b2205262,149,www.pcconnection.com,smartphone,,/,/,sonysmartphoneattachable,,,,,,Exmor CMOS,Exmor CMOS,sony
15719,5f3ba6213fd5b671b2205265,150,www.pcconnection.com,em10,10,/,/,olympusomdem10,,,,,,Live MOS,Live MOS,olympus
15720,5f3ba6213fd5b671b2205267,151,www.pcconnection.com,d5200,5200,/,/,nikond5200,,,,,,CMOS,CMOS,nikon
15721,5f3ba6213fd5b671b220526a,152,www.pcconnection.com,aw120,120,/,/,nikoncoolpixaw120,,,,,,BSI-CMOS,BSI-CMOS,nikon
15722,5f3ba6213fd5b671b2205271,153,www.pcconnection.com,n100,100,/,/,canonpowershotn100,4 ,,4.1,2.7,289.1649,CMOS,CMOS,canon
15723,5f3ba6213fd5b671b2205277,154,www.pcconnection.com,s02,02,/,/,nikoncoolpixs02,,,,,,CMOS,CMOS,nikon
15724,5f3ba6213fd5b671b2205278,155,www.pcconnection.com,epl5,5,/,/,olympusepl5,,,,,,Live MOS,Live MOS,olympus
15725,5f3ba6213fd5b671b2205286,156,www.pcconnection.com,s1,1,/,/,nikons1,,,,,,CMOS,CMOS,nikon
15726,5f3ba6213fd5b671b2205297,157,www.pcconnection.com,x20,20,/,/,fujifilmx20,,,,,,X-Trans CMOS II,X-Trans CMOS II,fujifilm
15727,5f3ba6213fd5b671b2205298,158,www.pcconnection.com,xf1,1,/,/,fujifilmxf1,,,,,,EXR-CMOS,EXR-CMOS,fujifilm
15728,5f3ba6213fd5b671b220529b,159,www.pcconnection.com,t027,027,/,/,sakarvivicamt027,,,,,,CMOS,CMOS,sakar
15729,5f3ba6213fd5b671b220529c,160,www.pcconnection.com,em5,5,/,/,olympusomdem5,,,,,,Live MOS,Live MOS,olympus
17457,5f3ba6213fd5b671b22051e5,161,www.pcconnection.com,elph340,340,/,/,canonpowershotelph340,4 ,12 ,3.9,2.3,147.4174,BSI-CMOS,BSI-CMOS,canon
17458,5f3ba6213fd5b671b22051ed,162,www.pcconnection.com,elph150,150,/,/,canonpowershotelph150,,10 ,3.8,2.2,141.7475,CCD,CCD,canon
17459,5f3ba6213fd5b671b220520a,163,www.pcconnection.com,k3,3,/,/,pentaxk3,,,,,,CMOS,CMOS,pentax
17460,5f3ba6213fd5b671b220520d,164,www.pcconnection.com,rx100,100-2,/,/,sonycybershotrx100,14 ,3.6 ,,,,Exmor R CMOS,Exmor R CMOS,sony
17461,5f3ba6213fd5b671b2205214,165,www.pcconnection.com,dsch300,300,/,/,sonycybershotdsch300,,,,,,Super HAD CCD,Super HAD CCD,sony
17462,5f3ba6213fd5b671b2205231,166,www.pcconnection.com,wg4,4,/,/,pentaxwg4,,,,,,BSI-CMOS,BSI-CMOS,pentax
17463,5f3ba6213fd5b671b220523d,167,www.pcconnection.com,jx660,660,/,/,fujifilmfinepixjx660,,,,,,CCD,CCD,fujifilm
17464,5f3ba6213fd5b671b2205248,168,www.pcconnection.com,elph135,135,/,/,canonpowershotelph135,4 ,8 ,3.8,2.1,127.57275,CCD,CCD,canon
17465,5f3ba6213fd5b671b220526d,169,www.pcconnection.com,wg4,4,/,/,pentaxwg4,,,,,,BSI-CMOS,BSI-CMOS,pentax
17466,5f3ba6213fd5b671b2205276,170,www.pcconnection.com,hx50v,50,/,/,sonycybershothx50v,,,,,,Exmor R CMOS,Exmor R CMOS,sony
17467,5f3ba6213fd5b671b2205282,171,www.pcconnection.com,k50,50,/,/,pentaxk50,,,,,,CMOS,CMOS,pentax
17468,5f3ba6213fd5b671b2205291,172,www.pcconnection.com,a16,16,/,/,nikoncoolpixa16,,,,,,CMOS,CMOS,nikon
17469,5f3ba6213fd5b671b2205294,173,www.pcconnection.com,xf1,1,/,/,fujifilmxf1,,,,,,EXR-CMOS,EXR-CMOS,fujifilm
19209,5f3ba6213fd5b671b22051cf,174,www.pcconnection.com,s800c,800,/,/,nikoncoolpixs800c,,,,,,BSI-CMOS,BSI-CMOS,nikon
19210,5f3ba6213fd5b671b22051d3,175,www.pcconnection.com,a950,950,/,/,generalelectricconsumera950,,,,,,CCD,CCD,general
19211,5f3ba6213fd5b671b22051e4,176,www.pcconnection.com,sp100,100,/,/,olympussp100,,,,,,BSI-CMOS,BSI-CMOS,olympus
19212,5f3ba6213fd5b671b22051f3,177,www.pcconnection.com,quest,,/,/,vistaquest14mp,,,,,,CCD,CCD,vista
19213,5f3ba6213fd5b671b22051fe,178,www.pcconnection.com,a1235,1235,/,/,generalelectricconsumera1235,,,,,,CCD,CCD,general
19214,5f3ba6213fd5b671b2205201,179,www.pcconnection.com,elph135,135,/,/,canonpowershotelph135,4 ,8 ,3.7,2.1,127.57275,CCD,CCD,canon
19215,5f3ba6213fd5b671b220520f,180,www.pcconnection.com,dmcts5,5,/,/,panasoniclumixdmcts5,,,,,,CMOS,CMOS,panasonic
19216,5f3ba6213fd5b671b2205212,181,www.pcconnection.com,a7r,7,/,/,sonya7r,,,,,,Exmor CMOS,Exmor CMOS,sony
19217,5f3ba6213fd5b671b220522b,182,www.pcconnection.com,j3,3,/,/,nikonj3,,,,,,CMOS,CMOS,nikon
19218,5f3ba6213fd5b671b2205236,183,www.pcconnection.com,ep5,5,/,/,olympusep5,,,,,,Live MOS,Live MOS,olympus
