,key,source,famer_brand_list,famer_model_list,famer_product_name,digital zoom,famer_opticalzoom,optical zoom,sensor type,sensor_typ_2,weight,dimension,dimensions,display,zoom
258,5f3ba61f3fd5b671b2200c6e,www.pricedekho.com,nikon,s9100,nikoncoolpixs9100,4x,,18x,CMOS Sensor,,214 gms,,4.13 x 2.44 x 1.36 Inches,,"
"
259,5f3ba61f3fd5b671b2200c75,www.pricedekho.com,nikon,l310,nikoncoolpixl310,4x,,21x,CCD Sensor,,,,,,"
"
260,5f3ba61f3fd5b671b2200c83,www.pricedekho.com,olympus,xz10,olympusstylusxz10,,,,,BSI CMOS Sensor,,Dimensions\n4.03 x 2.41 x 1.35 Inches\nWeight\n221 gms,,"Screen Size\n3 Inches\nImage Display Resolution\n920000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nSupported Aspect Ratio\n16\:9\, 3\:2\, 4\:3\, 1\:1\nAdditional Display Features\nTouch Control","Optical Zoom\n5x\nDigital Zoom\n2x
"
261,5f3ba61f3fd5b671b2200c94,www.pricedekho.com,samsung,es30,samsunges30,5x,,5x,CCD Sensor,,,,,,"
"
262,5f3ba61f3fd5b671b2200ca3,www.pricedekho.com,nikon,s9500,nikoncoolpixs9500,,,,,CMOS Sensor,,Dimensions\n4.33 x 2.37 x 1.21 Inches\nWeight\n205 gms,,"Display Type\nOLED Monitor\nScreen Size\n3 Inches\nImage Display Resolution\n614000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nAdditional Display Features\nAnti-reflection Coating\, Wide Viewing Angle","Optical Zoom\n22x\nDigital Zoom\n4x
"
263,5f3ba61f3fd5b671b2200cac,www.pricedekho.com,canon,600d,canoneos600d,,,,CMOS Sensor,,570 gms,,5.24 x 3.92 x 3.14 Inches,,"
"
264,5f3ba61f3fd5b671b2200cae,www.pricedekho.com,sony,dschx300,sonycybershotdschx300,,,,,Exmor R CMOS Sensor,,Dimensions\n129.6 x 93.2 x 103.2 mm\nWeight\n623 gms,,"Display Type\nXtraFine TFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n921600 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)\nSupported Aspect Ratio\n16\:9\, 4\:3\nAdditional Display Features\nAngle Adjustment","Optical Zoom\n50x\nDigital Zoom\n4x
"
265,5f3ba61f3fd5b671b2200cbc,www.pricedekho.com,olympus,em5,olympusomdem5,,,,Live MOS Sensor,,,,,,"
"
266,5f3ba61f3fd5b671b2200cc0,www.pricedekho.com,panasonic,dmcls5,panasoniclumixdmcls5,,,,,CCD Sensor,,Weight\n173 gms,,Screen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 30 fps,"Optical Zoom\n5x\nDigital Zoom\n4x
"
267,5f3ba61f3fd5b671b2200cc7,www.pricedekho.com,nikon,s31,nikoncoolpixs31,,,,,,,,,,"
"
268,5f3ba61f3fd5b671b2200cd5,www.pricedekho.com,samsung,wb50f,samsungsmartwb50f,,,,,CCD Sensor,,Dimensions\n101 x 68 x 27.1 mm\nWeight\n157 gms,,Display Type\nLCD\nScreen Size\n3 Inches,"Optical Zoom\n12x\nDigital Zoom\n2x
"
269,5f3ba61f3fd5b671b2200cda,www.pricedekho.com,canon,a1200,canonpowershota1200,,,,,CCD Sensor,,Weight\n185 gms,,Screen Size\n2.7 Inches,"Optical Zoom\n16x\nDigital Zoom\n4x
"
270,5f3ba61f3fd5b671b2200d00,www.pricedekho.com,sony,dscw690,sonycybershotdscw690,,,,,Super HAD CCD Sensor,,Weight\n124 gms,,"Display Type\nClear Photo TFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n230400 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 30 fps\nSupported Aspect Ratio\n16\:9\, 4\:3","Optical Zoom\n10x\nDigital Zoom\n40x
"
271,5f3ba61f3fd5b671b2200d0b,www.pricedekho.com,sony,slta37k,sonyalphaslta37k,,,,Exmor CMOS Sensor,,,,,,"
"
272,5f3ba61f3fd5b671b2200d14,www.pricedekho.com,canon,700d,canoneos700d,,,,,CMOS Sensor,,Weight\n525 gms,,Display Type\nLiquid Crystal TFT\nScreen Size\n3 Inches\nImage Display Resolution\n1040000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nViewFinder\nEye-level Pentamirror,"
"
273,5f3ba61f3fd5b671b2200d17,www.pricedekho.com,canon,70d,canoneos70d,,,,CMOS Sensor,,675 gms,,5.47 x 4.11 x 3.09 Inches,,"
"
1986,5f3ba61f3fd5b671b2200bc2,www.pricedekho.com,canon,1100d,canoneos1100d,,,,,,,,,,"
"
1987,5f3ba61f3fd5b671b2200bc6,www.pricedekho.com,panasonic,dmcfh5,panasoniclumixdmcfh5,4x,,4x,CCD Sensor,,104 gms,,97.4 x 58 x 21.5 mm,,"
"
1988,5f3ba61f3fd5b671b2200bcc,www.pricedekho.com,nikon,s800c,nikoncoolpixs800c,,,,,CMOS Sensor,,Dimensions\n4.39 x 2.36 x 1.07 Inches\nWeight\n184 gms,,Display Type\nOLED LCD Touchscreen\nScreen Size\n3.5 Inches\nImage Display Resolution\n819000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nSupported Aspect Ratio\n16\:09\nAdditional Display Features\nAnti-reflection Coating,"Optical Zoom\n10x\nDigital Zoom\n4x
"
1989,5f3ba61f3fd5b671b2200bdb,www.pricedekho.com,canon,ixus500,canonixus500,,,,,CMOS Sensor,,Weight\n135 gms,,Screen Size\n3 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 24 fps,"Optical Zoom\n12x
"
1990,5f3ba61f3fd5b671b2200bec,www.pricedekho.com,canon,ixus255,canonixus255,,,,,CMOS Sensor,,Dimensions\n3.83 x 2.22 x 0.89 Inches\nWeight\n144 gms,,Display Type\nPureColor II G TFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n461000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 24 fps,"Optical Zoom\n10x\nDigital Zoom\n4x
"
1991,5f3ba61f3fd5b671b2200bf9,www.pricedekho.com,canon,sx170,canonpowershotsx170,,,,,CCD Sensor,,Dimensions\n4.25 x 2.8 x 1.73 Inches\nWeight\n228 gms,,"Screen Size\n3 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD)\nSupported Aspect Ratio\n16\:9\, 3\:2\, 4\:3\, 1\:1","Optical Zoom\n16x
"
1992,5f3ba61f3fd5b671b2200c0d,www.pricedekho.com,nikon,v1,nikon1v1,,,,CMOS Sensor,,,,,,"
"
1993,5f3ba61f3fd5b671b2200c13,www.pricedekho.com,nikon,mirrorless,nikonmirrorlesscamera,,,,,,,,,,"
"
1994,5f3ba61f3fd5b671b2200c14,www.pricedekho.com,nikon,d800,nikond800,,,,,CMOS Sensor,,Weight\n900 gms,,Display Type\nTFT LCD\nScreen Size\n3.2 Inches\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nViewFinder\nEye-level Pentaprism,"
"
1995,5f3ba61f3fd5b671b2200c27,www.pricedekho.com,panasonic,dmcsz1,panasoniclumixdmcsz1,,,,,CCD Sensor,,Dimensions\n3.9 x 2.34 x 0.75 Inches\nWeight\n131 gms,,"Display Type\nTFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 24 fps\nSupported Aspect Ratio\n16\:9\, 3\:2\, 4\:3\, 1\:1","Optical Zoom\n10x\nDigital Zoom\n4x
"
1996,5f3ba61f3fd5b671b2200c29,www.pricedekho.com,nikon,l820,nikoncoolpixl820,,,,,CMOS Sensor,,Dimensions\n110 x 76.3 x 84.5 mm\nWeight\n470 gms,,"Display Type\nTFT LCD with Anti-Reflection Coating\nScreen Size\n3 Inches\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nSupported Aspect Ratio\n16\:9\, 4\:3","Optical Zoom\n30x\nDigital Zoom\n4x
"
1997,5f3ba61f3fd5b671b2200c3a,www.pricedekho.com,panasonic,dmcs1,panasoniclumixdmcs1,,,,,CCD Sensor,,Weight\n117 gms,,Screen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 30 fps,"Optical Zoom\n4x\nDigital Zoom\n4x
"
1998,5f3ba61f3fd5b671b2200c43,www.pricedekho.com,sony,dschx400v,sonycybershotdschx400v,,,,,CMOS Sensor,,Dimensions\n5.1 x 4.06 x 3.67 Inches\nWeight\n660 gms,,Screen Size\n3 Inches,"Optical Zoom\n50x
"
1999,5f3ba61f3fd5b671b2200c44,www.pricedekho.com,nikon,d5200,nikond5200,,,,CMOS Sensor,,555 gms,,5.08 x 3.86 x 3.07 Inches,,"
"
2000,5f3ba61f3fd5b671b2200c47,www.pricedekho.com,nikon,s3300,nikoncoolpixs3300,,,,,,,,,,"
"
2001,5f3ba61f3fd5b671b2200c4c,www.pricedekho.com,fujifilm,f900exr,fujifilmfinepixf900exr,2x,,20x,,,,,,,"
"
2002,5f3ba61f3fd5b671b2200c55,www.pricedekho.com,sony,dschx20v,sonycybershotdschx20v,80x,20.0,20x,Exmor R CMOS Sensor,,,,,,"
"
2003,5f3ba61f3fd5b671b2200c5f,www.pricedekho.com,canon,ixus135,canonixus135,4x,,8x,CCD Sensor,,118 gms,,133.1 x 99.5 x 79.7 mm,,"
"
2004,5f3ba61f3fd5b671b2200c68,www.pricedekho.com,nikon,s02,nikoncoolpixs02,4x,,3x,CMOS Sensor,,100 gms,,77.1 x 51.3 x 17.5 mm,,"
"
2005,5f3ba61f3fd5b671b2200c70,www.pricedekho.com,nikon,s3300,nikoncoolpixs3300,,,,,CCD Sensor,,Dimensions\n3.73 x 2.28 x 0.77 Inches\nWeight\n128 gms,,Display Type\nTFT LCD Touchscreen\nScreen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nAdditional Display Features\nAnti-reflection Coating,"Optical Zoom\n6x\nDigital Zoom\n4x
"
2006,5f3ba61f3fd5b671b2200c76,www.pricedekho.com,samsung,wb35f,samsungwb35f,,,,CCD Sensor,,144 gms,,100.9 x 61.2 x 27.5 mm,,"
"
2007,5f3ba61f3fd5b671b2200c7f,www.pricedekho.com,samsung,wb700,samsungwb700,4x,18.0,18x,CCD Sensor,,,,,,"
"
2008,5f3ba61f3fd5b671b2200c90,www.pricedekho.com,panasonic,dmcls6,panasoniclumixdmcls6,,,,,CCD Sensor,,Weight\n125 gms,,Display Type\nTFT LCD\nScreen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 30 fps,"Optical Zoom\n5x\nDigital Zoom\n4x
"
2009,5f3ba61f3fd5b671b2200cb3,www.pricedekho.com,fujifilm,f500exr,fujifilmfinepixf500exr,5x,15.0,15x,CMOS Sensor,,,,,,"
"
2010,5f3ba61f3fd5b671b2200cb8,www.pricedekho.com,panasonic,dmcfx80,panasoniclumixdmcfx80,4x,,5x,CCD Sensor,,114 gms,,3.79 x 2.2 x 0.76 Inches,,"
"
2011,5f3ba61f3fd5b671b2200cc1,www.pricedekho.com,fujifilm,ax500,fujifilmfinepixax500,6.7x,,5x,CCD Sensor,,119 gms,,117 x 34.7 x 61 mm,,"
"
2012,5f3ba61f3fd5b671b2200cc2,www.pricedekho.com,nikon,j1,nikon1j1,,,,CMOS Sensor,,234 gms,,4.17 x 2.4 x 1.17 Inches,,"
"
2013,5f3ba61f3fd5b671b2200cdc,www.pricedekho.com,nikon,p300,nikoncoolpixp300,,,,,BSI CMOS Sensor,,Weight\n189 gms,,Screen Size\n3 Inches\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n640 x 480 pixels (VGA),"Optical Zoom\n4.2x\nDigital Zoom\n2x
"
2014,5f3ba61f3fd5b671b2200ce6,www.pricedekho.com,canon,1000d,canoneos1000d,,,,,CMOS Sensor,,Weight\n450 gms,,Screen Size\n2.5 Inches\nViewFinder\nEye-level SLR with Pentamirror,"
"
2015,5f3ba61f3fd5b671b2200d07,www.pricedekho.com,canon,5d,canoneos5d,,,,,CMOS Sensor,,Dimensions\n152 x 116.4 x 76.4 mm\nWeight\n860 gms,,Display Type\nLiquid Crystal TFT\nScreen Size\n3.2 Inches\nImage Display Resolution\n1040000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nViewFinder\nEye-level Pentaprism,"Optical Zoom\nNo
"
2016,5f3ba61f3fd5b671b2200d0e,www.pricedekho.com,canon,700d,canoneos700d,,,,CMOS Sensor,,,,,,"
"
2017,5f3ba61f3fd5b671b2200d10,www.pricedekho.com,fujifilm,mini25,fujifilminstaxmini25,,,,,,,,,,"
"
2018,5f3ba61f3fd5b671b2200d16,www.pricedekho.com,canon,5d,canoneos5d,,,,CMOS Sensor,,,,,,"
"
3786,5f3ba61f3fd5b671b2200bb8,www.pricedekho.com,nikon,s2800,nikoncoolpixs2800,4x,,5x,CCD Sensor,,,,,,"
"
3787,5f3ba61f3fd5b671b2200bba,www.pricedekho.com,canon,sx50,canonpowershotsx50,4x,50.0,50x,CMOS Sensor,,,,,,"
"
3788,5f3ba61f3fd5b671b2200bc8,www.pricedekho.com,fujifilm,ax300,fujifilmfinepixax300,6.7x,,5x,CCD Sensor,,168 gms,,117 x 34.7 x 61 mm,,"
"
3789,5f3ba61f3fd5b671b2200bce,www.pricedekho.com,canon,650d,canoneos650d,,,,,CMOS Sensor,,Dimensions\n5.24 x 3.93 x 3.1 Inches\nWeight\n575 gms,,Display Type\nLiquid Crystal TFT Touchscreen\nScreen Size\n3 Inches\nImage Display Resolution\n1040000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nViewFinder\nEye-level Pentamirror,"Optical Zoom\nNo
"
3790,5f3ba61f3fd5b671b2200bd4,www.pricedekho.com,sony,dscwx200,sonycybershotdscwx200,40x,,10x,Exmor R CMOS Sensor,,121 gms,,135.5 x 106.5 x 76 mm,,"
"
3791,5f3ba61f3fd5b671b2200bdc,www.pricedekho.com,sony,dscs5000,sonycybershotdscs5000,4x,,5x,CCD Sensor,,125 gms,,3.8 x 2.44 x 1.07 Inches,,"
"
3792,5f3ba61f3fd5b671b2200be7,www.pricedekho.com,sony,dscw730,sonycybershotdscw730,"Still Image\: 32x / 10 M\, 10x / 5 M\, 14x / VGA\, 57x / 2M",,8x,CCD Sensor,,122 gms,,93.1 x 52.5 x 22.5 mm,,"
"
3793,5f3ba61f3fd5b671b2200bf4,www.pricedekho.com,canon,sx130,canonpowershotsx130,,,,,CCD Sensor,,Weight\n308 gms,,"Screen Size\n3 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\nColor Swap \: 1280 x 720 (30fps*) 640 x 480 (30fps*) 320 x 240 (30fps*)\, Miniature Effect\: 1280 x 720 (Shooting\: 6fps / 3fps / 1.5fps Playback 30fps*) pixels","Optical Zoom\n12x\nDigital Zoom\n4x
"
3794,5f3ba61f3fd5b671b2200bfb,www.pricedekho.com,nikon,l30,nikoncoolpixl30,4x,,5x,CCD Sensor,,164 gms,,95.4 x 60.3 x 29 mm,,"
"
3795,5f3ba61f3fd5b671b2200c03,www.pricedekho.com,canon,g1x,canonpowershotg1x,4x,,4x,CMOS Sensor,,,,,,"
"
3796,5f3ba61f3fd5b671b2200c06,www.pricedekho.com,canon,500d,canoneos500d,,,,CMOS Sensor,,,,,,"
"
3797,5f3ba61f3fd5b671b2200c08,www.pricedekho.com,nikon,s3600,nikoncoolpixs3600,4x,,16x,CCD Sensor,,125 gms,,3.82 x 2.28 x 0.78 Inches,,"
"
3798,5f3ba61f3fd5b671b2200c0a,www.pricedekho.com,fujifilm,f80exr,fujifilmfinepixf80exr,,,,,CCD Sensor,,Weight\n210 gms,,"Screen Size\n3 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels\, 640 x 480 pixels\, 320 x 240 pixels","Optical Zoom\n10x\nDigital Zoom\n4x
"
3799,5f3ba61f3fd5b671b2200c0c,www.pricedekho.com,nikon,l610,nikoncoolpixl610,,,,,CMOS Sensor,,Dimensions\n4.25 x 2.69 x 1.34 Inches\nWeight\n240 gms,,"Display Type\nTFT LCD Touchscreen\nScreen Size\n3 Inches\nImage Display Resolution\n460000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nSupported Aspect Ratio\n16\:9\, 4\:3\nAdditional Display Features\nAnti-reflection Coating","Optical Zoom\n14x\nDigital Zoom\n2x
"
3800,5f3ba61f3fd5b671b2200c20,www.pricedekho.com,fujifilm,f550exr,fujifilmfinepixf550exr,,,,,EXR CMOS Sensor,,Weight\n195 gms,,Display Type\nTFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n460000 dots,"Optical Zoom\n15x\nDigital Zoom\n5x
"
3801,5f3ba61f3fd5b671b2200c39,www.pricedekho.com,nikon,p520,nikoncoolpixp520,2x,,42x,CMOS Sensor,,,,,,"
"
3802,5f3ba61f3fd5b671b2200c3d,www.pricedekho.com,canon,60d,canoneos60d,,,,,CMOS Sensor,,Dimensions\n144.5 x 105.8 X 78.6 mm\nWeight\n755 gms,,Display Type\nLiquid Crystal TFT\nScreen Size\n3 Inches\nImage Display Resolution\n1040000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)\nViewFinder\nEye-level Pentamirror,"Digital Zoom\n1.5x - 10x
"
3803,5f3ba61f3fd5b671b2200c42,www.pricedekho.com,pentax,ls465,pentaxoptiols465,7.2x,,5x,CCD Sensor,,122 gms,,101 x 46.5 x 22.5 mm,,"
"
3804,5f3ba61f3fd5b671b2200c46,www.pricedekho.com,nikon,s8100,nikoncoolpixs8100,,,,,BSI CMOS Sensor,,Weight\n184 gms,,Screen Size\n3 Inches\nImage Display Resolution\n921000 dots,"Optical Zoom\n10x\nDigital Zoom\n4x
"
3805,5f3ba61f3fd5b671b2200c61,www.pricedekho.com,samsung,st6500,samsungst6500,5x,,25x,CCD Sensor,,,,,,"
"
3806,5f3ba61f3fd5b671b2200c62,www.pricedekho.com,sony,dsch100,sonydsch100,,,,Super HAD CCD Sensor,,,,,,"
"
3807,5f3ba61f3fd5b671b2200c67,www.pricedekho.com,nikon,s5200,nikoncoolpixs5200,4x,,6x,CMOS Sensor,,146 gms,,3.85 x 2.3 x 0.84 Inches,,"
"
3808,5f3ba61f3fd5b671b2200c79,www.pricedekho.com,casio,zs12,casioexilimexzs12,4x,5.0,5x,,,,,,,"
"
3809,5f3ba61f3fd5b671b2200c81,www.pricedekho.com,nikon,d200,nikond200,,,,,CCD Sensor,,Weight\n830 gms,,ViewFinder\nOptical (Through-The-Lens),"
"
3810,5f3ba61f3fd5b671b2200c85,www.pricedekho.com,nikon,p340,nikoncoolpixp340,,,,,BSI CMOS Sensor,,Dimensions\n4.06 x 2.28 x 1.26 Inches\nWeight\n194 gms,,Display Type\nTFT LCD Touchscreen\nScreen Size\n3 Inches\nImage Display Resolution\n921000 dots,"Optical Zoom\n5x\nDigital Zoom\n4x
"
3811,5f3ba61f3fd5b671b2200c91,www.pricedekho.com,samsung,sh100,samsungsh100,1x - 5x (Play Mode\: 1x-14.4x),,5x,CCD Sensor,,,,,,"
"
3812,5f3ba61f3fd5b671b2200c92,www.pricedekho.com,canon,a3200,canonpowershota3200,4x,5.0,5x,CCD Sensor,,,,,,"
"
3813,5f3ba61f3fd5b671b2200c9b,www.pricedekho.com,canon,550d,canoneos550d,,,,,CMOS Sensor,,Weight\n475 gms,,Screen Size\n3 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)\nViewFinder\nPentamirror,"Digital Zoom\n10x
"
3814,5f3ba61f3fd5b671b2200cb6,www.pricedekho.com,sony,qx10,sonycybershotqx10,,,,,CMOS Sensor,,Weight\n105 gms,,Screen Size\n3 Inches,"Optical Zoom\n10x
"
3815,5f3ba61f3fd5b671b2200cce,www.pricedekho.com,sony,dscwx150,sonycybershotdscwx150,40x,10.0,10x,Exmor R CMOS Sensor,,,,,,"
"
3816,5f3ba61f3fd5b671b2200cf1,www.pricedekho.com,fujifilm,jx500,fujifilmfinepixjx500,6.7x,,5x,CCD Sensor,,,,,,"
"
3817,5f3ba61f3fd5b671b2200cf4,www.pricedekho.com,samsung,nx1000,samsungnx1000,,,,,CMOS Sensor,,Weight\n222 gms,,Display Type\nTFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD),"
"
3818,5f3ba61f3fd5b671b2200cfb,www.pricedekho.com,canon,ixus,canonixusdigital,,,,,Orientation Sensor,,,,Screen Size\n2.7 Inches,"Optical Zoom\n2x
"
3819,5f3ba61f3fd5b671b2200d02,www.pricedekho.com,sony,dscw730,sonycybershotdscw730,,,,,CCD Sensor,,Weight\n122 gms,,Screen Size\n2.7 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD),"Optical Zoom\n8x
"
5546,5f3ba61f3fd5b671b2200bb4,www.pricedekho.com,fujifilm,s6800,fujifilmfinepixs6800,Approx. 2x (Up to Approx. 52x),26.0,26x,,,"Approx. 523 gms (with Battery & Memory Card)\, Approx.430 gms (without Battery & Memory Card)",,,,"
"
5547,5f3ba61f3fd5b671b2200bbd,www.pricedekho.com,panasonic,dmcfh1,panasoniclumixdmcfh1,4x,,5x,CCD Sensor,,,,,,"
"
5548,5f3ba61f3fd5b671b2200bc9,www.pricedekho.com,nikon,s3500,nikoncoolpixs3500,4x,,7x,CCD Sensor,,129 gms,,3.81 x 2.28 x 0.81 Inches,,"
"
5549,5f3ba61f3fd5b671b2200bd2,www.pricedekho.com,nikon,s02,nikoncoolpixs02,4x,,3x,CMOS Sensor,,100 gms,,77.1 x 51.3 x 17.5 mm,,"
"
5550,5f3ba61f3fd5b671b2200be1,www.pricedekho.com,nikon,s2600,nikoncoolpixs2600,4x,,5x,CCD Sensor,,121 gms,,119.9 x 83.2 x 70.8 mm,,"
"
5551,5f3ba61f3fd5b671b2200c07,www.pricedekho.com,samsung,pl100,samsungpl100,,,,,CCD Sensor,,Weight\n111 gms,,Screen Size\n1.5 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n640 x 480 pixels (VGA) @ 30/15fps,"Optical Zoom\n3x\nDigital Zoom\n3x
"
5552,5f3ba61f3fd5b671b2200c09,www.pricedekho.com,samsung,wb650,samsungwb650,,,,CCD Sensor,,,,,,"
"
5553,5f3ba61f3fd5b671b2200c1e,www.pricedekho.com,fujifilm,x20,fujifilmfinepixx20,2x,4.0,4x,,,,,,,"
"
5554,5f3ba61f3fd5b671b2200c26,www.pricedekho.com,samsung,st30,samsungst30,3.0,,,CCD Sensor,,,,,,"
"
5555,5f3ba61f3fd5b671b2200c36,www.pricedekho.com,olympus,e5,olympuse5,,,,,,,,,,"
"
5556,5f3ba61f3fd5b671b2200c38,www.pricedekho.com,nikon,d5100,nikond5100,,,,CMOS Sensor,,509 gms,,128 x 96.9 x 78.7 mm,,"
"
5557,5f3ba61f3fd5b671b2200c3f,www.pricedekho.com,samsung,es80,samsunges80,,,,,CCD Sensor,,Weight\n124.8 gms,,Screen Size\n2.4 Inches,"Optical Zoom\n5x\nDigital Zoom\n3x
"
5558,5f3ba61f3fd5b671b2200c4d,www.pricedekho.com,fujifilm,s4200,fujifilmfinepixs4200,,,,,,,,,,"
"
5559,5f3ba61f3fd5b671b2200c50,www.pricedekho.com,sony,a7r,sonya7r,,,,,CMOS Sensor,,Weight\n407 gms,,Screen Size\n3 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps,"Optical Zoom\n4x
"
5560,5f3ba61f3fd5b671b2200c52,www.pricedekho.com,sony,qx100,sonycybershotqx100,,,,,,,,,,"
"
5561,5f3ba61f3fd5b671b2200c57,www.pricedekho.com,panasonic,dmctz30,panasoniclumixdmctz30,,,,,MOS Sensor,,Dimensions\n4.13 x 2.32 x 1.11 Inches\nWeight\n184 gms,,"Display Type\nTFT LCD Touchscreen\nScreen Size\n3 Inches\nImage Display Resolution\n460000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 50 fps\nSupported Aspect Ratio\n16\:9\, 3\:2\, 4\:3\, 1\:1","Optical Zoom\n20x\nDigital Zoom\n4x
"
5562,5f3ba61f3fd5b671b2200c58,www.pricedekho.com,panasonic,dmcs2,panasoniclumixdmcs2,4x,,4x,CCD Sensor,,,,,,"
"
5563,5f3ba61f3fd5b671b2200c71,www.pricedekho.com,canon,a2300,canonpowershota2300,,,,,CCD Sensor,,Dimensions\n108.7 x 62.3 x 30.6 mm\nWeight\n109 gms,,Display Type\nTFT\nScreen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 25 fps\nSupported Aspect Ratio\n04\:03\nAdditional Display Features\nWide Viewing Angle,"Optical Zoom\n5x\nDigital Zoom\n4x
"
