,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
27,28,www.price-hunt.com,6l,6,/,/,sonynex6l,,,11.99,6.69,345.0,Exmor aps HD CMOS,sony
28,29,www.price-hunt.com,a58m,58,/,/,sonyalphaslta58m,,,12.86,9.55,573.0,HD CMOS,sony
29,30,www.price-hunt.com,dv540,540,/,/,wesprodv540,4,,,,,CMOS,wespro
30,31,www.price-hunt.com,m531,531,/,/,kodakeasysharem531,5,3,9.37,5.67,130.0,CCD,kodak
31,32,www.price-hunt.com,5tl,5,/,/,sonynex5tl,4,,,,218.0,Exmor aps HD CMOS Sensor,sony
32,33,www.price-hunt.com,l830,830,/,/,nikoncoolpixl830,4,34,11.1,7.58,508.0,Bsi CMOS,nikon
33,34,www.price-hunt.com,pl3,3,/,/,olympuspenliteepl3,,,10.95,6.37,,High Speed Live mos,olympus
34,35,www.price-hunt.com,x20,20,/,/,fujifilmfinepixx20,2,4,11.7,6.96,353.0,X-Trans CMOS ii,fujifilm
35,36,www.price-hunt.com,jz300,300,/,/,fujifilmfinepixjz300,6,10,9.7,5.7,168.0,CCD,fujifilm
36,37,www.price-hunt.com,a2500,2500,/,/,canonpowershota2500,4,5,9.77,5.6,125.0,CCD,canon
37,38,www.price-hunt.com,x10,10,/,/,fujifilmxseriesx10,2,4,,,,,fujifilm
38,39,www.price-hunt.com,1,1,/,/,aiptek1,5,5,8.4,4.8,800.0,CMOS,aiptek
39,40,www.price-hunt.com,d5300,5300,/,/,nikond5300,,,12.5,9.8,530.0,CMOS,nikon
40,41,www.price-hunt.com,xz1,1,/,/,olympusxz1,16,4,11.06,6.48,275.0,CCD,olympus
41,42,www.price-hunt.com,a35k,35,/,/,sonyslta35k,,,12.44,9.2,433.0,Exmor aps HD CMOS,sony
42,43,www.price-hunt.com,v100,100,/,/,panasonichcv100,,34,5.15,5.95,181.0,CMOS,panasonic
43,44,www.price-hunt.com,7k,7,/,/,sonyilce7k,2,,12.69,9.44,474.0,Exmor CMOS,sony
44,45,www.price-hunt.com,s15,15,/,/,panasonicsdrs15,10,10,4.3,5.9,165.0,CCD,panasonic
45,46,www.price-hunt.com,wg4,4,/,/,ricohwg4,7.2,4,12.5,6.45,236.0,CMOS,ricoh
46,47,www.price-hunt.com,cx240eb,240,/,/,sonyhdrcx240eb,320,27,,,190.0,CMOS,sony
47,48,www.price-hunt.com,s110,110,/,/,canonpowershots110,4,5,9.88,5.9,198.0,CMOS,canon
48,49,www.price-hunt.com,qx100,100,/,/,sonydscqx100,,3.6,,,179.0,Exr CMOS,sony
49,50,www.price-hunt.com,dc2,2,/,/,panasonichxdc2,120,5,8.62,12.08,180.0,Mos,panasonic
50,51,www.price-hunt.com,sh1,1,/,/,olympussh1,96,24,,,271.0,CMOS,olympus
51,52,www.price-hunt.com,3500j,3500,/,/,sonyilce3500j,,,12.8,9.09,411.0,Exmor aps HD CMOS,sony
52,53,www.price-hunt.com,pl5,5,/,/,olympusepl5,,,11.05,6.37,325.0,Mos,olympus
53,54,www.price-hunt.com,c25,25,/,/,fujifilmfinepixc25,6.3,3,9.13,5.9,,CCD,fujifilm
54,55,www.price-hunt.com,v250,250,/,/,panasonichcv250,150,50,5.3,5.9,216.0,Bsi mos,panasonic
55,56,www.price-hunt.com,"virb hd\,virbhd",,/,/,garminvirbhd,,,5.3,3.2,177.0,CMOS,garmin
56,57,www.price-hunt.com,ixus150,150,/,/,canonixus150,4,8,9.52,5.43,130.0,CCD,canon
57,58,www.price-hunt.com,ixus135,135,/,/,canonixus135,4,8,9.29,5.24,134.0,CCD,canon
58,59,www.price-hunt.com,dv4500,4500,/,/,aiptekdv4500,,,21.59,17.27,900.0,CMOS,aiptek
59,60,www.price-hunt.com,ixus155,155,/,/,canonixus155,,10,,,142.0,CCD,canon
60,61,www.price-hunt.com,100ee,100,/,/,olympussp100ee,200,50,,,589.0,CMOS,olympus
61,62,www.price-hunt.com,stylus1,1,/,/,olympusstylus1,,10.7,11.62,8.7,402.0,CMOS,olympus
62,63,www.price-hunt.com,vg170,170,/,/,olympusvg170,4,5,10.37,6.25,147.0,CCD,olympus
63,64,www.price-hunt.com,p600,600,/,/,nikoncoolpixp600,4,60,12.5,8.5,565.0,CMOS,nikon
64,65,www.price-hunt.com,mv800,800,/,/,samsungmv800,1,5,9.2,5.62,130.0,CCD,samsung
65,66,www.price-hunt.com,w570,570,/,/,sonycybershotdscw570,10,5,,,100.0,CCD,sony
66,67,www.price-hunt.com,ixus510,510,/,/,canonixus510,4,12,8.58,5.35,163.0,CMOS,canon
67,68,www.price-hunt.com,j1,1,/,/,nikon1j1,,,10.6,6.1,277.0,CMOS,nikon
68,69,www.price-hunt.com,fx78,78,/,/,panasoniclumixfx78,4,5,9.97,5.52,142.0,CCD,panasonic
69,70,www.price-hunt.com,a58y,58,/,/,sonyalphaslta58y,,,12.86,9.55,492.0,CCD,sony
70,71,www.price-hunt.com,pj240e,240,/,/,sonyhdrpj240e,320,27,,,210.0,CMOS,sony
71,72,www.price-hunt.com,1200d,1200,/,/,canoneos1200d,,,0.51,0.31,480.0,CMOS,canon
72,73,www.price-hunt.com,p340,340,/,/,nikoncoolpixp340,4,5,10.3,5.83,194.0,CMOS,nikon
73,74,www.price-hunt.com,hs28exr,28,/,/,fujifilmfinepixhs28exr,2,30,13.06,9.07,730.0,Exr CMOS,fujifilm
74,75,www.price-hunt.com,a2600,2600,/,/,canonpowershota2600,4,5,9.77,5.6,135.0,CCD,canon
75,76,www.price-hunt.com,ilce7,7,/,/,sonyilce7,2,,12.69,9.44,474.0,Exmor CMOS,sony
76,77,www.price-hunt.com,wg10,10,/,/,pentaxwg10,6.7,5,11.43,5.84,167.0,CCD,pentax
77,78,www.price-hunt.com,pj340e,340,/,/,sonyhdrpj340e,350,30,,,215.0,CMOS,sony
78,79,www.price-hunt.com,sx240,240,/,/,canonpowershotsx240,4,20,10.63,6.1,224.0,CMOS,canon
79,80,www.price-hunt.com,5000y,5000,/,/,sonyilce5000y,4,,10.96,6.28,269.0,Exmor aps HD CMOS,sony
80,81,www.price-hunt.com,d3s,3,/,/,nikond3s,,,15.95,15.7,1240.0,CMOS,nikon
81,82,www.price-hunt.com,a99v,99,/,/,sonyalphaslta99v,,,14.7,11.12,,Exmor CMOS,sony
82,83,www.price-hunt.com,a77vm,77,/,/,sonyalphaslta77vm,,,14.26,10.4,,Exmor aps HD CMOS,sony
83,84,www.price-hunt.com,fx68,68,/,/,panasoniclumixdmcfx68,4,5,9.7,5.41,145.0,CCD,panasonic
84,85,www.price-hunt.com,l320,320,/,/,nikoncoolpixl320,4,26,11.11,7.63,430.0,CCD,nikon
85,86,www.price-hunt.com,1dx,1,/,/,canoneos1dx,,,15.8,16.36,1340.0,CMOS,canon
86,87,www.price-hunt.com,1200d,1200,/,/,canoneos1200d,,,0.51,0.31,480.0,CMOS,canon
87,88,www.price-hunt.com,d7100,7100,/,/,nikond7100,,,13.55,10.65,765.0,CMOS,nikon
88,89,www.price-hunt.com,w630,630,/,/,sonydscw630,20,5,9.1,5.22,116.0,Super had CCD,sony
89,90,www.price-hunt.com,620uz,620,/,/,olympussp620uz,4,21,10.97,7.43,435.0,CCD,olympus
90,91,www.price-hunt.com,hx7v,7,/,/,sonycybershotdschx7v,40,10,10.16,5.76,208.0,Exr CMOS,sony
91,92,www.price-hunt.com,ixus255,255,/,/,canonixus255,4,10,9.72,5.64,,CMOS,canon
92,93,www.price-hunt.com,l30,30,/,/,nikoncoolpixl30,4,5,9.54,6.03,164.0,CCD,nikon
93,94,www.price-hunt.com,pj240e,240,/,/,sonyhdrpj240e,320,27,,,210.0,CMOS,sony
94,95,www.price-hunt.com,s8100,8100,/,/,nikoncoolpixs8100,4,10,10.4,5.92,184.0,Bsi CMOS,nikon
95,96,www.price-hunt.com,wb600,600,/,/,samsungwb600,1.0,15,10.66,6.05,210.0,CCD,samsung
96,97,www.price-hunt.com,p100,100,/,/,nikoncoolpixp100,4,26,11.44,8.27,481.0,CMOS,nikon
97,98,www.price-hunt.com,a57k,57,/,/,sonyalphaa57k,4,,13.21,9.75,539.0,HD CMOS,sony
98,99,www.price-hunt.com,st30,30,/,/,samsungst30,1.0,,8.2,5.19,86.0,CCD,samsung
99,100,www.price-hunt.com,l330,330,/,/,nikoncoolpixl330,4,26,11.11,7.63,430.0,CCD,nikon
100,101,www.price-hunt.com,efina,,/,/,pentaxefinapoint,5,5,8.7,5.4,108.0,CCD,pentax
101,102,www.price-hunt.com,tx1,1,/,/,sonycybershotdsctx1,8,4,,,130.0,CCD,sony
102,103,www.price-hunt.com,spz1,1,/,/,kodakpixprospz1,6,3,5.66,11.06,,CMOS,kodak
103,104,www.price-hunt.com,w380,380,/,/,sonycybershotdscw380,10,5,,,108.0,CCD,sony
104,105,www.price-hunt.com,rx100m3,1003,/,/,sonydscrx100m3,44,2.9,10.16,5.81,290.0,Exmor r CMOS,sony
105,106,www.price-hunt.com,x5,5,/,/,pentaxx5,7.2,26,11.94,8.64,598.0,CMOS,pentax
106,107,www.price-hunt.com,az361,361,/,/,kodakpixproaz361,4,36,,,416.0,CCD,kodak
107,108,www.price-hunt.com,h101,101,/,/,panasonicsdrh101,100,70,5.51,6.4,273.0,CCD,panasonic
108,109,www.price-hunt.com,pj240e,240,/,/,sonyhdrpj240e,320,27,,,210.0,CMOS,sony
109,110,www.price-hunt.com,s4800,4800,/,/,fujifilmfinepixs4800,7.2,30,12.2,9.3,518.0,CCD,fujifilm
110,111,www.price-hunt.com,f5,5,/,/,panasoniclumixdmcf5,4,5,9.74,5.8,121.0,CCD,panasonic
111,112,www.price-hunt.com,f3,3,/,/,panasoniclumixdmcf3,4,4,9.59,5.39,110.0,,panasonic
112,113,www.price-hunt.com,as30v,30,/,/,sonyhdras30v,,,2.45,4.7,90.0,Exr CMOS,sony
113,114,www.price-hunt.com,pj380e,380,/,/,sonyhdrpj380e,350,30,5.75,5.7,210.0,Exr CMOS,sony
114,115,www.price-hunt.com,pj540e,540,/,/,sonyhdrpj540e,350,30,,,325.0,CMOS,sony
115,116,www.price-hunt.com,5000y,5000,/,/,sonyilce5000y,4,,10.96,6.28,269.0,Exmor aps HD CMOS,sony
116,117,www.price-hunt.com,ixus510,510,/,/,canondigitalixus510,4,12,8.58,5.35,163.0,CMOS,canon
117,118,www.price-hunt.com,vr320,320,/,/,olympusvr320,,,,,,,olympus
118,119,www.price-hunt.com,ixus125,125,/,/,canonixus125,4,5,9.32,5.7,135.0,CMOS,canon
119,120,www.price-hunt.com,k30,30,/,/,pentaxk30,,,12.95,9.65,650.0,CMOS,pentax
120,121,www.price-hunt.com,s02,02,/,/,nikoncoolpixs02,4,3,7.71,5.13,100.0,CMOS,nikon
121,122,www.price-hunt.com,tz25,25,/,/,panasoniclumixdmctz25,4,16,10.49,5.76,208.0,Mos,panasonic
122,123,www.price-hunt.com,jz100,100,/,/,fujifilmfinepixjz100,6.7,8,10.03,5.59,129.0,CCD,fujifilm
123,124,www.price-hunt.com,jz700,700,/,/,fujifilmfinepixjz700,2,8,9.94,5.7,134.0,CMOS,fujifilm
124,125,www.price-hunt.com,s71,71,/,/,panasonicsdrs71,100,70,5.49,6.4,212.0,CCD,panasonic
125,126,www.price-hunt.com,vg180,180,/,/,olympusstylusvg180,4,5,9.54,5.82,122.0,CCD,olympus
126,127,www.price-hunt.com,sx45e,45,/,/,sonydcrsx45e,2000,60,5.25,5.7,230.0,Advanced had CCD,sony
127,128,www.price-hunt.com,pl120,120,/,/,samsungpl120,1.0,5,9.4,5.45,110.0,CCD,samsung
128,129,www.price-hunt.com,550d,550,/,/,canoneos550d,1.5,,12.88,9.75,475.0,CMOS,canon
129,130,www.price-hunt.com,zr3,3,/,/,panasoniclumixdmczr3,4,8,9.78,5.48,159.0,CCD,panasonic
130,131,www.price-hunt.com,tg3,3,/,/,olympustg3,16,4,,,247.0,CMOS,olympus
131,132,www.price-hunt.com,s3500,3500,/,/,nikoncoolpixs3500,4,7,9.68,5.78,129.0,CCD,nikon
132,133,www.price-hunt.com,pj540e,540,/,/,sonyhdrpj540e,350,30,,,325.0,CMOS,sony
133,134,www.price-hunt.com,s30,30,/,/,nikoncoolpixs30,4,3,10.19,6.48,214.0,CCD,nikon
134,135,www.price-hunt.com,d600,600,/,/,nikond600,,,14.1,11.3,850.0,CMOS,nikon
135,136,www.price-hunt.com,zs5,5,/,/,casioexilimexzs5,4,5,9.58,5.69,141.0,CCD,casio
136,137,www.price-hunt.com,hx60v,60,/,/,sonycybershotdschx60v,324,30,10.81,6.36,272.0,Exmor r CMOS,sony
137,138,www.price-hunt.com,vr350,350,/,/,olympusvr350,4,10,9.6,5.65,125.0,CCD,olympus
138,139,www.price-hunt.com,a3400,3400,/,/,canonpowershota3400,4,5,9.44,5.63,141.0,CCD,canon
139,140,www.price-hunt.com,x100,100,/,/,fujifilmfinepixx100,,1,12.65,7.44,445.0,CMOS,fujifilm
140,141,www.price-hunt.com,s5300,5300,/,/,nikoncoolpixs5300,4,8,9.69,5.8,138.0,CMOS,nikon
141,142,www.price-hunt.com,ilce6000,6000,/,/,sonyilce6000,4,,12.0,6.69,344.0,Exmor aps HD CMOS,sony
142,143,www.price-hunt.com,m2,2,/,/,aiptekdvm2,4,16,10.38,6.8,800.0,CMOS,aiptek
143,144,www.price-hunt.com,rx100m3,1003,/,/,sonydscrx100m3,44,2.9,10.16,5.81,290.0,Exmor r CMOS,sony
144,145,www.price-hunt.com,ax500,500,/,/,fujifilmfinepixax500,6.7,5,9.3,6.02,168.0,CCD,fujifilm
145,146,www.price-hunt.com,k500,500,/,/,pentaxk500,,,12.95,9.65,590.0,CMOS,pentax
146,147,www.price-hunt.com,wx220,220,/,/,sonycybershotdscwx220,102,10,9.23,5.24,122.0,Exmor r CMOS,sony
147,148,www.price-hunt.com,l820,820,/,/,nikoncoolpixl820,4,30,11.1,7.63,470.0,CMOS,nikon
148,149,www.price-hunt.com,fz41,41,/,/,kodakpixprofz41,6,4,,,116.0,CCD,kodak
149,150,www.price-hunt.com,m522,522,/,/,kodakm522,5,4,9.4,5.59,159.0,CCD,kodak
150,151,www.price-hunt.com,sx260,260,/,/,canonpowershotsx260,4,20,10.63,6.1,231.0,CMOS,canon
151,152,www.price-hunt.com,wx1,1,/,/,sonycybershotdscwx1,10,5,,,120.0,CCD,sony
152,153,www.price-hunt.com,gf2,2,/,/,panasonicdmcgf2,4,,11.28,6.78,475.0,Mos,panasonic
153,154,www.price-hunt.com,ixus500,500,/,/,canonixus500,4,12,8.71,5.39,155.0,CMOS,canon
154,155,www.price-hunt.com,d610,610,/,/,nikond610,,,14.1,11.3,850.0,CMOS,nikon
155,156,www.price-hunt.com,gc100,100,/,/,samsunggc100,,20.9,12.9,7.1,305.0,Bsi CMOS,samsung
156,157,www.price-hunt.com,s4200,4200,/,/,fujifilms4200,6.7,24,11.8,8.09,543.0,CCD,fujifilm
157,158,www.price-hunt.com,x10,10,/,/,fujifilmx10,2,4,,,,,fujifilm
158,159,www.price-hunt.com,hs60,60,/,/,panasonichdchs60,60,25,5.45,6.55,,Mos,panasonic
159,160,www.price-hunt.com,1200d,1200,/,/,canoneos1200d,,,0.51,0.31,480.0,CMOS,canon
160,161,www.price-hunt.com,lx5,5,/,/,panasoniclumixdmclx5,4,3.8,10.97,6.55,271.0,CCD,panasonic
161,162,www.price-hunt.com,hx400v,400,/,/,sonycybershotdschx400v,540,50,12.96,9.32,660.0,Exmor r CMOS,sony
162,163,www.price-hunt.com,mini8,8,/,/,fujifilminstaxmini8,,,,,307.0,,fujifilm
163,164,www.price-hunt.com,p530,530,/,/,nikoncoolpixp530,4,42,12.28,8.41,494.0,CMOS,nikon
164,165,www.price-hunt.com,f660exr,660,/,/,fujifilmf660exr,3.4,15,10.35,5.92,217.0,Exr CMOS,fujifilm
165,166,www.price-hunt.com,s6600,6600,/,/,nikoncoolpixs6600,4,12,9.69,5.71,165.0,CMOS,nikon
166,167,www.price-hunt.com,gh210,210,/,/,benqgh210,4,12.5,10.32,5.85,160.0,CCD,benq
167,168,www.price-hunt.com,sz7,7,/,/,panasoniclumixdmcsz7,4,10,9.9,5.94,133.0,Mos,panasonic
168,169,www.price-hunt.com,w850,850,/,/,panasonichcw850,60,20,6.5,7.3,361.0,Bsi mos,panasonic
169,170,www.price-hunt.com,5tl,5,/,/,sonynex5tl,4,,11.08,5.88,276.0,Exmor aps HD CMOS,sony
170,171,www.price-hunt.com,ixus145,145,/,/,canonpowershotixus145,4,8,9.52,5.43,127.0,CCD,canon
171,172,www.price-hunt.com,mdh2,2,/,/,panasonichcmdh2,60,21,20.5,21.7,2270.0,Mos,panasonic
172,173,www.price-hunt.com,z340,340,/,/,polaroidinstantz340,4,3,,,653.0,CCD,polaroid
173,174,www.price-hunt.com,50s,50,/,/,fujifilminstaxmini50s,,,11.2,9.65,275.0,,fujifilm
174,175,www.price-hunt.com,s2000,2000,/,/,sonycybershotdscs2000,6,3,,,125.0,CCD,sony
175,176,www.price-hunt.com,wb100,100,/,/,samsungwb100,5,26,11.45,7.93,403.0,CCD,samsung
176,177,www.price-hunt.com,s2100,2100,/,/,sonycybershotdscs2100,6,3,,,137.0,CCD,sony
177,178,www.price-hunt.com,pj820e,820,/,/,sonyhdrpj820e,160,12,,,460.0,CMOS,sony
178,179,www.price-hunt.com,sj4000,4000,/,/,yourdealsj4000,4,,,,100.0,CMOS,yourdeal
179,180,www.price-hunt.com,st90,90,/,/,samsungst90,25.0,5,9.18,5.39,105.0,CCD,samsung
180,181,www.price-hunt.com,1100d,1100,/,/,canoneos1100d,,,12.99,9.97,495.0,CMOS,canon
181,182,www.price-hunt.com,hd1000p,1000,/,/,sonyhvrhd1000p,,10,,,,CMOS,sony
182,183,www.price-hunt.com,tz10,10,/,/,panasoniclumixdmctz10,4,12,10.33,5.96,218.0,CCD,panasonic
183,184,www.price-hunt.com,fz40,40,/,/,panasoniclumixdmcfz40,4,24,12.03,7.98,498.0,CCD,panasonic
184,185,www.price-hunt.com,sx400,400,/,/,canonpowershotsx400,,30,,,313.0,CCD,canon
185,186,www.price-hunt.com,pj820e,820,/,/,sonyhdrpj820e,160,12,,,460.0,CMOS,sony
186,187,www.price-hunt.com,k30,30,/,/,pentaxk30,,,12.95,9.65,649.0,CMOS,pentax
187,188,www.price-hunt.com,wg4,4,/,/,ricohwg4,7.2,4,12.5,6.45,229.0,CMOS,ricoh
188,189,www.price-hunt.com,efina,,/,/,pentaxefinapoint,5,5,,,108.0,CCD,pentax
189,190,www.price-hunt.com,ixus132,132,/,/,canonixus132,4,8,9.29,5.24,133.0,CCD,canon
190,191,www.price-hunt.com,5100l,5100,/,/,sonyilce5100l,4,,10.96,6.28,283.0,Exmor CMOS,sony
191,192,www.price-hunt.com,a2400,2400,/,/,canonpowershota2400,4,5,9.44,5.42,126.0,CCD,canon
192,193,www.price-hunt.com,d800e,800,/,/,nikond800e,,,14.6,12.3,1000.0,CMOS,nikon
193,194,www.price-hunt.com,sx50,50,/,/,canonpowershotsx50,4,50,12.25,8.73,595.0,CMOS,canon
194,195,www.price-hunt.com,hero3,3,/,/,goprohero3,,,,,136.0,,gopro
195,196,www.price-hunt.com,s32,32,/,/,nikoncoolpixs32,4,3,10.76,6.61,175.0,CMOS,nikon
196,197,www.price-hunt.com,hs50exr,50,/,/,fujifilmfinepixhs50exr,2,42,13.49,10.13,808.0,Exr CMOS,fujifilm
197,198,www.price-hunt.com,5d,5,/,/,canoneos5d,,,15.2,11.64,950.0,CMOS,canon
198,199,www.price-hunt.com,sx510,510,/,/,canonpowershotsx510,,30,10.4,6.95,,CMOS,canon
199,200,www.price-hunt.com,m1,1,/,/,olympusomdem1,,,13.04,9.35,497.0,Mos,olympus
200,201,www.price-hunt.com,k30,30,/,/,pentaxk30,,,12.95,9.65,650.0,CMOS,pentax
201,202,www.price-hunt.com,as30v,30,/,/,sonyhdras30v,,,2.45,4.7,90.0,Exr CMOS,sony
202,203,www.price-hunt.com,fz51,51,/,/,kodakpixprofz51,6,5,,,106.0,CCD,kodak
203,204,www.price-hunt.com,sdt750,750,/,/,panasonicsdt750,,12,6.6,6.9,375.0,Mos,panasonic
204,205,www.price-hunt.com,sl62,62,/,/,rolleisportslinesl62,8,,9.75,6.15,112.0,CMOS,rollei
205,206,www.price-hunt.com,vg30eh,30,/,/,sonynexvg30eh,,,9.1,13.0,1520.0,Exr CMOS,sony
206,207,www.price-hunt.com,ixus140,140,/,/,canonpowershotixus140,4,8,9.54,5.6,133.0,CCD,canon
207,208,www.price-hunt.com,w210,210,/,/,sonycybershotdscw210,8,4,,,117.0,CCD,sony
208,209,www.price-hunt.com,"virb hd\,virbhd",,/,/,garminvirbbasic,,,5.3,3.2,178.0,CMOS,garmin
209,210,www.price-hunt.com,wx350,350,/,/,sonydscwx350,204,20,9.6,5.49,164.0,Exmor r CMOS,sony
210,211,www.price-hunt.com,1200d,1200,/,/,canoneos1200d,,,0.51,0.31,480.0,CMOS,canon
211,212,www.price-hunt.com,gh3h,3,/,/,panasonicdmcgh3h,2,,13.29,9.34,550.0,Mos,panasonic
212,213,www.price-hunt.com,5000l,5000,/,/,sonyilce5000l,4,,10.96,6.28,269.0,Exmor aps HD CMOS,sony
213,214,www.price-hunt.com,6000l,6000,/,/,sonyilce6000l,4,,12.0,6.69,344.0,Exmor aps HD CMOS,sony
214,215,www.price-hunt.com,wx50,50,/,/,sonycybershotdscwx50,20,5,9.22,5.2,117.0,Exr CMOS,sony
215,216,www.price-hunt.com,f1,1,/,/,fujifilmxf1,2,4,10.79,6.15,225.0,Exr CMOS,fujifilm
216,217,www.price-hunt.com,l810,810,/,/,nikoncoolpixl810,4,26,11.11,7.63,430.0,CCD,nikon
217,218,www.price-hunt.com,az251,251,/,/,kodakpixproaz251,4,25,,,345.0,CCD,kodak
218,219,www.price-hunt.com,w510,510,/,/,sonycybershotdscw510,8,4,9.6,5.4,103.0,CCD,sony
219,220,www.price-hunt.com,cx220e,220,/,/,sonyhdrcx220e,320,27,5.25,5.7,178.0,Exr CMOS,sony
220,221,www.price-hunt.com,"wg iii\,wgiii",,/,/,pentaxwgiii,7.2,4,12.45,6.35,230.0,CMOS,pentax
221,222,www.price-hunt.com,l310,310,/,/,nikoncoolpixl310,4,21,10.99,7.65,435.0,CCD,nikon
222,223,www.price-hunt.com,tm900,900,/,/,panasonichdctm900,,12,6.6,7.2,395.0,Mos,panasonic
223,224,www.price-hunt.com,a2300,2300,/,/,canonpowershota2300,4,5,9.44,5.42,125.0,CCD,canon
224,225,www.price-hunt.com,h400,400,/,/,sonydsch400,500,63,12.96,9.5,655.0,Had CCD,sony
225,226,www.price-hunt.com,c20,20,/,/,samsungsmxc20,200,10,3.52,5.62,145.0,CCD,samsung
226,227,www.price-hunt.com,"virb elite\,virbelite",,/,/,garminvirbelite,,,5.3,3.2,177.0,CMOS,garmin
227,228,www.price-hunt.com,gh3,3,/,/,panasoniclumixgh3,4,,13.29,9.34,550.0,Mos,panasonic
228,229,www.price-hunt.com,jx420,420,/,/,fujifilmfinepixjx420,7.2,5,9.52,5.72,124.0,CCD,fujifilm
229,230,www.price-hunt.com,w800,800,/,/,sonycybershotdscw800,13,5,9.68,5.55,125.0,Had CCD,sony
230,231,www.price-hunt.com,3500jy,3500,/,/,sonyilce3500jy,,,12.8,9.09,411.0,Exmor aps HD CMOS,sony
231,232,www.price-hunt.com,w610,610,/,/,sonycybershotdscw610,8,4,9.29,5.24,113.0,Super had CCD,sony
232,233,www.price-hunt.com,ax300,300,/,/,fujifilmfinepixax300,6.7,5,9.3,6.02,168.0,CCD,fujifilm
233,234,www.price-hunt.com,rx10,10,/,/,sonydscrx10,15,8.3,12.9,8.81,813.0,Exmor r CMOS,sony
234,235,www.price-hunt.com,nex7,7,/,/,sonynex7,,,11.99,6.69,291.0,HD CMOS,sony
235,236,www.price-hunt.com,x920mgc,920,/,/,panasonichcx920mgc,,12,7.3,5.9,419.0,Mos,panasonic
236,237,www.price-hunt.com,3500jy,3500,/,/,sonyilce3500jy,,,12.8,9.09,411.0,Exmor aps HD CMOS,sony
237,238,www.price-hunt.com,s9700,9700,/,/,nikoncoolpixs9700,4,30,10.96,6.35,232.0,CMOS,nikon
