,key,source,famer_brand_list,famer_model_list,famer_product_name,famer_opticalzoom,optical zoom,camera resolution
1847,5f3ba61e3fd5b671b22004b6,www.ukdigitalcameras.co.uk,nikon,s6800,nikoncoolpixs6800,23.0,23,16 Megapixels
1848,5f3ba61e3fd5b671b22004da,www.ukdigitalcameras.co.uk,nikon,s5300,nikoncoolpixs5300,8.0,8,16 Megapixels
3624,5f3ba61e3fd5b671b2200461,www.ukdigitalcameras.co.uk,canon,g7,canonpowershotg7,4.0,4,20 Megapixels
3625,5f3ba61e3fd5b671b2200468,www.ukdigitalcameras.co.uk,nikon,s6400,nikoncoolpixs6400,12.0,12,16.0 Megapixels
3626,5f3ba61e3fd5b671b2200470,www.ukdigitalcameras.co.uk,canon,ixus150,canonixus150,8.0,8x,16 Megapixels
3627,5f3ba61e3fd5b671b2200480,www.ukdigitalcameras.co.uk,fuji,s1,fujifinepixs1,50.0,50x,16.0 Megapixels
3628,5f3ba61e3fd5b671b2200486,www.ukdigitalcameras.co.uk,panasonic,tz60,panasoniclumixtz60,30.0,30,18.1 Megapixels
3629,5f3ba61e3fd5b671b220048b,www.ukdigitalcameras.co.uk,sony,dscrx100,sonycybershotdscrx100,3.6,3.6,20.2 Megapixels
3630,5f3ba61e3fd5b671b2200494,www.ukdigitalcameras.co.uk,panasonic,fz200,panasoniclumixfz200,24.0,24,12.1 Megapixels
3631,5f3ba61e3fd5b671b22004a6,www.ukdigitalcameras.co.uk,canon,g1x,canonpowershotg1x,5.0,5,12.8 Megapixels
3632,5f3ba61e3fd5b671b22004a9,www.ukdigitalcameras.co.uk,fuji,x30,fujifinepixx30,,,12 Megapixels
3633,5f3ba61e3fd5b671b22004af,www.ukdigitalcameras.co.uk,nikon,aw120,nikoncoolpixaw120,5.0,5,16 Megapixels
3634,5f3ba61e3fd5b671b22004be,www.ukdigitalcameras.co.uk,nikon,s02,nikoncoolpixs02,3.0,3,13 Megapixels
3635,5f3ba61e3fd5b671b22004c2,www.ukdigitalcameras.co.uk,nikon,s6800,nikoncoolpixs6800,23.0,23,16 Megapixels
3636,5f3ba61e3fd5b671b22004d1,www.ukdigitalcameras.co.uk,canon,ixus265,canonixus265,12.0,12x,16 Megapixels
3637,5f3ba61e3fd5b671b22004d2,www.ukdigitalcameras.co.uk,panasonic,lx100,panasoniclumixlx100,3.1,3.1,12.8 Megapixels
3638,5f3ba61e3fd5b671b22004d3,www.ukdigitalcameras.co.uk,olympus,sh1,olympussh1,24.0,24,16 Megapixels
3639,5f3ba61e3fd5b671b22004d7,www.ukdigitalcameras.co.uk,nikon,aw120,nikoncoolpixaw120,5.0,5,16 Megapixels
5402,5f3ba61e3fd5b671b220045e,www.ukdigitalcameras.co.uk,canon,d30,canonpowershotd30,5.0,5,12 Megapixels
5403,5f3ba61e3fd5b671b2200462,www.ukdigitalcameras.co.uk,fuji,s9200,fujifinepixs9200,50.0,50,16.2 Megapixels
5404,5f3ba61e3fd5b671b2200464,www.ukdigitalcameras.co.uk,fuji,x100t,fujix100t,,,16 Megapixels
5405,5f3ba61e3fd5b671b2200473,www.ukdigitalcameras.co.uk,pentax,xg1,pentaxxg1,52.0,52,16 Megapixels
5406,5f3ba61e3fd5b671b2200478,www.ukdigitalcameras.co.uk,nikon,p600,nikoncoolpixp600,60.0,60x,16.1 Megapixels
5407,5f3ba61e3fd5b671b220048e,www.ukdigitalcameras.co.uk,panasonic,fz72,panasoniclumixfz72,60.0,60x,16.1 Megapixels
5408,5f3ba61e3fd5b671b22004b7,www.ukdigitalcameras.co.uk,samsung,gc100,samsunggalaxygc100,21.0,21,16 Megapixels
5409,5f3ba61e3fd5b671b22004c3,www.ukdigitalcameras.co.uk,nikon,s3600,nikoncoolpixs3600,8.0,8,20 Megapixels
5410,5f3ba61e3fd5b671b22004d5,www.ukdigitalcameras.co.uk,nikon,p600,nikoncoolpixp600,60.0,60x,16.1 Megapixels
7107,5f3ba61e3fd5b671b220045c,www.ukdigitalcameras.co.uk,nikon,s6700,nikoncoolpixs6700,8.0,8,20 Megapixels
7108,5f3ba61e3fd5b671b2200467,www.ukdigitalcameras.co.uk,pentax,x5,pentaxoptiox5,26.0,26,16 Megapixels
7109,5f3ba61e3fd5b671b220047b,www.ukdigitalcameras.co.uk,sony,rx100,sonycybershotrx100,3.6,3.6,20.2 Megapixels
7110,5f3ba61e3fd5b671b220047c,www.ukdigitalcameras.co.uk,fuji,x100s,fujix100s,,,16 Megapixels
7111,5f3ba61e3fd5b671b220047d,www.ukdigitalcameras.co.uk,canon,sx600,canonpowershotsx600,18.0,18,16 Megapixels
7112,5f3ba61e3fd5b671b2200483,www.ukdigitalcameras.co.uk,nikon,s9600,nikoncoolpixs9600,22.0,22,16 Megapixels
7113,5f3ba61e3fd5b671b2200489,www.ukdigitalcameras.co.uk,nikon,p530,nikoncoolpixp530,42.0,42,16 Megapixels
7114,5f3ba61e3fd5b671b220049f,www.ukdigitalcameras.co.uk,fuji,s9200,fujifinepixs9200,50.0,50,16.2 Megapixels
7115,5f3ba61e3fd5b671b22004a0,www.ukdigitalcameras.co.uk,panasonic,tz55,panasoniclumixtz55,20.0,20,16 Megapixels
7116,5f3ba61e3fd5b671b22004bc,www.ukdigitalcameras.co.uk,fuji,x30,fujifinepixx30,,,12 Megapixels
7117,5f3ba61e3fd5b671b22004bd,www.ukdigitalcameras.co.uk,canon,sx50,canonpowershotsx50,50.0,50,12 Megapixels
7118,5f3ba61e3fd5b671b22004c7,www.ukdigitalcameras.co.uk,olympus,tg3,olympusstylustoughtg3,4.0,4,16 Megapixels
7119,5f3ba61e3fd5b671b22004c9,www.ukdigitalcameras.co.uk,nikon,s02,nikoncoolpixs02,3.0,3,13 Megapixels
7120,5f3ba61e3fd5b671b22004cf,www.ukdigitalcameras.co.uk,panasonic,lz40,panasoniclumixlz40,42.0,42x,20 Megapixels
7121,5f3ba61e3fd5b671b22004d4,www.ukdigitalcameras.co.uk,panasonic,ft5,panasoniclumixft5,4.6,4.6x,16.1 Megapixels
7122,5f3ba61e3fd5b671b22004d8,www.ukdigitalcameras.co.uk,nikon,s3600,nikoncoolpixs3600,8.0,8,20 Megapixels
8840,5f3ba61e3fd5b671b2200466,www.ukdigitalcameras.co.uk,nikon,s9600,nikoncoolpixs9600,22.0,22,16 Megapixels
8841,5f3ba61e3fd5b671b220046d,www.ukdigitalcameras.co.uk,panasonic,fz1000,panasoniclumixfz1000,16.0,16,20.1 Megapixels
8842,5f3ba61e3fd5b671b2200482,www.ukdigitalcameras.co.uk,nikon,s9600,nikoncoolpixs9600,22.0,22,16 Megapixels
8843,5f3ba61e3fd5b671b220048d,www.ukdigitalcameras.co.uk,nikon,s6800,nikoncoolpixs6800,23.0,23,16 Megapixels
8844,5f3ba61e3fd5b671b22004a2,www.ukdigitalcameras.co.uk,canon,ixus265,canonixus265,12.0,12x,16 Megapixels
8845,5f3ba61e3fd5b671b22004cc,www.ukdigitalcameras.co.uk,fuji,s1,fujifinepixs1,50.0,50x,16.0 Megapixels
10595,5f3ba61e3fd5b671b220046c,www.ukdigitalcameras.co.uk,canon,sx700,canonpowershotsx700,30.0,30,16 Megapixels
10596,5f3ba61e3fd5b671b2200475,www.ukdigitalcameras.co.uk,ricoh,wg4,ricohwg4,4.0,4x,16 Megapixels
10597,5f3ba61e3fd5b671b2200476,www.ukdigitalcameras.co.uk,nikon,s6700,nikoncoolpixs6700,8.0,8,20 Megapixels
10598,5f3ba61e3fd5b671b220048f,www.ukdigitalcameras.co.uk,canon,sx520,canonpowershotsx520,42.0,42,16 Megapixels
10599,5f3ba61e3fd5b671b2200493,www.ukdigitalcameras.co.uk,sony,hx60v,sonycybershothx60v,30.0,30,20 Megapixels
10600,5f3ba61e3fd5b671b22004ab,www.ukdigitalcameras.co.uk,panasonic,lx7,panasoniclumixlx7,3.8,3.8,10.1 Megapixels
10601,5f3ba61e3fd5b671b22004b3,www.ukdigitalcameras.co.uk,ricoh,wg20,ricohwg20,5.0,5,14 Megapixels
10602,5f3ba61e3fd5b671b22004cd,www.ukdigitalcameras.co.uk,nikon,p340,nikoncoolpixp340,5.0,5,12 Megapixels
10603,5f3ba61e3fd5b671b22004d0,www.ukdigitalcameras.co.uk,fuji,xq1,fujixq1,4.0,4,12 Megapixels
12353,5f3ba61e3fd5b671b220046a,www.ukdigitalcameras.co.uk,canon,ixus140,canonixus140,5.0,5x,16 Megapixels
12354,5f3ba61e3fd5b671b2200477,www.ukdigitalcameras.co.uk,ricoh,wg4,ricohwg4,4.0,4x,16 Megapixels
12355,5f3ba61e3fd5b671b220048a,www.ukdigitalcameras.co.uk,olympus,tg850,olympustg850,5.0,5,16 Megapixels
12356,5f3ba61e3fd5b671b2200495,www.ukdigitalcameras.co.uk,canon,sx400,canonpowershotsx400,30.0,30,16 Megapixels
12357,5f3ba61e3fd5b671b220049a,www.ukdigitalcameras.co.uk,panasonic,dmclf1,panasoniclumixdmclf1,7.1,7.1,12.1 Megapixels
12358,5f3ba61e3fd5b671b220049b,www.ukdigitalcameras.co.uk,fuji,xe2,fujixe2,,,16.3 Megapixels
12359,5f3ba61e3fd5b671b22004a1,www.ukdigitalcameras.co.uk,sony,dscrx1r,sonycybershotdscrx1r,,,24.3 Megapixels
12360,5f3ba61e3fd5b671b22004a8,www.ukdigitalcameras.co.uk,canon,sx600,canonpowershotsx600,18.0,18,16 Megapixels
12361,5f3ba61e3fd5b671b22004b5,www.ukdigitalcameras.co.uk,canon,sx700,canonpowershotsx700,30.0,30,16 Megapixels
12362,5f3ba61e3fd5b671b22004b8,www.ukdigitalcameras.co.uk,samsung,wb350f,samsungwb350f,21.0,21,16 Megapixels
12363,5f3ba61e3fd5b671b22004b9,www.ukdigitalcameras.co.uk,olympus,sh1,olympussh1,24.0,24,16 Megapixels
12364,5f3ba61e3fd5b671b22004bf,www.ukdigitalcameras.co.uk,canon,700d,canoneos700d,,,18 Megapixels
12365,5f3ba61e3fd5b671b22004cb,www.ukdigitalcameras.co.uk,canon,ixus265,canonixus265,12.0,12x,16 Megapixels
12366,5f3ba61e3fd5b671b22004ce,www.ukdigitalcameras.co.uk,samsung,wb350f,samsungwb350f,21.0,21,16 Megapixels
12367,5f3ba61e3fd5b671b22004d9,www.ukdigitalcameras.co.uk,panasonic,tz55,panasoniclumixtz55,20.0,20,16 Megapixels
14157,5f3ba61e3fd5b671b2200481,www.ukdigitalcameras.co.uk,sony,rx10,sonycybershotrx10,8.0,8,20.2 Megapixels
14158,5f3ba61e3fd5b671b2200491,www.ukdigitalcameras.co.uk,canon,ixus155,canonixus155,10.0,10x,20 Megapixels
14159,5f3ba61e3fd5b671b2200497,www.ukdigitalcameras.co.uk,nikon,s02,nikoncoolpixs02,3.0,3,13 Megapixels
14160,5f3ba61e3fd5b671b22004ba,www.ukdigitalcameras.co.uk,nikon,s02,nikoncoolpixs02,3.0,3,13 Megapixels
14161,5f3ba61e3fd5b671b22004c5,www.ukdigitalcameras.co.uk,nikon,s6800,nikoncoolpixs6800,23.0,23,16 Megapixels
14162,5f3ba61e3fd5b671b22004ca,www.ukdigitalcameras.co.uk,nikon,p340,nikoncoolpixp340,5.0,5,12 Megapixels
14163,5f3ba61e3fd5b671b22004db,www.ukdigitalcameras.co.uk,panasonic,ft5,panasoniclumixft5,4.6,4.6x,16.1 Megapixels
15880,5f3ba61e3fd5b671b220045b,www.ukdigitalcameras.co.uk,panasonic,lx100,panasoniclumixlx100,3.1,3.1,12.8 Megapixels
15881,5f3ba61e3fd5b671b2200474,www.ukdigitalcameras.co.uk,ricoh,wg4,ricohwg4,4.0,4x,16 Megapixels
15882,5f3ba61e3fd5b671b22004a4,www.ukdigitalcameras.co.uk,canon,sx600,canonpowershotsx600,18.0,18,16 Megapixels
15883,5f3ba61e3fd5b671b22004a5,www.ukdigitalcameras.co.uk,ricoh,gr,ricohgr,,,16 Megapixels
15884,5f3ba61e3fd5b671b22004b0,www.ukdigitalcameras.co.uk,canon,s120,canonpowershots120,5.0,5,12 Megapixels
15885,5f3ba61e3fd5b671b22004b2,www.ukdigitalcameras.co.uk,canon,ixus140,canonixus140,5.0,5x,16 Megapixels
15886,5f3ba61e3fd5b671b22004bb,www.ukdigitalcameras.co.uk,panasonic,fz72,panasoniclumixfz72,102.0,102x,16.1 Megapixels
15887,5f3ba61e3fd5b671b22004c4,www.ukdigitalcameras.co.uk,ricoh,wg4,ricohwg4,4.0,4x,16 Megapixels
15888,5f3ba61e3fd5b671b22004c6,www.ukdigitalcameras.co.uk,canon,sx400,canonpowershotsx400,30.0,30,16 Megapixels
17619,5f3ba61e3fd5b671b2200471,www.ukdigitalcameras.co.uk,panasonic,sz8,panasoniclumixsz8,12.0,12,16 Megapixels
17620,5f3ba61e3fd5b671b2200488,www.ukdigitalcameras.co.uk,olympus,tg850,olympustg850,5.0,5,16 Megapixels
17621,5f3ba61e3fd5b671b2200492,www.ukdigitalcameras.co.uk,canon,g16,canonpowershotg16,5.0,5,12.1 Megapixels
17622,5f3ba61e3fd5b671b220049c,www.ukdigitalcameras.co.uk,canon,sx60,canonpowershotsx60,65.0,65,16 Megapixels
17623,5f3ba61e3fd5b671b22004b1,www.ukdigitalcameras.co.uk,nikon,aw120,nikoncoolpixaw120,5.0,5,16 Megapixels
19373,5f3ba61e3fd5b671b220045f,www.ukdigitalcameras.co.uk,nikon,s5300,nikoncoolpixs5300,8.0,8,16 Megapixels
19374,5f3ba61e3fd5b671b2200463,www.ukdigitalcameras.co.uk,samsung,galaxy2,samsunggalaxy2,21.0,21,16 Megapixels
19375,5f3ba61e3fd5b671b2200469,www.ukdigitalcameras.co.uk,olympus,sp100ee,olympussp100ee,50.0,50x,16 Megapixels
19376,5f3ba61e3fd5b671b220046b,www.ukdigitalcameras.co.uk,fuji,s4800,fujifinepixs4800,30.0,30,16.0 Megapixels
19377,5f3ba61e3fd5b671b220047a,www.ukdigitalcameras.co.uk,panasonic,ft25,panasoniclumixft25,4.0,4x,16.1 Megapixels
19378,5f3ba61e3fd5b671b2200485,www.ukdigitalcameras.co.uk,fuji,xq1,fujixq1,4.0,4,12 Megapixels
19379,5f3ba61e3fd5b671b2200490,www.ukdigitalcameras.co.uk,sony,tx30,sonycybershottx30,5.0,5,18 Megapixels
19380,5f3ba61e3fd5b671b2200499,www.ukdigitalcameras.co.uk,nikon,p7800,nikoncoolpixp7800,7.1,7.1,12.2 Megapixels
19381,5f3ba61e3fd5b671b22004a3,www.ukdigitalcameras.co.uk,fuji,s9200,fujifinepixs9200,50.0,50,16.2 Megapixels
19382,5f3ba61e3fd5b671b22004a7,www.ukdigitalcameras.co.uk,sony,tx30,sonycybershottx30,5.0,5,18 Megapixels
19383,5f3ba61e3fd5b671b22004ad,www.ukdigitalcameras.co.uk,samsung,galaxy2,samsunggalaxy2,21.0,21,16 Megapixels
19384,5f3ba61e3fd5b671b22004ae,www.ukdigitalcameras.co.uk,canon,ixus150,canonixus150,8.0,8x,16 Megapixels
19385,5f3ba61e3fd5b671b22004c1,www.ukdigitalcameras.co.uk,sony,hx400v,sonycybershothx400v,50.0,50,20.4 Megapixels
19386,5f3ba61e3fd5b671b22004c8,www.ukdigitalcameras.co.uk,fuji,xp70,fujifinepixxp70,5.0,5,16.4 Megapixels
19387,5f3ba61e3fd5b671b22004d6,www.ukdigitalcameras.co.uk,nikon,s9700,nikoncoolpixs9700,30.0,30,16 Megapixels
