,key,source,famer_brand_list,famer_model_list,famer_product_name,image sensor type,sensor type,famer_weight,weight,approx weight,dimensions wxhxd,approx dimensions,resolution
10606,5f3ba61e3fd5b671b22004fa,www.camerafarm.com.au,canon,ixus155s,canonixus155s,,,,,,,,
10607,5f3ba61e3fd5b671b22004fb,www.camerafarm.com.au,canon,ixus155bl,canonixus155bl,,,,,,,,
10608,5f3ba61e3fd5b671b2200500,www.camerafarm.com.au,nikon,d90,nikond90,,,,,,,,
10609,5f3ba61e3fd5b671b2200502,www.camerafarm.com.au,canon,s110bk,canons110bk,,,,,,,,
10610,5f3ba61e3fd5b671b2200503,www.camerafarm.com.au,canon,ixus150r,canonixus150r,,,,Approx. 130 g (including battery/batteries and memory card),,95.2 x 54.3 x 22.1 mm,,
10611,5f3ba61e3fd5b671b2200507,www.camerafarm.com.au,nikon,s32,nikoncoolpixs32,,,,,,,,
10612,5f3ba61e3fd5b671b2200511,www.camerafarm.com.au,sony,dscrx10,sonydscrx10,,,,,,,,
10613,5f3ba61e3fd5b671b2200522,www.camerafarm.com.au,nikon,s9600,nikoncoolpixs9600,,,,,,,,
10614,5f3ba61e3fd5b671b2200540,www.camerafarm.com.au,nikon,d7000,nikond7000,,,,,,,,
12368,5f3ba61e3fd5b671b22004e0,www.camerafarm.com.au,canon,sx600hsbk,canonsx600hsbk,,,,,,,,
12369,5f3ba61e3fd5b671b22004e5,www.camerafarm.com.au,nikon,d7000,nikond7000,,,,,,,,
12370,5f3ba61e3fd5b671b22004e6,www.camerafarm.com.au,nikon,p600,nikoncoolpixp600,,,,,,,,
12371,5f3ba61e3fd5b671b22004f8,www.camerafarm.com.au,nikon,s2800,nikoncoolpixs2800,,,,,,,,
12372,5f3ba61e3fd5b671b2200526,www.camerafarm.com.au,nikon,s2800,nikoncoolpixs2800,,,,,,,,
12373,5f3ba61e3fd5b671b220052a,www.camerafarm.com.au,canon,g7x,canong7x,,,,,,,,
12374,5f3ba61e3fd5b671b220052c,www.camerafarm.com.au,sony,w830,sonycybershotw830,,,,,,,,
12375,5f3ba61e3fd5b671b2200530,www.camerafarm.com.au,canon,sx400isbk,canonsx400isbk,,,,,,,,
12376,5f3ba61e3fd5b671b2200539,www.camerafarm.com.au,nikon,j2,nikon1j2,CMOS,,,,,,,
12377,5f3ba61e3fd5b671b220053b,www.camerafarm.com.au,nikon,p340,nikoncoolpixp340,,,,,,,,
12378,5f3ba61e3fd5b671b2200541,www.camerafarm.com.au,nikon,aw1,nikon1aw1,CMOS,,,,,,,
12379,5f3ba61e3fd5b671b2200547,www.camerafarm.com.au,sony,dscw710p,sonydscw710p,,,,,,,,
12380,5f3ba61e3fd5b671b220054a,www.camerafarm.com.au,olympus,xz2,olympusxz2,,,,,,,,
12381,5f3ba61e3fd5b671b220054c,www.camerafarm.com.au,canon,60d,canoneos60d,,,,,,,,
12382,5f3ba61e3fd5b671b2200552,www.camerafarm.com.au,nikon,d3100,nikond3100,,,,,,,,
14164,5f3ba61e3fd5b671b220050a,www.camerafarm.com.au,canon,sx60hs,canonsx60hs,,,,,,,,
14165,5f3ba61e3fd5b671b220050e,www.camerafarm.com.au,nikon,d3100,nikond3100,,,,,,,,
14166,5f3ba61e3fd5b671b2200510,www.camerafarm.com.au,nikon,l830,nikoncoolpixl830,,,,,,,,
14167,5f3ba61e3fd5b671b2200512,www.camerafarm.com.au,canon,60d,canoneos60d,,,,,,,,
14168,5f3ba61e3fd5b671b2200528,www.camerafarm.com.au,sony,rx100,sonycybershotrx100,,,,,,,,
14169,5f3ba61e3fd5b671b220052e,www.camerafarm.com.au,nikon,d3100,nikond3100,,,,,,,,
14170,5f3ba61e3fd5b671b220053a,www.camerafarm.com.au,canon,sx40hs,canonsx40hs,,,,,,,,
14171,5f3ba61e3fd5b671b220054e,www.camerafarm.com.au,samsung,nx300,samsungnx300,,CMOS,,,,,,WVGA ( 800 x 480 ) 768k dots (Pentile)
15889,5f3ba61e3fd5b671b22004ea,www.camerafarm.com.au,sony,dscw810,sonydscw810,,,,,,,,
15890,5f3ba61e3fd5b671b22004f2,www.camerafarm.com.au,nikon,j3,nikon1j3,CMOS,,,,,,,
15891,5f3ba61e3fd5b671b22004f7,www.camerafarm.com.au,nikon,j2,nikon1j2,CMOS,,,,,,,
15892,5f3ba61e3fd5b671b22004fd,www.camerafarm.com.au,canon,600d,canoneos600d,,,,,,,,
15893,5f3ba61e3fd5b671b2200529,www.camerafarm.com.au,canon,sx700hsr,canonsx700hsr,,,,,,,,
15894,5f3ba61e3fd5b671b2200549,www.camerafarm.com.au,nikon,s9700,nikoncoolpixs9700,,,,,,,,
15895,5f3ba61e3fd5b671b220054f,www.camerafarm.com.au,nikon,aw1,nikon1aw1,CMOS,,,,,,,
17624,5f3ba61e3fd5b671b22004df,www.camerafarm.com.au,canon,sx700,canonpowershotsx700,,,,,,,,
17625,5f3ba61e3fd5b671b22004e2,www.camerafarm.com.au,nikon,s6800,nikoncoolpixs6800,,,,,,,,
17626,5f3ba61e3fd5b671b22004e7,www.camerafarm.com.au,samsung,st600,samsungst600,,,,147.2g (without battery and card),,,,
17627,5f3ba61e3fd5b671b22004ec,www.camerafarm.com.au,nikon,l830,nikoncoolpixl830,,,,,,,,
17628,5f3ba61e3fd5b671b22004ee,www.camerafarm.com.au,olympus,xz10,olympusxz10,,,,,,,,
17629,5f3ba61e3fd5b671b22004ef,www.camerafarm.com.au,nikon,s32,nikoncoolpixs32,,,,,,,,
17630,5f3ba61e3fd5b671b2200506,www.camerafarm.com.au,nikon,s3600,nikoncoolpixs3600,,,,,,,,
17631,5f3ba61e3fd5b671b2200515,www.camerafarm.com.au,nikon,aw120,nikoncoolpixaw120,,,,,,,,
17632,5f3ba61e3fd5b671b220051b,www.camerafarm.com.au,nikon,s2800,nikoncoolpixs2800,,,,,,,,
17633,5f3ba61e3fd5b671b220051e,www.camerafarm.com.au,nikon,d5100,nikond5100,CMOS,,,,19.7 oz. (560g)\ncamera body only,,Width 5.0 in. (127mm)\nHeight 3.8 in. (96.5mm)\nDepth 3.1 in. (78.7mm),
17634,5f3ba61e3fd5b671b220053d,www.camerafarm.com.au,nikon,s6800,nikoncoolpixs6800,,,,,,,,
17635,5f3ba61e3fd5b671b220053f,www.camerafarm.com.au,olympus,em5,olympusomdem5,LiveMOS,,,"425g with BLN-1 battery and memory card\, 373g body only",,"121 mm (W) x 89.6mm (H) x 41.9mm (D) (CIPA guideline compliant\, excluding protrusions)",,
17636,5f3ba61e3fd5b671b2200544,www.camerafarm.com.au,nikon,p530,nikoncoolpixp530,,,,,,,,
19388,5f3ba61e3fd5b671b22004dc,www.camerafarm.com.au,canon,s200bk,canons200bk,,,,,,,,
19389,5f3ba61e3fd5b671b22004de,www.camerafarm.com.au,sony,dscw810,sonydscw810,,,,,,,,
19390,5f3ba61e3fd5b671b22004e8,www.camerafarm.com.au,nikon,d7000,nikond7000,,,,,,,,
19391,5f3ba61e3fd5b671b22004f5,www.camerafarm.com.au,nikon,d7000,nikond7000,,,,,,,,
19392,5f3ba61e3fd5b671b22004fc,www.camerafarm.com.au,nikon,j3,nikon1j3,CMOS,,,,,,,
19393,5f3ba61e3fd5b671b2200508,www.camerafarm.com.au,nikon,l29,nikoncoolpixl29,,,,,,,,
19394,5f3ba61e3fd5b671b2200516,www.camerafarm.com.au,nikon,s3600,nikoncoolpixs3600,,,,,,,,
19395,5f3ba61e3fd5b671b220051a,www.camerafarm.com.au,nikon,j2,nikon1j2,CMOS,,,,,,,
19396,5f3ba61e3fd5b671b2200520,www.camerafarm.com.au,nikon,j3,nikon1j3,CMOS,,,,,,,
19397,5f3ba61e3fd5b671b2200521,www.camerafarm.com.au,canon,1100d,canoneos1100d,,,,,,,,
19398,5f3ba61e3fd5b671b220052b,www.camerafarm.com.au,nikon,aw120,nikoncoolpixaw120,,,,,,,,
19399,5f3ba61e3fd5b671b220053c,www.camerafarm.com.au,canon,g1,canonpowershotg1,,,,,,,,
