,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
1854,5f3ba61e3fd5b671b2200517,16,www.camerafarm.com.au,nx300,300,/,/,samsungnx300,/,/,0.0,0.0,,CMOS,samsung
1855,5f3ba61e3fd5b671b2200525,17,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon
1856,5f3ba61e3fd5b671b2200531,18,www.camerafarm.com.au,dsctx30b,30,/,/,sonydsctx30b,/,/,0.0,0.0,,,sony
1857,5f3ba61e3fd5b671b2200536,19,www.camerafarm.com.au,d5100,5100,/,/,nikond5100,/,/,0.0,0.0,560,CMOS,nikon
1858,5f3ba61e3fd5b671b220053e,20,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon
1859,5f3ba61e3fd5b671b2200546,21,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon
3640,5f3ba61e3fd5b671b22004e1,22,www.camerafarm.com.au,ixus145bk,145,/,/,canonixus145bk,/,/,9.52,5.43,127,,canon
3641,5f3ba61e3fd5b671b22004e9,23,www.camerafarm.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,0.0,0.0,,,nikon
3642,5f3ba61e3fd5b671b22004f6,24,www.camerafarm.com.au,s2800,2800,/,/,nikoncoolpixs2800,/,/,0.0,0.0,,,nikon
3643,5f3ba61e3fd5b671b22004ff,25,www.camerafarm.com.au,vna230ha,230,/,/,nikoncoolpixacameravna230ha,/,/,0.0,0.0,,,nikon
3644,5f3ba61e3fd5b671b2200504,26,www.camerafarm.com.au,ixus145pr,145,/,/,canonixus145pr,/,/,9.52,5.43,127,,canon
3645,5f3ba61e3fd5b671b2200513,27,www.camerafarm.com.au,70dsk,70,/,/,canon70dsk,/,/,13.9,10.43,755.0,,canon
3646,5f3ba61e3fd5b671b220051f,28,www.camerafarm.com.au,vna231ha,231,/,/,nikoncoolpixacameravna231ha,/,/,0.0,0.0,,,nikon
3647,5f3ba61e3fd5b671b2200543,29,www.camerafarm.com.au,j3,3,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon
3648,5f3ba61e3fd5b671b2200553,30,www.camerafarm.com.au,dschx300,300,/,/,sonydschx300,/,/,0.0,0.0,,,sony
5411,5f3ba61e3fd5b671b22004f0,31,www.camerafarm.com.au,s32,32,/,/,nikoncoolpixs32,/,/,0.0,0.0,,,nikon
5412,5f3ba61e3fd5b671b2200509,32,www.camerafarm.com.au,ixus150gy,150,/,/,canonixus150gy,/,/,9.52,5.43,130,,canon
5413,5f3ba61e3fd5b671b220050d,33,www.camerafarm.com.au,ixus155r,155,/,/,canonixus155r,/,/,0.0,0.0,,,canon
5414,5f3ba61e3fd5b671b220051d,34,www.camerafarm.com.au,ixus145r,145,/,/,canonixus145r,/,/,9.52,5.43,127,,canon
5415,5f3ba61e3fd5b671b2200532,35,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon
5416,5f3ba61e3fd5b671b2200535,36,www.camerafarm.com.au,l830,830,/,/,nikoncoolpixl830,/,/,0.0,0.0,,,nikon
5417,5f3ba61e3fd5b671b2200545,37,www.camerafarm.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,0.0,0.0,,,nikon
7123,5f3ba61e3fd5b671b22004eb,38,www.camerafarm.com.au,w830,830,/,/,sonycybershotw830,/,/,0.0,0.0,,,sony
7124,5f3ba61e3fd5b671b2200505,39,www.camerafarm.com.au,600d,600,/,/,canoneos600d,/,/,0.0,0.0,,,canon
7125,5f3ba61e3fd5b671b220050b,40,www.camerafarm.com.au,nx300,300,/,/,samsungnx300,/,/,0.0,0.0,,CMOS,samsung
7126,5f3ba61e3fd5b671b2200518,41,www.camerafarm.com.au,70d,70,/,/,canoneos70d,/,/,13.9,10.43,755.0,,canon
7127,5f3ba61e3fd5b671b2200519,42,www.camerafarm.com.au,nx300,300,/,/,samsungnx300,/,/,0.0,0.0,,CMOS,samsung
7128,5f3ba61e3fd5b671b2200551,43,www.camerafarm.com.au,sx170,170,/,/,canonpowershotsx170,/,/,0.0,0.0,,,canon
8846,5f3ba61e3fd5b671b22004dd,44,www.camerafarm.com.au,70d,70,/,/,canoneos70d,/,/,13.9,10.43,755.0,,canon
8847,5f3ba61e3fd5b671b22004ed,45,www.camerafarm.com.au,s9600,9600,/,/,nikoncoolpixs9600,/,/,0.0,0.0,,,nikon
8848,5f3ba61e3fd5b671b22004f4,46,www.camerafarm.com.au,p7800,7800,/,/,nikoncoolpixp7800,/,/,0.0,0.0,,,nikon
8849,5f3ba61e3fd5b671b220050f,47,www.camerafarm.com.au,d5100,5100,/,/,nikond5100,/,/,0.0,0.0,560,CMOS,nikon
8850,5f3ba61e3fd5b671b220051c,48,www.camerafarm.com.au,70dkis,70,/,/,canon70dkis,/,/,13.9,10.43,755.0,,canon
8851,5f3ba61e3fd5b671b220052d,49,www.camerafarm.com.au,1100d,1100,/,/,canoneos1100d,/,/,0.0,0.0,,,canon
8852,5f3ba61e3fd5b671b2200533,50,www.camerafarm.com.au,600d,600,/,/,canoneos600d,/,/,0.0,0.0,,,canon
8853,5f3ba61e3fd5b671b2200534,51,www.camerafarm.com.au,sx600hsr,600,/,/,canonsx600hsr,/,/,0.0,0.0,,,canon
8854,5f3ba61e3fd5b671b2200548,52,www.camerafarm.com.au,1100d,1100,/,/,canoneos1100d,/,/,0.0,0.0,,,canon
8855,5f3ba61e3fd5b671b220054b,53,www.camerafarm.com.au,aw120,120,/,/,nikoncoolpixaw120,/,/,0.0,0.0,,,nikon
8856,5f3ba61e3fd5b671b2200550,54,www.camerafarm.com.au,s6800,6800,/,/,nikoncoolpixs6800,/,/,0.0,0.0,,,nikon
10604,5f3ba61e3fd5b671b22004e3,55,www.camerafarm.com.au,dschx60v,60,/,/,sonydschx60v,/,/,0.0,0.0,,,sony
10605,5f3ba61e3fd5b671b22004f3,56,www.camerafarm.com.au,2,2,/,/,samsunggalaxycamera2,/,/,0.0,0.0,,,samsung
10606,5f3ba61e3fd5b671b22004fa,57,www.camerafarm.com.au,ixus155s,155,/,/,canonixus155s,/,/,0.0,0.0,,,canon
10607,5f3ba61e3fd5b671b22004fb,58,www.camerafarm.com.au,ixus155bl,155,/,/,canonixus155bl,/,/,0.0,0.0,,,canon
10608,5f3ba61e3fd5b671b2200500,59,www.camerafarm.com.au,d90,90,/,/,nikond90,/,/,0.0,0.0,,,nikon
10609,5f3ba61e3fd5b671b2200502,60,www.camerafarm.com.au,s110bk,110,/,/,canons110bk,/,/,0.0,0.0,,,canon
10610,5f3ba61e3fd5b671b2200503,61,www.camerafarm.com.au,ixus150r,150,/,/,canonixus150r,/,/,9.52,5.43,130,,canon
10611,5f3ba61e3fd5b671b2200507,62,www.camerafarm.com.au,s32,32,/,/,nikoncoolpixs32,/,/,0.0,0.0,,,nikon
10612,5f3ba61e3fd5b671b2200511,63,www.camerafarm.com.au,dscrx10,10,/,/,sonydscrx10,/,/,0.0,0.0,,,sony
10613,5f3ba61e3fd5b671b2200522,64,www.camerafarm.com.au,s9600,9600,/,/,nikoncoolpixs9600,/,/,0.0,0.0,,,nikon
10614,5f3ba61e3fd5b671b2200540,65,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon
12368,5f3ba61e3fd5b671b22004e0,66,www.camerafarm.com.au,sx600hsbk,600,/,/,canonsx600hsbk,/,/,0.0,0.0,,,canon
12369,5f3ba61e3fd5b671b22004e5,67,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon
12370,5f3ba61e3fd5b671b22004e6,68,www.camerafarm.com.au,p600,600,/,/,nikoncoolpixp600,/,/,0.0,0.0,,,nikon
12371,5f3ba61e3fd5b671b22004f8,69,www.camerafarm.com.au,s2800,2800,/,/,nikoncoolpixs2800,/,/,0.0,0.0,,,nikon
12372,5f3ba61e3fd5b671b2200526,70,www.camerafarm.com.au,s2800,2800,/,/,nikoncoolpixs2800,/,/,0.0,0.0,,,nikon
12373,5f3ba61e3fd5b671b220052a,71,www.camerafarm.com.au,g7x,7,/,/,canong7x,/,/,0.0,0.0,,,canon
12374,5f3ba61e3fd5b671b220052c,72,www.camerafarm.com.au,w830,830,/,/,sonycybershotw830,/,/,0.0,0.0,,,sony
12375,5f3ba61e3fd5b671b2200530,73,www.camerafarm.com.au,sx400isbk,400,/,/,canonsx400isbk,/,/,0.0,0.0,,,canon
12376,5f3ba61e3fd5b671b2200539,74,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon
12377,5f3ba61e3fd5b671b220053b,75,www.camerafarm.com.au,p340,340,/,/,nikoncoolpixp340,/,/,0.0,0.0,,,nikon
12378,5f3ba61e3fd5b671b2200541,76,www.camerafarm.com.au,aw1,1,/,/,nikon1aw1,/,/,0.0,0.0,,CMOS,nikon
12379,5f3ba61e3fd5b671b2200547,77,www.camerafarm.com.au,dscw710p,710,/,/,sonydscw710p,/,/,0.0,0.0,,,sony
12380,5f3ba61e3fd5b671b220054a,78,www.camerafarm.com.au,xz2,2,/,/,olympusxz2,/,/,0.0,0.0,,,olympus
12381,5f3ba61e3fd5b671b220054c,79,www.camerafarm.com.au,60d,60,/,/,canoneos60d,/,/,0.0,0.0,,,canon
12382,5f3ba61e3fd5b671b2200552,80,www.camerafarm.com.au,d3100,3100,/,/,nikond3100,/,/,0.0,0.0,,,nikon
14164,5f3ba61e3fd5b671b220050a,81,www.camerafarm.com.au,sx60hs,60,/,/,canonsx60hs,/,/,0.0,0.0,,,canon
14165,5f3ba61e3fd5b671b220050e,82,www.camerafarm.com.au,d3100,3100,/,/,nikond3100,/,/,0.0,0.0,,,nikon
14166,5f3ba61e3fd5b671b2200510,83,www.camerafarm.com.au,l830,830,/,/,nikoncoolpixl830,/,/,0.0,0.0,,,nikon
14167,5f3ba61e3fd5b671b2200512,84,www.camerafarm.com.au,60d,60,/,/,canoneos60d,/,/,0.0,0.0,,,canon
14168,5f3ba61e3fd5b671b2200528,85,www.camerafarm.com.au,rx100,100-3,/,/,sonycybershotrx100,/,/,0.0,0.0,,,sony
14169,5f3ba61e3fd5b671b220052e,86,www.camerafarm.com.au,d3100,3100,/,/,nikond3100,/,/,0.0,0.0,,,nikon
14170,5f3ba61e3fd5b671b220053a,87,www.camerafarm.com.au,sx40hs,40,/,/,canonsx40hs,/,/,0.0,0.0,,,canon
14171,5f3ba61e3fd5b671b220054e,88,www.camerafarm.com.au,nx300,300,/,/,samsungnx300,/,/,0.0,0.0,,CMOS,samsung
15889,5f3ba61e3fd5b671b22004ea,89,www.camerafarm.com.au,dscw810,810.0,/,/,sonydscw810,/,/,0.0,0.0,,,sony
15890,5f3ba61e3fd5b671b22004f2,90,www.camerafarm.com.au,j3,3.0,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon
15891,5f3ba61e3fd5b671b22004f7,91,www.camerafarm.com.au,j2,2.0,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon
15892,5f3ba61e3fd5b671b22004fd,92,www.camerafarm.com.au,600d,600.0,/,/,canoneos600d,/,/,0.0,0.0,,,canon
15893,5f3ba61e3fd5b671b2200529,93,www.camerafarm.com.au,sx700hsr,700.0,/,/,canonsx700hsr,/,/,0.0,0.0,,,canon
15894,5f3ba61e3fd5b671b2200549,94,www.camerafarm.com.au,s9700,9700.0,/,/,nikoncoolpixs9700,/,/,0.0,0.0,,,nikon
15895,5f3ba61e3fd5b671b220054f,95,www.camerafarm.com.au,aw1,1.0,/,/,nikon1aw1,/,/,0.0,0.0,,CMOS,nikon
17624,5f3ba61e3fd5b671b22004df,96,www.camerafarm.com.au,sx700,700,/,/,canonpowershotsx700,/,/,0.0,0.0,,,canon
17625,5f3ba61e3fd5b671b22004e2,97,www.camerafarm.com.au,s6800,6800,/,/,nikoncoolpixs6800,/,/,0.0,0.0,,,nikon
17626,5f3ba61e3fd5b671b22004e7,98,www.camerafarm.com.au,st600,600,/,/,samsungst600,/,/,0.0,0.0,147.2,,samsung
17627,5f3ba61e3fd5b671b22004ec,99,www.camerafarm.com.au,l830,830,/,/,nikoncoolpixl830,/,/,0.0,0.0,,,nikon
17628,5f3ba61e3fd5b671b22004ee,100,www.camerafarm.com.au,xz10,10,/,/,olympusxz10,/,/,0.0,0.0,,,olympus
17629,5f3ba61e3fd5b671b22004ef,101,www.camerafarm.com.au,s32,32,/,/,nikoncoolpixs32,/,/,0.0,0.0,,,nikon
17630,5f3ba61e3fd5b671b2200506,102,www.camerafarm.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,0.0,0.0,,,nikon
17631,5f3ba61e3fd5b671b2200515,103,www.camerafarm.com.au,aw120,120,/,/,nikoncoolpixaw120,/,/,0.0,0.0,,,nikon
17632,5f3ba61e3fd5b671b220051b,104,www.camerafarm.com.au,s2800,2800,/,/,nikoncoolpixs2800,/,/,0.0,0.0,,,nikon
17633,5f3ba61e3fd5b671b220051e,105,www.camerafarm.com.au,d5100,5100,/,/,nikond5100,/,/,0.0,0.0,560,CMOS,nikon
17634,5f3ba61e3fd5b671b220053d,106,www.camerafarm.com.au,s6800,6800,/,/,nikoncoolpixs6800,/,/,0.0,0.0,,,nikon
17635,5f3ba61e3fd5b671b220053f,107,www.camerafarm.com.au,em5,5,/,/,olympusomdem5,/,/,12.1,8.959999999999999,425,LiveMOS,olympus
17636,5f3ba61e3fd5b671b2200544,108,www.camerafarm.com.au,p530,530,/,/,nikoncoolpixp530,/,/,0.0,0.0,,,nikon
19388,5f3ba61e3fd5b671b22004dc,109,www.camerafarm.com.au,s200bk,200,/,/,canons200bk,/,/,0.0,0.0,,,canon
19389,5f3ba61e3fd5b671b22004de,110,www.camerafarm.com.au,dscw810,810,/,/,sonydscw810,/,/,0.0,0.0,,,sony
19390,5f3ba61e3fd5b671b22004e8,111,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon
19391,5f3ba61e3fd5b671b22004f5,112,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon
19392,5f3ba61e3fd5b671b22004fc,113,www.camerafarm.com.au,j3,3,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon
19393,5f3ba61e3fd5b671b2200508,114,www.camerafarm.com.au,l29,29,/,/,nikoncoolpixl29,/,/,0.0,0.0,,,nikon
19394,5f3ba61e3fd5b671b2200516,115,www.camerafarm.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,0.0,0.0,,,nikon
19395,5f3ba61e3fd5b671b220051a,116,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon
19396,5f3ba61e3fd5b671b2200520,117,www.camerafarm.com.au,j3,3,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon
19397,5f3ba61e3fd5b671b2200521,118,www.camerafarm.com.au,1100d,1100,/,/,canoneos1100d,/,/,0.0,0.0,,,canon
19398,5f3ba61e3fd5b671b220052b,119,www.camerafarm.com.au,aw120,120,/,/,nikoncoolpixaw120,/,/,0.0,0.0,,,nikon
19399,5f3ba61e3fd5b671b220053c,120,www.camerafarm.com.au,g1,1,/,/,canonpowershotg1,/,/,0.0,0.0,,,canon
