,key,source,famer_brand_list,famer_model_list,famer_product_name,digital zoom,famer_opticalzoom,optical zoom,sensor type,sensor type,weight,dimension,display
262,5f3ba61f3fd5b671b2200ca3,www.pricedekho.com,nikon,s9500,nikoncoolpixs9500,,,,,,,Dimensions\n4.33 x 2.37 x 1.21 Inches\nWeight\n205 gms,"Display Type\nOLED Monitor\nScreen Size\n3 Inches\nImage Display Resolution\n614000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nAdditional Display Features\nAnti-reflection Coating\, Wide Viewing Angle"
263,5f3ba61f3fd5b671b2200cac,www.pricedekho.com,canon,600d,canoneos600d,,,,CMOS Sensor,CMOS Sensor,570 gms,,
264,5f3ba61f3fd5b671b2200cae,www.pricedekho.com,sony,dschx300,sonycybershotdschx300,,,,,,,Dimensions\n129.6 x 93.2 x 103.2 mm\nWeight\n623 gms,"Display Type\nXtraFine TFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n921600 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)\nSupported Aspect Ratio\n16\:9\, 4\:3\nAdditional Display Features\nAngle Adjustment"
265,5f3ba61f3fd5b671b2200cbc,www.pricedekho.com,olympus,em5,olympusomdem5,,,,Live MOS Sensor,Live MOS Sensor,,,
266,5f3ba61f3fd5b671b2200cc0,www.pricedekho.com,panasonic,dmcls5,panasoniclumixdmcls5,,,,,,,Weight\n173 gms,Screen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 30 fps
267,5f3ba61f3fd5b671b2200cc7,www.pricedekho.com,nikon,s31,nikoncoolpixs31,,,,,,,,
268,5f3ba61f3fd5b671b2200cd5,www.pricedekho.com,samsung,wb50f,samsungsmartwb50f,,,,,,,Dimensions\n101 x 68 x 27.1 mm\nWeight\n157 gms,Display Type\nLCD\nScreen Size\n3 Inches
269,5f3ba61f3fd5b671b2200cda,www.pricedekho.com,canon,a1200,canonpowershota1200,,,,,,,Weight\n185 gms,Screen Size\n2.7 Inches
270,5f3ba61f3fd5b671b2200d00,www.pricedekho.com,sony,dscw690,sonycybershotdscw690,,,,,,,Weight\n124 gms,"Display Type\nClear Photo TFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n230400 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 30 fps\nSupported Aspect Ratio\n16\:9\, 4\:3"
271,5f3ba61f3fd5b671b2200d0b,www.pricedekho.com,sony,slta37k,sonyalphaslta37k,,,,Exmor CMOS Sensor,Exmor CMOS Sensor,,,
272,5f3ba61f3fd5b671b2200d14,www.pricedekho.com,canon,700d,canoneos700d,,,,,,,Weight\n525 gms,Display Type\nLiquid Crystal TFT\nScreen Size\n3 Inches\nImage Display Resolution\n1040000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nViewFinder\nEye-level Pentamirror
273,5f3ba61f3fd5b671b2200d17,www.pricedekho.com,canon,70d,canoneos70d,,,,CMOS Sensor,CMOS Sensor,675 gms,,
1986,5f3ba61f3fd5b671b2200bc2,www.pricedekho.com,canon,1100d,canoneos1100d,,,,,,,,
1987,5f3ba61f3fd5b671b2200bc6,www.pricedekho.com,panasonic,dmcfh5,panasoniclumixdmcfh5,4x,,4x,CCD Sensor,CCD Sensor,104 gms,,
1988,5f3ba61f3fd5b671b2200bcc,www.pricedekho.com,nikon,s800c,nikoncoolpixs800c,,,,,,,Dimensions\n4.39 x 2.36 x 1.07 Inches\nWeight\n184 gms,Display Type\nOLED LCD Touchscreen\nScreen Size\n3.5 Inches\nImage Display Resolution\n819000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nSupported Aspect Ratio\n16\:09\nAdditional Display Features\nAnti-reflection Coating
1989,5f3ba61f3fd5b671b2200bdb,www.pricedekho.com,canon,ixus500,canonixus500,,,,,,,Weight\n135 gms,Screen Size\n3 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 24 fps
1990,5f3ba61f3fd5b671b2200bec,www.pricedekho.com,canon,ixus255,canonixus255,,,,,,,Dimensions\n3.83 x 2.22 x 0.89 Inches\nWeight\n144 gms,Display Type\nPureColor II G TFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n461000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 24 fps
1991,5f3ba61f3fd5b671b2200bf9,www.pricedekho.com,canon,sx170,canonpowershotsx170,,,,,,,Dimensions\n4.25 x 2.8 x 1.73 Inches\nWeight\n228 gms,"Screen Size\n3 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD)\nSupported Aspect Ratio\n16\:9\, 3\:2\, 4\:3\, 1\:1"
1992,5f3ba61f3fd5b671b2200c0d,www.pricedekho.com,nikon,v1,nikon1v1,,,,CMOS Sensor,CMOS Sensor,,,
1993,5f3ba61f3fd5b671b2200c13,www.pricedekho.com,nikon,mirrorless,nikonmirrorlesscamera,,,,,,,,
1994,5f3ba61f3fd5b671b2200c14,www.pricedekho.com,nikon,d800,nikond800,,,,,,,Weight\n900 gms,Display Type\nTFT LCD\nScreen Size\n3.2 Inches\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nViewFinder\nEye-level Pentaprism
1995,5f3ba61f3fd5b671b2200c27,www.pricedekho.com,panasonic,dmcsz1,panasoniclumixdmcsz1,,,,,,,Dimensions\n3.9 x 2.34 x 0.75 Inches\nWeight\n131 gms,"Display Type\nTFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 24 fps\nSupported Aspect Ratio\n16\:9\, 3\:2\, 4\:3\, 1\:1"
1996,5f3ba61f3fd5b671b2200c29,www.pricedekho.com,nikon,l820,nikoncoolpixl820,,,,,,,Dimensions\n110 x 76.3 x 84.5 mm\nWeight\n470 gms,"Display Type\nTFT LCD with Anti-Reflection Coating\nScreen Size\n3 Inches\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nSupported Aspect Ratio\n16\:9\, 4\:3"
1997,5f3ba61f3fd5b671b2200c3a,www.pricedekho.com,panasonic,dmcs1,panasoniclumixdmcs1,,,,,,,Weight\n117 gms,Screen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 30 fps
1998,5f3ba61f3fd5b671b2200c43,www.pricedekho.com,sony,dschx400v,sonycybershotdschx400v,,,,,,,Dimensions\n5.1 x 4.06 x 3.67 Inches\nWeight\n660 gms,Screen Size\n3 Inches
1999,5f3ba61f3fd5b671b2200c44,www.pricedekho.com,nikon,d5200,nikond5200,,,,CMOS Sensor,CMOS Sensor,555 gms,,
2000,5f3ba61f3fd5b671b2200c47,www.pricedekho.com,nikon,s3300,nikoncoolpixs3300,,,,,,,,
2001,5f3ba61f3fd5b671b2200c4c,www.pricedekho.com,fujifilm,f900exr,fujifilmfinepixf900exr,2x,,20x,,,,,
2002,5f3ba61f3fd5b671b2200c55,www.pricedekho.com,sony,dschx20v,sonycybershotdschx20v,80x,20.0,20x,Exmor R CMOS Sensor,Exmor R CMOS Sensor,,,
2003,5f3ba61f3fd5b671b2200c5f,www.pricedekho.com,canon,ixus135,canonixus135,4x,,8x,CCD Sensor,CCD Sensor,118 gms,,
2004,5f3ba61f3fd5b671b2200c68,www.pricedekho.com,nikon,s02,nikoncoolpixs02,4x,,3x,CMOS Sensor,CMOS Sensor,100 gms,,
2005,5f3ba61f3fd5b671b2200c70,www.pricedekho.com,nikon,s3300,nikoncoolpixs3300,,,,,,,Dimensions\n3.73 x 2.28 x 0.77 Inches\nWeight\n128 gms,Display Type\nTFT LCD Touchscreen\nScreen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nAdditional Display Features\nAnti-reflection Coating
2006,5f3ba61f3fd5b671b2200c76,www.pricedekho.com,samsung,wb35f,samsungwb35f,,,,CCD Sensor,CCD Sensor,144 gms,,
2007,5f3ba61f3fd5b671b2200c7f,www.pricedekho.com,samsung,wb700,samsungwb700,4x,18.0,18x,CCD Sensor,CCD Sensor,,,
2008,5f3ba61f3fd5b671b2200c90,www.pricedekho.com,panasonic,dmcls6,panasoniclumixdmcls6,,,,,,,Weight\n125 gms,Display Type\nTFT LCD\nScreen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 30 fps
2009,5f3ba61f3fd5b671b2200cb3,www.pricedekho.com,fujifilm,f500exr,fujifilmfinepixf500exr,5x,15.0,15x,CMOS Sensor,CMOS Sensor,,,
2010,5f3ba61f3fd5b671b2200cb8,www.pricedekho.com,panasonic,dmcfx80,panasoniclumixdmcfx80,4x,,5x,CCD Sensor,CCD Sensor,114 gms,,
2011,5f3ba61f3fd5b671b2200cc1,www.pricedekho.com,fujifilm,ax500,fujifilmfinepixax500,6.7x,,5x,CCD Sensor,CCD Sensor,119 gms,,
2012,5f3ba61f3fd5b671b2200cc2,www.pricedekho.com,nikon,j1,nikon1j1,,,,CMOS Sensor,CMOS Sensor,234 gms,,
2013,5f3ba61f3fd5b671b2200cdc,www.pricedekho.com,nikon,p300,nikoncoolpixp300,,,,,,,Weight\n189 gms,Screen Size\n3 Inches\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n640 x 480 pixels (VGA)
2014,5f3ba61f3fd5b671b2200ce6,www.pricedekho.com,canon,1000d,canoneos1000d,,,,,,,Weight\n450 gms,Screen Size\n2.5 Inches\nViewFinder\nEye-level SLR with Pentamirror
2015,5f3ba61f3fd5b671b2200d07,www.pricedekho.com,canon,5d,canoneos5d,,,,,,,Dimensions\n152 x 116.4 x 76.4 mm\nWeight\n860 gms,Display Type\nLiquid Crystal TFT\nScreen Size\n3.2 Inches\nImage Display Resolution\n1040000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nViewFinder\nEye-level Pentaprism
2016,5f3ba61f3fd5b671b2200d0e,www.pricedekho.com,canon,700d,canoneos700d,,,,CMOS Sensor,CMOS Sensor,,,
2017,5f3ba61f3fd5b671b2200d10,www.pricedekho.com,fujifilm,mini25,fujifilminstaxmini25,,,,,,,,
2018,5f3ba61f3fd5b671b2200d16,www.pricedekho.com,canon,5d,canoneos5d,,,,CMOS Sensor,CMOS Sensor,,,
3786,5f3ba61f3fd5b671b2200bb8,www.pricedekho.com,nikon,s2800,nikoncoolpixs2800,4x,,5x,CCD Sensor,CCD Sensor,,,
3787,5f3ba61f3fd5b671b2200bba,www.pricedekho.com,canon,sx50,canonpowershotsx50,4x,50.0,50x,CMOS Sensor,CMOS Sensor,,,
3788,5f3ba61f3fd5b671b2200bc8,www.pricedekho.com,fujifilm,ax300,fujifilmfinepixax300,6.7x,,5x,CCD Sensor,CCD Sensor,168 gms,,
3789,5f3ba61f3fd5b671b2200bce,www.pricedekho.com,canon,650d,canoneos650d,,,,,,,Dimensions\n5.24 x 3.93 x 3.1 Inches\nWeight\n575 gms,Display Type\nLiquid Crystal TFT Touchscreen\nScreen Size\n3 Inches\nImage Display Resolution\n1040000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nViewFinder\nEye-level Pentamirror
3790,5f3ba61f3fd5b671b2200bd4,www.pricedekho.com,sony,dscwx200,sonycybershotdscwx200,40x,,10x,Exmor R CMOS Sensor,Exmor R CMOS Sensor,121 gms,,
3791,5f3ba61f3fd5b671b2200bdc,www.pricedekho.com,sony,dscs5000,sonycybershotdscs5000,4x,,5x,CCD Sensor,CCD Sensor,125 gms,,
3792,5f3ba61f3fd5b671b2200be7,www.pricedekho.com,sony,dscw730,sonycybershotdscw730,"Still Image\: 32x / 10 M\, 10x / 5 M\, 14x / VGA\, 57x / 2M",,8x,CCD Sensor,CCD Sensor,122 gms,,
3793,5f3ba61f3fd5b671b2200bf4,www.pricedekho.com,canon,sx130,canonpowershotsx130,,,,,,,Weight\n308 gms,"Screen Size\n3 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\nColor Swap \: 1280 x 720 (30fps*) 640 x 480 (30fps*) 320 x 240 (30fps*)\, Miniature Effect\: 1280 x 720 (Shooting\: 6fps / 3fps / 1.5fps Playback 30fps*) pixels"
3794,5f3ba61f3fd5b671b2200bfb,www.pricedekho.com,nikon,l30,nikoncoolpixl30,4x,,5x,CCD Sensor,CCD Sensor,164 gms,,
3795,5f3ba61f3fd5b671b2200c03,www.pricedekho.com,canon,g1x,canonpowershotg1x,4x,,4x,CMOS Sensor,CMOS Sensor,,,
3796,5f3ba61f3fd5b671b2200c06,www.pricedekho.com,canon,500d,canoneos500d,,,,CMOS Sensor,CMOS Sensor,,,
3797,5f3ba61f3fd5b671b2200c08,www.pricedekho.com,nikon,s3600,nikoncoolpixs3600,4x,,16x,CCD Sensor,CCD Sensor,125 gms,,
3798,5f3ba61f3fd5b671b2200c0a,www.pricedekho.com,fujifilm,f80exr,fujifilmfinepixf80exr,,,,,,,Weight\n210 gms,"Screen Size\n3 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels\, 640 x 480 pixels\, 320 x 240 pixels"
3799,5f3ba61f3fd5b671b2200c0c,www.pricedekho.com,nikon,l610,nikoncoolpixl610,,,,,,,Dimensions\n4.25 x 2.69 x 1.34 Inches\nWeight\n240 gms,"Display Type\nTFT LCD Touchscreen\nScreen Size\n3 Inches\nImage Display Resolution\n460000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nSupported Aspect Ratio\n16\:9\, 4\:3\nAdditional Display Features\nAnti-reflection Coating"
3800,5f3ba61f3fd5b671b2200c20,www.pricedekho.com,fujifilm,f550exr,fujifilmfinepixf550exr,,,,,,,Weight\n195 gms,Display Type\nTFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n460000 dots
3801,5f3ba61f3fd5b671b2200c39,www.pricedekho.com,nikon,p520,nikoncoolpixp520,2x,,42x,CMOS Sensor,CMOS Sensor,,,
3802,5f3ba61f3fd5b671b2200c3d,www.pricedekho.com,canon,60d,canoneos60d,,,,,,,Dimensions\n144.5 x 105.8 X 78.6 mm\nWeight\n755 gms,Display Type\nLiquid Crystal TFT\nScreen Size\n3 Inches\nImage Display Resolution\n1040000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)\nViewFinder\nEye-level Pentamirror
3803,5f3ba61f3fd5b671b2200c42,www.pricedekho.com,pentax,ls465,pentaxoptiols465,7.2x,,5x,CCD Sensor,CCD Sensor,122 gms,,
3804,5f3ba61f3fd5b671b2200c46,www.pricedekho.com,nikon,s8100,nikoncoolpixs8100,,,,,,,Weight\n184 gms,Screen Size\n3 Inches\nImage Display Resolution\n921000 dots
3805,5f3ba61f3fd5b671b2200c61,www.pricedekho.com,samsung,st6500,samsungst6500,5x,,25x,CCD Sensor,CCD Sensor,,,
3806,5f3ba61f3fd5b671b2200c62,www.pricedekho.com,sony,dsch100,sonydsch100,,,,Super HAD CCD Sensor,Super HAD CCD Sensor,,,
3807,5f3ba61f3fd5b671b2200c67,www.pricedekho.com,nikon,s5200,nikoncoolpixs5200,4x,,6x,CMOS Sensor,CMOS Sensor,146 gms,,
3808,5f3ba61f3fd5b671b2200c79,www.pricedekho.com,casio,zs12,casioexilimexzs12,4x,5.0,5x,,,,,
3809,5f3ba61f3fd5b671b2200c81,www.pricedekho.com,nikon,d200,nikond200,,,,,,,Weight\n830 gms,ViewFinder\nOptical (Through-The-Lens)
3810,5f3ba61f3fd5b671b2200c85,www.pricedekho.com,nikon,p340,nikoncoolpixp340,,,,,,,Dimensions\n4.06 x 2.28 x 1.26 Inches\nWeight\n194 gms,Display Type\nTFT LCD Touchscreen\nScreen Size\n3 Inches\nImage Display Resolution\n921000 dots
3811,5f3ba61f3fd5b671b2200c91,www.pricedekho.com,samsung,sh100,samsungsh100,1x - 5x (Play Mode\: 1x-14.4x),,5x,CCD Sensor,CCD Sensor,,,
3812,5f3ba61f3fd5b671b2200c92,www.pricedekho.com,canon,a3200,canonpowershota3200,4x,5.0,5x,CCD Sensor,CCD Sensor,,,
3813,5f3ba61f3fd5b671b2200c9b,www.pricedekho.com,canon,550d,canoneos550d,,,,,,,Weight\n475 gms,Screen Size\n3 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)\nViewFinder\nPentamirror
3814,5f3ba61f3fd5b671b2200cb6,www.pricedekho.com,sony,qx10,sonycybershotqx10,,,,,,,Weight\n105 gms,Screen Size\n3 Inches
3815,5f3ba61f3fd5b671b2200cce,www.pricedekho.com,sony,dscwx150,sonycybershotdscwx150,40x,10.0,10x,Exmor R CMOS Sensor,Exmor R CMOS Sensor,,,
3816,5f3ba61f3fd5b671b2200cf1,www.pricedekho.com,fujifilm,jx500,fujifilmfinepixjx500,6.7x,,5x,CCD Sensor,CCD Sensor,,,
3817,5f3ba61f3fd5b671b2200cf4,www.pricedekho.com,samsung,nx1000,samsungnx1000,,,,,,,Weight\n222 gms,Display Type\nTFT LCD\nScreen Size\n3 Inches\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)
3818,5f3ba61f3fd5b671b2200cfb,www.pricedekho.com,canon,ixus,canonixusdigital,,,,,,,,Screen Size\n2.7 Inches
3819,5f3ba61f3fd5b671b2200d02,www.pricedekho.com,sony,dscw730,sonycybershotdscw730,,,,,,,Weight\n122 gms,Screen Size\n2.7 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)
5546,5f3ba61f3fd5b671b2200bb4,www.pricedekho.com,fujifilm,s6800,fujifilmfinepixs6800,Approx. 2x (Up to Approx. 52x),26.0,26x,,,"Approx. 523 gms (with Battery & Memory Card)\, Approx.430 gms (without Battery & Memory Card)",,
5547,5f3ba61f3fd5b671b2200bbd,www.pricedekho.com,panasonic,dmcfh1,panasoniclumixdmcfh1,4x,,5x,CCD Sensor,CCD Sensor,,,
5548,5f3ba61f3fd5b671b2200bc9,www.pricedekho.com,nikon,s3500,nikoncoolpixs3500,4x,,7x,CCD Sensor,CCD Sensor,129 gms,,
5549,5f3ba61f3fd5b671b2200bd2,www.pricedekho.com,nikon,s02,nikoncoolpixs02,4x,,3x,CMOS Sensor,CMOS Sensor,100 gms,,
5550,5f3ba61f3fd5b671b2200be1,www.pricedekho.com,nikon,s2600,nikoncoolpixs2600,4x,,5x,CCD Sensor,CCD Sensor,121 gms,,
5551,5f3ba61f3fd5b671b2200c07,www.pricedekho.com,samsung,pl100,samsungpl100,,,,,,,Weight\n111 gms,Screen Size\n1.5 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n640 x 480 pixels (VGA) @ 30/15fps
5552,5f3ba61f3fd5b671b2200c09,www.pricedekho.com,samsung,wb650,samsungwb650,,,,CCD Sensor,CCD Sensor,,,
5553,5f3ba61f3fd5b671b2200c1e,www.pricedekho.com,fujifilm,x20,fujifilmfinepixx20,2x,4.0,4x,,,,,
5554,5f3ba61f3fd5b671b2200c26,www.pricedekho.com,samsung,st30,samsungst30,3.0,,,CCD Sensor,CCD Sensor,,,
5555,5f3ba61f3fd5b671b2200c36,www.pricedekho.com,olympus,e5,olympuse5,,,,,,,,
5556,5f3ba61f3fd5b671b2200c38,www.pricedekho.com,nikon,d5100,nikond5100,,,,CMOS Sensor,CMOS Sensor,509 gms,,
5557,5f3ba61f3fd5b671b2200c3f,www.pricedekho.com,samsung,es80,samsunges80,,,,,,,Weight\n124.8 gms,Screen Size\n2.4 Inches
5558,5f3ba61f3fd5b671b2200c4d,www.pricedekho.com,fujifilm,s4200,fujifilmfinepixs4200,,,,,,,,
5559,5f3ba61f3fd5b671b2200c50,www.pricedekho.com,sony,a7r,sonya7r,,,,,,,Weight\n407 gms,Screen Size\n3 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps
5560,5f3ba61f3fd5b671b2200c52,www.pricedekho.com,sony,qx100,sonycybershotqx100,,,,,,,,
5561,5f3ba61f3fd5b671b2200c57,www.pricedekho.com,panasonic,dmctz30,panasoniclumixdmctz30,,,,,,,Dimensions\n4.13 x 2.32 x 1.11 Inches\nWeight\n184 gms,"Display Type\nTFT LCD Touchscreen\nScreen Size\n3 Inches\nImage Display Resolution\n460000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 50 fps\nSupported Aspect Ratio\n16\:9\, 3\:2\, 4\:3\, 1\:1"
5562,5f3ba61f3fd5b671b2200c58,www.pricedekho.com,panasonic,dmcs2,panasoniclumixdmcs2,4x,,4x,CCD Sensor,CCD Sensor,,,
5563,5f3ba61f3fd5b671b2200c71,www.pricedekho.com,canon,a2300,canonpowershota2300,,,,,,,Dimensions\n108.7 x 62.3 x 30.6 mm\nWeight\n109 gms,Display Type\nTFT\nScreen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD) @ 25 fps\nSupported Aspect Ratio\n04\:03\nAdditional Display Features\nWide Viewing Angle
5564,5f3ba61f3fd5b671b2200c8b,www.pricedekho.com,samsung,wb100,samsungwb100,"2.0x (Intelligent Zoom)\, 1.0x - 14.4x (Play Mode Zoom)",26.0,26x,CCD Sensor,CCD Sensor,,,
5565,5f3ba61f3fd5b671b2200c98,www.pricedekho.com,nikon,d7100,nikond7100,,,,,,,Weight\n136 gms,Screen Size\n3.2 Inches\nViewFinder\nEye-level Pentaprism Single-Lens Reflex View Finder
5566,5f3ba61f3fd5b671b2200ca8,www.pricedekho.com,canon,7d,canoneos7d,,,,,,,Dimensions\n148.2 x 110.7 x 73.5 mm\nWeight\n820 gms,Display Type\nLiquid Crystal TFT\nScreen Size\n3 Inches\nImage Display Resolution\n920000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)\nViewFinder\nEye-level Pentamirror
5567,5f3ba61f3fd5b671b2200cab,www.pricedekho.com,benq,c1035,benqc1035,,,,,,,,Screen Size\n2.7 Inches
5568,5f3ba61f3fd5b671b2200caf,www.pricedekho.com,nikon,d300s,nikond300s,,,,,,,Weight\n840 gms,"Screen Size\n3.0\nImage Display Resolution\n921000 dots\nVideo Display Resolution\n1280 x 720 pixels (HD)\nViewFinder\nFixed Eye-level Pentaprism\, Built-in diopter adjustment (-2 to +1 m)"
5569,5f3ba61f3fd5b671b2200cb4,www.pricedekho.com,panasonic,dmcfp5,panasoniclumixdmcfp5,4x,,4x,CCD Sensor,CCD Sensor,141 gms,,
5570,5f3ba61f3fd5b671b2200cbb,www.pricedekho.com,nikon,s6200,nikoncoolpixs6200,4x,10.0,10x,CCD Sensor,CCD Sensor,,,
5571,5f3ba61f3fd5b671b2200cbe,www.pricedekho.com,samsung,wb30f,samsungsmartwb30f,,,,CCD Sensor,CCD Sensor,131 gms,,
5572,5f3ba61f3fd5b671b2200cc6,www.pricedekho.com,nikon,d5200,nikond5200,,,,CMOS Sensor,CMOS Sensor,555 gms,,
5573,5f3ba61f3fd5b671b2200cd1,www.pricedekho.com,canon,a4000,canonpowershota4000,4x,,8x,CCD Sensor,CCD Sensor,130 gms,,
5574,5f3ba61f3fd5b671b2200cd3,www.pricedekho.com,nikon,aw120,nikoncoolpixaw120,,,,,,,Dimensions\n4.33 x 2.6 x 1.02 Inches\nWeight\n213 gms,Display Type\nOLED with Anti-reflection Coating\nScreen Size\n3 Inches
5575,5f3ba61f3fd5b671b2200cde,www.pricedekho.com,sony,a290,sonyalphaa290,,,,,,,Weight\n452 gms,Screen Size\n2.7 Inches
5576,5f3ba61f3fd5b671b2200cdf,www.pricedekho.com,samsung,wb350f,samsungwb350f,21x,,4x,,,,,
5577,5f3ba61f3fd5b671b2200ceb,www.pricedekho.com,olympus,sz14,olympussz14,4x,,24x,CCD Sensor,CCD Sensor,,,
5578,5f3ba61f3fd5b671b2200cec,www.pricedekho.com,samsung,wb350f,samsungwb350f,21x,,4x,,,,,
5579,5f3ba61f3fd5b671b2200d11,www.pricedekho.com,sony,dscwx50,sonycybershotdscwx50,,,,,,,Dimensions\n148.2 x 110.7 x 73.5 mm\nWeight\n101 gms,"Display Type\nClear Photo TFT LCD\nScreen Size\n2.7 Inches\nImage Display Resolution\n460800 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD)\nSupported Aspect Ratio\n16\:9\, 4\:3"
5580,5f3ba61f3fd5b671b2200d1d,www.pricedekho.com,nikon,d4s,nikond4s,,,,CMOS Sensor,CMOS Sensor,,,
5581,5f3ba61f3fd5b671b2200d20,www.pricedekho.com,fujifilm,s8500,fujifilmfinepixs8500,,,,CMOS Sensor,CMOS Sensor,,,
