key,row_key,key,source,famer_brand_list,famer_model_list,famer_model_no_list,famer_keys,famer_product_name,famer_weight,famer_optical_zoom,famer_digital_zoom,famer_height,famer_width,famer_megapixels,famer_sensor,famer_mpn_list,famer_ean_list,model_no_list
5f3ba61e3fd5b671b220085f,14,5f3ba61e3fd5b671b220085f,www.buzzillions.com,olympus,stylus1010,1010,oly1010,olympusstylus1010226280stylus1010xxolystylus1010,,77.0,55.0,,,10.0,,"""148900 blue""\,""73411 black""\,""xxolystylus1010""\,""226280""","""xxolystylus1010""\,""226280""",/
5f3ba61e3fd5b671b2200866,15,5f3ba61e3fd5b671b2200866,www.buzzillions.com,kodak,m583,583,kod583,kodakcameram583,,8.0,5.0,,,14.0,CCD,m583blue,,/
5f3ba61e3fd5b671b2200871,16,5f3ba61e3fd5b671b2200871,www.buzzillions.com,vivitar,"vivicam5024\,v5024s",5024,viv5024,vivitarvivicam5024vivicam5024v5024s,,,8.0,,,,,,,/
5f3ba61e3fd5b671b2200873,17,5f3ba61e3fd5b671b2200873,www.buzzillions.com,sony,a77,77,son77,sonyalphaa77,,,,,,24.0,CMOS,,,/
5f3ba61e3fd5b671b220087e,18,5f3ba61e3fd5b671b220087e,www.buzzillions.com,canon,elph310,310,can310,canonpowershotelph310canps310hselph310,,88.0,4.0,,,12.1,CMOS,"233064 black\,canps310hs",canps310hs,/
5f3ba61e3fd5b671b2200887,19,5f3ba61e3fd5b671b2200887,www.buzzillions.com,samsung,wb210,210,sam210,samsungwb210wb210wb210,,1212.0,5.0,,,14.0,,,,/
5f3ba61e3fd5b671b2200889,20,5f3ba61e3fd5b671b2200889,www.buzzillions.com,sony,t99,99,son99,sonycybershotdigitalcamerat99,,4.0,,,,14.0,,,,/
5f3ba61e3fd5b671b2200896,21,5f3ba61e3fd5b671b2200896,www.buzzillions.com,olympus,olystylus9000,9000,oly9000,olympusstylusdigitalolystylus9000olystylus9000,,1010.0,5.0,,,12.0,,"166989 black\,olystylus9000",olystylus9000,/
5f3ba61e3fd5b671b22008a0,22,5f3ba61e3fd5b671b22008a0,www.buzzillions.com,fujifilm,s2550,2550,fuj2550,fujifilmfinepixs2550fujifinepixs2550,,1818.0,,,,12.0,,"183357\,fujifinepixs2550",fujifinepixs2550,/
5f3ba61e3fd5b671b22008b8,23,5f3ba61e3fd5b671b22008b8,www.buzzillions.com,canon,elph100,100,can100,canonpowershotelph100013803132007575302bndlcanps100hscanps100hskitelph100,,44.0,44.0,,,12.1,,"""208309 blue""\,""208310 blue""\,""215218 silver""\,""218094""\,""013803132007""\,""575302bndl""\,""canps100hs""\,""canps100hskit""\,pse100hsblutru","""013803132007""\,""575302bndl""\,""canps100hs""\,""canps100hskit""",/
5f3ba61e3fd5b671b22008da,24,5f3ba61e3fd5b671b22008da,www.buzzillions.com,olympus,sp560,560,oly560,olympussp560,,18.0,5.6,,,8.0,,,,/
5f3ba61e3fd5b671b22008e3,25,5f3ba61e3fd5b671b22008e3,www.buzzillions.com,olympus,sp800uz,800,oly800,olympussp800uz227665sp800uzsp800uz,,30.0,5.0,,,14.0,,"180108\,227665",227665,/
5f3ba61e3fd5b671b22008e6,26,5f3ba61e3fd5b671b22008e6,www.buzzillions.com,canon,n,,can,canonpowershotn,,8.0,,,,12.0,CMOS,,,/
5f3ba61e3fd5b671b22008e8,27,5f3ba61e3fd5b671b22008e8,www.buzzillions.com,olympus,stylus5010,5010,oly5010,olympusstylus5010olympusstylus5010stylus5010stylus5010,,5.0,5.0,,,14.0,,"183365 blue\,olympusstylus5010",olympusstylus5010,/
5f3ba61e3fd5b671b22008f2,28,5f3ba61e3fd5b671b22008f2,www.buzzillions.com,canon,canpssd850is,850,can850,canonpowershotelphcanpssd850iscanpssd850is,,444.0,444.0,,,8.0,,"62253\,canpssd850is",canpssd850is,/
5f3ba61e3fd5b671b22008f6,29,5f3ba61e3fd5b671b22008f6,www.buzzillions.com,nikon,"s230\,reflector21",230,nik230,nikoncoolpixs230nkns230s230reflector21,,33.0,4.0,,,,,"154841 black\,nkns230",nkns230,/
5f3ba61e3fd5b671b22008f7,30,5f3ba61e3fd5b671b22008f7,www.buzzillions.com,panasonic,dmcgx7,7,pan7,panasoniclumixdmcgx7,,,,,,16.0,,,,/
5f3ba61e3fd5b671b220090c,31,5f3ba61e3fd5b671b220090c,www.buzzillions.com,sony,slta55,55,son55,sonyalphaslta55,,,,,,16.0,,,,/
5f3ba61e3fd5b671b2200911,32,5f3ba61e3fd5b671b2200911,www.buzzillions.com,samsung,st65,65,sam65,samsungst65st65st65,,5.0,,,,14.0,CCD,,,/
5f3ba61e3fd5b671b220091c,33,5f3ba61e3fd5b671b220091c,www.buzzillions.com,kodak,z712,712,kod712,kodakeasysharez7121699511z712z712,,12.0,4.2,,,7.1,,"106536 black\,1699511",1699511,/
5f3ba61e3fd5b671b220091f,34,5f3ba61e3fd5b671b220091f,www.buzzillions.com,olympus,stylus7040,7040,oly7040,olympusstylus7040stylus7040stylus7040,,7.0,5.0,,,14.0,,,,/
5f3ba61e3fd5b671b2200923,35,5f3ba61e3fd5b671b2200923,www.buzzillions.com,panasonic,dmczs20,20,pan20,panasoniclumixdmczs20,,20.0,,,,14.0,CMOS,,,/
5f3ba61e3fd5b671b2200942,36,5f3ba61e3fd5b671b2200942,www.buzzillions.com,panasonic,dmcfp1s,1,pan1,panasoniclumixdmcfp1sdmcfp1sdmcfp1s,0.31,4.0,4.0,,,12.0,,,,/
5f3ba61e3fd5b671b2200943,37,5f3ba61e3fd5b671b2200943,www.buzzillions.com,fujifilm,f850exr,850,fuj850,fujifilmfinepixf850exr,,20.0,2.0,,,16.0,CMOS,fpf850exrblk,,/
5f3ba61e3fd5b671b220094e,38,5f3ba61e3fd5b671b220094e,www.buzzillions.com,sony,dschx200v,200,son200,sonycybershotdschx200v,,30.0,,,,18.0,CMOS,,,/
5f3ba61f3fd5b671b2200958,39,5f3ba61f3fd5b671b2200958,www.buzzillions.com,fujifilm,f500exr,500,fuj500,fujifilmfinepixf500exrf500exrf500exr,,15.0,5.0,,,,,,,/
5f3ba61f3fd5b671b220095a,40,5f3ba61f3fd5b671b220095a,www.buzzillions.com,polaroid,is326,326,pol326,polaroidis326is326whrd,,,,,,16.0,,"289315 white\,is326whrd",is326whrd,/
5f3ba61f3fd5b671b2200965,41,5f3ba61f3fd5b671b2200965,www.buzzillions.com,fujifilm,,,fuj,fujifilmcamera15841174,,1515.0,,,,10.0,,"148789 black\,15841174",15841174,/
5f3ba61f3fd5b671b220097a,42,5f3ba61f3fd5b671b220097a,www.buzzillions.com,fujifilm,t350,350,fuj350,fujifilmfinepixt350074101012651,,10.0,6.7,,,14.0,CCD,"244223\,074101012651",074101012651,/
5f3ba61f3fd5b671b2200987,43,5f3ba61f3fd5b671b2200987,www.buzzillions.com,kodak,c143,143,kod143,kodakc143c143c143,,3.0,5.0,,,12.0,,,,/
5f3ba61f3fd5b671b22009a6,44,5f3ba61f3fd5b671b22009a6,www.buzzillions.com,casio,exz35,35,cas35,casioexilimexz35exz35bk,,3.0,4.0,,,12.1,,"196151\,exz35bk",exz35bk,/
5f3ba61f3fd5b671b22009a7,45,5f3ba61f3fd5b671b22009a7,www.buzzillions.com,panasonic,dmcg2k,2,pan2,panasoniclumixdmcg2k,,3.0,,,,12.1,,,,/
5f3ba61f3fd5b671b22009aa,46,5f3ba61f3fd5b671b22009aa,www.buzzillions.com,ge,g1,1,ge1,geapplianceg1,,3.0,4.5,,,7.0,,"60667 black\,g1",g1,/
5f3ba61f3fd5b671b22009b0,47,5f3ba61f3fd5b671b22009b0,www.buzzillions.com,casio,extr100,100,cas100,casioextr100,,2.0,4.04,,,12.0,,,,/
5f3ba61f3fd5b671b22009d2,48,5f3ba61f3fd5b671b22009d2,www.buzzillions.com,canon,t5i,5,can5,canoneosrebelt5i,,37.0,,,,18.0,CMOS,,,/
5f3ba61f3fd5b671b22009d7,49,5f3ba61f3fd5b671b22009d7,www.buzzillions.com,canon,a2500,2500,can2500,canonpowershota2500013803216714a2500a2500,,5.0,,,,16.0,CCD,"280877\,013803216714",013803216714,/
5f3ba61f3fd5b671b22009df,50,5f3ba61f3fd5b671b22009df,www.buzzillions.com,sigma,dp2s,2,sig2,sigmadp2s,,,,,,14.0,,,,/
5f3ba61f3fd5b671b22009f9,51,5f3ba61f3fd5b671b22009f9,www.buzzillions.com,panasonic,dmczs30,30,pan30,panasoniclumixdmczs30,,20.0,,,,18.0,CMOS,,,/
5f3ba61f3fd5b671b22009fd,52,5f3ba61f3fd5b671b22009fd,www.buzzillions.com,sigma,dp1x,1,sig1,sigmadp1x,,,,,,14.0,CMOS,,,/
5f3ba61f3fd5b671b2200a00,53,5f3ba61f3fd5b671b2200a00,www.buzzillions.com,sony,nexc3,3,son3,sonyalphanexc3,,,,,,16.0,CMOS,,,/
5f3ba61f3fd5b671b2200a01,54,5f3ba61f3fd5b671b2200a01,www.buzzillions.com,sony,dsctx66,66,son66,sonycybershotdsctx66,,5.0,,,,18.0,CMOS,,,/
5f3ba61f3fd5b671b2200a0b,55,5f3ba61f3fd5b671b2200a0b,www.buzzillions.com,olympus,sz30mr,30,oly30,olympussz30mr,,2424.0,44.0,,,16.0,CMOS,,,/
5f3ba61f3fd5b671b2200a16,56,5f3ba61f3fd5b671b2200a16,www.buzzillions.com,olympus,"tough8010\,tough3000",8010,oly8010,olympusstylustough8010227655olympusstylustough8010tough8010tough3000,,55.0,55.0,,,14.0,,"""183363 silver""\,""211971 black""\,""227655""\,""olympusstylustough8010""\,""227660""","""227655""\,""olympusstylustough8010""",/
5f3ba61f3fd5b671b2200a1f,57,5f3ba61f3fd5b671b2200a1f,www.buzzillions.com,canon,g15,15,can15,canonpowershotg15,,5.0,,,,12.0,CMOS,,,/
5f3ba61f3fd5b671b2200a21,58,5f3ba61f3fd5b671b2200a21,www.buzzillions.com,sony,slta99v,99,son99,sonyslta99v,,,,,,24.0,CMOS,,,/
5f3ba61f3fd5b671b2200a2a,59,5f3ba61f3fd5b671b2200a2a,www.buzzillions.com,fujifilm,hs30exr,30,fuj30,fujifilm16229347finepixhs30exr,,30.0,,,,16.0,CMOS,,,/
5f3ba61f3fd5b671b2200a31,60,5f3ba61f3fd5b671b2200a31,www.buzzillions.com,kodak,uni20560dd,20560,kod20560,kodakedtvwidescreenuni20560dduni20560dd,,4.0,5.0,,,14.0,CCD,"78101\,uni20560dd\,m522red",uni20560dd,/
5f3ba61f3fd5b671b2200a4f,61,5f3ba61f3fd5b671b2200a4f,www.buzzillions.com,ge,a735,735,ge735,geappliancea735,,3.0,4.5,,,,,"133430 silver\,a735",a735,/
5f3ba61f3fd5b671b2200a59,62,5f3ba61f3fd5b671b2200a59,www.buzzillions.com,kodak,c190,190,kod190,kodakeasysharec190c190c190,,5.0,5.0,,,12.0,,"173003\,c190\,c190red",c190,/
5f3ba61f3fd5b671b2200a63,63,5f3ba61f3fd5b671b2200a63,www.buzzillions.com,nikon,l22,22,nik22,nikoncoolpixl22nknl22,,,44.0,,,,,"173748 red\,nknl22",nknl22,/
5f3ba61f3fd5b671b2200a69,64,5f3ba61f3fd5b671b2200a69,www.buzzillions.com,olympus,epl2,2,oly2,olympuspenepl2,,4.0,,,,12.3,,,,/
5f3ba61f3fd5b671b2200a72,65,5f3ba61f3fd5b671b2200a72,www.buzzillions.com,fisherprice,r1901,1901,fis1901,fisherpricesesamestreetr1901r1901,,,,,,,,"191974\,r1901",r1901,/
5f3ba61f3fd5b671b2200a82,66,5f3ba61f3fd5b671b2200a82,www.buzzillions.com,samsung,tl210,210,sam210,samsungtl210ectl210zbprustl210tl210,,5.0,4.0,,,12.3,,"180114\,ectl210zbprus",ectl210zbprus,/
5f3ba61f3fd5b671b2200a91,67,5f3ba61f3fd5b671b2200a91,www.buzzillions.com,nikon,s610,610,nik610,nikoncoolpixs61026125bgr,,44.0,4.0,,,10.0,,"148895 black\,26125bgr",26125bgr,/
5f3ba61f3fd5b671b2200a9c,68,5f3ba61f3fd5b671b2200a9c,www.buzzillions.com,canon,a800,800,can800,canonpowershota800canpsa800,,,4.0,,,10.0,,"208321 black\,canpsa800",canpsa800,/
5f3ba61f3fd5b671b2200ab0,69,5f3ba61f3fd5b671b2200ab0,www.buzzillions.com,olympus,stylus5010,5010,oly5010,olympusstylus5010olympusstylus5010stylus5010stylus5010,,5.0,5.0,,,14.0,,"183365 blue\,olympusstylus5010",olympusstylus5010,/
5f3ba61f3fd5b671b2200ac6,70,5f3ba61f3fd5b671b2200ac6,www.buzzillions.com,nikon,s6200,6200,nik6200,nikoncoolpixs6200,,1010.0,44.0,,,16.0,CCD,,,/
5f3ba61f3fd5b671b2200b0a,71,5f3ba61f3fd5b671b2200b0a,www.buzzillions.com,sony,dscwx5,5,son5,sonycybershotdscwx5,,55.0,,,,12.1,,,,/
5f3ba61f3fd5b671b2200b0b,72,5f3ba61f3fd5b671b2200b0b,www.buzzillions.com,olympus,vg120,120,oly120,olympusvg120228180vg120vg120,,5.0,,,,14.0,,"211977 black\,228180",228180,/
5f3ba61f3fd5b671b2200b1b,73,5f3ba61f3fd5b671b2200b1b,www.buzzillions.com,canon,sd940,940,can940,canonpowershotsd9403640b001sd940sd940,,44.0,44.0,,,,,"180129\,3640b001",3640b001,/
5f3ba61f3fd5b671b2200b23,74,5f3ba61f3fd5b671b2200b23,www.buzzillions.com,samsung,tl240,240,sam240,samsungtl240,,7.0,4.0,,,14.0,,,,/
5f3ba61f3fd5b671b2200b26,75,5f3ba61f3fd5b671b2200b26,www.buzzillions.com,fujifilm,x100,100,fuj100,fujifilmfinepixx100,,,,,,12.3,,,,/
5f3ba61f3fd5b671b2200b29,76,5f3ba61f3fd5b671b2200b29,www.buzzillions.com,kodak,v1073,1073,kod1073,kodakdigitalcamerav1073kdk1247576,,3.0,5.0,,,10.0,,"147331\,kdk1247576",kdk1247576,/
5f3ba61f3fd5b671b2200b2d,77,5f3ba61f3fd5b671b2200b2d,www.buzzillions.com,olympus,vr320,320,oly320,olympusvr320228125,,12.0,,,,14.0,,"211975 black\,228125\,""228135""\,""228140""\,""228130""",228125,/
5f3ba61f3fd5b671b2200b31,78,5f3ba61f3fd5b671b2200b31,www.buzzillions.com,sony,rx100,100-2,son100-2,sonycybershotdigitalcamerarx100,,3.6,,,,20.0,CMOS,,,/
5f3ba61e3fd5b671b22007ff,79,5f3ba61e3fd5b671b22007ff,www.buzzillions.com,canon,a490,490,can490,canonpowershota490a490a490,,,4.0,,,10.0,,"180143\,a490",a490,/
5f3ba61e3fd5b671b2200811,80,5f3ba61e3fd5b671b2200811,www.buzzillions.com,panasonic,dmcts5,5,pan5,panasoniclumixdmcts5885170117013qz45161718qz4519202122,,4.0,,,,16.0,"[""CCD""\,""CMOS""]","""318802 orange""\,""318801 red""\,""280892""\,""qz4519202122""\,""qz45161718""\,""885170117013""","""qz4519202122""\,""qz45161718""\,""885170117013""",/
5f3ba61e3fd5b671b2200827,81,5f3ba61e3fd5b671b2200827,www.buzzillions.com,pentax,w80,80,pen80,pentaxoptiow80027075154773ptx17731,,5.0,,,,12.0,,"""160024 gray""\,""174590 red""\,""ptx17731""\,""027075154773""","""ptx17731""\,""027075154773""",/
5f3ba61e3fd5b671b220083c,82,5f3ba61e3fd5b671b220083c,www.buzzillions.com,olympus,stylus850,850,oly850,olympusstylus850226325blolystylus850swstylus850stylus850,,33.0,55.0,,,8.0,,"""148902 black""\,""73414 blue""\,""226325bl""\,""olystylus850sw""","""226325bl""\,""olystylus850sw""",/
5f3ba61e3fd5b671b220083d,83,5f3ba61e3fd5b671b220083d,www.buzzillions.com,panasonic,pandmczs10,10,pan10,panasoniclumixdigitalpandmczs10pandmczs10,,16164.0,44.0,,,14.0,CCD,"214729\,pandmczs10black",pandmczs10black,/
5f3ba61e3fd5b671b2200845,84,5f3ba61e3fd5b671b2200845,www.buzzillions.com,sony,nex6l,6,son6,sonynex6l,,3.0,,,,16.0,,,,/
5f3ba61e3fd5b671b2200846,85,5f3ba61e3fd5b671b2200846,www.buzzillions.com,nikon,j1,1,nik1,nikon1j1,,,,,,10.0,,,,/
5f3ba61e3fd5b671b2200849,86,5f3ba61e3fd5b671b2200849,www.buzzillions.com,panasonic,dmcfh5,5,pan5,panasoniclumixdmcfh5,,4.0,4.0,,,16.0,,,,/
5f3ba61e3fd5b671b2200854,87,5f3ba61e3fd5b671b2200854,www.buzzillions.com,pentax,k7,7,pen7,pentaxk717811,,,,,,14.6,,"158715\,17811",17811,/
5f3ba61e3fd5b671b220085b,88,5f3ba61e3fd5b671b220085b,www.buzzillions.com,nikon,l120,120,nik120,nikoncoolpixl12026253l120l120,,21.0,4.0,,,14.0,,"215639 black\,26253",26253,/
5f3ba61e3fd5b671b2200865,89,5f3ba61e3fd5b671b2200865,www.buzzillions.com,sony,dslra580,580,son580,sonyalphadslra580,,,,,,16.0,,,,/
5f3ba61e3fd5b671b2200882,90,5f3ba61e3fd5b671b2200882,www.buzzillions.com,kodak,"v1253\,v2",1253,kod1253,kodakeasysharev125310766458722787v1253v2,,3.0,5.0,,,12.0,,"""106538 black""\,""106530 white""\,""1076645""\,""8722787""","""1076645""\,""8722787""",/
5f3ba61e3fd5b671b220089d,91,5f3ba61e3fd5b671b220089d,www.buzzillions.com,panasonic,"dmcfx37k\,dmcfx37",37,pan37,panasonicdmcfx37kdmcfx37kdmcfx37,,5.0,4.0,,,,,,,/
5f3ba61e3fd5b671b220089f,92,5f3ba61e3fd5b671b220089f,www.buzzillions.com,pentax,with18,18,pen18,pentax1630316301ptxwith18,,3.0,,,,12.4,,"166264 black\,16301ptx",16301ptx,/
5f3ba61e3fd5b671b22008ac,93,5f3ba61e3fd5b671b22008ac,www.buzzillions.com,casio,exz16,16,cas16,casioexilimexz16exz16bk,,33.0,44.0,,,12.0,,"207227\,exz16bk",exz16bk,/
5f3ba61e3fd5b671b22008ad,94,5f3ba61e3fd5b671b22008ad,www.buzzillions.com,kodak,z990,990,kod990,kodakeasysharemaxz990,,30.0,54.0,,,12.0,,,,/
5f3ba61e3fd5b671b22008b6,95,5f3ba61e3fd5b671b22008b6,www.buzzillions.com,olympus,e620,620,oly620,olympuse620olyevolt620ii,,,,,,12.3,,"156303\,olyevolt620ii",olyevolt620ii,/
5f3ba61e3fd5b671b22008be,96,5f3ba61e3fd5b671b22008be,www.buzzillions.com,fujifilm,"f80exr\,casioexg1",80,fuj80,fujifilmfinepixf80exrf80exrcasioexg1,,1010.0,44.0,,,12.0,,,,/
5f3ba61e3fd5b671b22008c7,97,5f3ba61e3fd5b671b22008c7,www.buzzillions.com,nikon,s3000,3000,nik3000,nikoncoolpixs3000nkns3000,,4.0,4.0,,,12.0,,"173749 plum\,nkns3000",nkns3000,/
5f3ba61e3fd5b671b22008fa,98,5f3ba61e3fd5b671b22008fa,www.buzzillions.com,panasonic,lumix,,pan,panasoniclumixdigital885170150737,,,,,,16.0,,"327223\,885170150737",885170150737,/
5f3ba61e3fd5b671b2200901,99,5f3ba61e3fd5b671b2200901,www.buzzillions.com,pentax,wg1,1,pen1,pentaxoptiowg1,,5.0,6.7,,,14.0,CCD,"""16896""\,""16911""",,/
5f3ba61e3fd5b671b2200915,100,5f3ba61e3fd5b671b2200915,www.buzzillions.com,panasonic,dmcfs15,15,pan15,panasonicdmcfs15,,55.0,44.0,,,1412.0,,,,/
5f3ba61e3fd5b671b2200932,101,5f3ba61e3fd5b671b2200932,www.buzzillions.com,pentax,z10,10,pen10,pentaxpentaxoptioz10ptxz10z10z10,,77.0,,,,,,"158834\,ptxz10",ptxz10,/
5f3ba61e3fd5b671b2200933,102,5f3ba61e3fd5b671b2200933,www.buzzillions.com,sony,a850,850,son850,sonyalphadslra850,,,,,,24.0,,,,/
5f3ba61e3fd5b671b2200940,103,5f3ba61e3fd5b671b2200940,www.buzzillions.com,kodak,m340,340,kod340,kodakeasysharem340kodakm340,,53.0,5.0,,,10.2,,"168716 silver\,kodakm340\,m340red",kodakm340,/
5f3ba61f3fd5b671b2200969,104,5f3ba61f3fd5b671b2200969,www.buzzillions.com,canon,t4i,4,can4,canoneosrebelt4icant4i1855,,3.0,,,,18.0,CMOS,"253343 black\,cant4i1855",cant4i1855,/
5f3ba61f3fd5b671b2200974,105,5f3ba61f3fd5b671b2200974,www.buzzillions.com,canon,"8160b001\,under200",8160,can8160,canon8160b0010138031568810138032070958160b001under200,,530.0,,,,16.0,CCD,"""289020""\,""280876""\,""013803207095""\,""013803156881""","""013803207095""\,""013803156881""",/
5f3ba61f3fd5b671b220097b,106,5f3ba61f3fd5b671b220097b,www.buzzillions.com,sony,slta58,58,son58,sonyalphadslrslta58,,3.0,,,,20.0,CMOS,,,/
5f3ba61f3fd5b671b220097d,107,5f3ba61f3fd5b671b220097d,www.buzzillions.com,samsung,mv800,800,sam800,samsungmv800,,5.0,,,,16.0,CCD,,,/
5f3ba61f3fd5b671b2200984,108,5f3ba61f3fd5b671b2200984,www.buzzillions.com,canon,"sd1300is\,sd1300",1300,can1300,canonpowershotsd1300is013803119534canpssd1300issd1300issd1300,,44.0,44.0,,,12.1,,"""175000 blue""\,""202242 silver""\,""212917 blue""\,""013803119534""\,""canpssd1300is""","""013803119534""\,""canpssd1300is""",/
5f3ba61f3fd5b671b2200988,109,5f3ba61f3fd5b671b2200988,www.buzzillions.com,sony,dsctx9,9,son9,sonycybershotdsctx9,,4124.0,42.0,,,12.1,,,,/
5f3ba61f3fd5b671b2200989,110,5f3ba61f3fd5b671b2200989,www.buzzillions.com,samsung,tl110,110,sam110,samsungtl110tl110tl110,,5.0,5.0,,,14.0,,,,/
5f3ba61f3fd5b671b2200997,111,5f3ba61f3fd5b671b2200997,www.buzzillions.com,nikon,d7100,7100,nik7100,nikond7100,,,,,,24.0,,,,/
5f3ba61f3fd5b671b2200998,112,5f3ba61f3fd5b671b2200998,www.buzzillions.com,fox,fox2005763dd,2005763,fox2005763,foxonefinefox2005763ddfox2005763dd,,4.0,,,,12.1,,"114739\,fox2005763dd",fox2005763dd,/
5f3ba61f3fd5b671b220099f,113,5f3ba61f3fd5b671b220099f,www.buzzillions.com,panasonic,16,16,pan16,panasoniclumixdigitalcamera16camera16,,8.0,4.0,,,,,,,/
5f3ba61f3fd5b671b22009a1,114,5f3ba61f3fd5b671b22009a1,www.buzzillions.com,nikon,l22,22,nik22,nikoncoolpixl22nknl22,,,44.0,,,,,"173748 red\,nknl22",nknl22,/
5f3ba61f3fd5b671b22009b8,115,5f3ba61f3fd5b671b22009b8,www.buzzillions.com,sony,nex3nl,3,son3,sonyalphanex3nl,,3.0,,,,16.0,CMOS,,,/
5f3ba61f3fd5b671b22009b9,116,5f3ba61f3fd5b671b22009b9,www.buzzillions.com,panasonic,pandmczs10,10,pan10,panasoniclumixdigitalpandmczs10pandmczs10,,41616.0,44.0,,,14.0,CCD,"214729\,pandmczs10black",pandmczs10black,/
5f3ba61f3fd5b671b22009bb,117,5f3ba61f3fd5b671b22009bb,www.buzzillions.com,nikon,"l20\,s230",20,nik20,nikoncoolpixl20l20s230nknl20,,,4.0,,,10.0,,"154839\,nknl20red",nknl20red,/
5f3ba61f3fd5b671b22009bf,118,5f3ba61f3fd5b671b22009bf,www.buzzillions.com,panasonic,pandmczs10,10,pan10,panasoniclumixdigitalpandmczs10pandmczs10,,41616.0,44.0,,,14.0,CCD,"214729\,pandmczs10black",pandmczs10black,/
5f3ba61f3fd5b671b22009ca,119,5f3ba61f3fd5b671b22009ca,www.buzzillions.com,nikon,s80,80,nik80,nikoncoolpixs80,,55.0,44.0,,,14.0,,,,/
5f3ba61f3fd5b671b22009d3,120,5f3ba61f3fd5b671b22009d3,www.buzzillions.com,nikon,s630,630,nik630,nikoncoolpixs630nkns630,,777.0,74.0,,,,,"""166978 silver""\,""154843 black""\,nkns630",nkns630,/
5f3ba61f3fd5b671b22009d6,121,5f3ba61f3fd5b671b22009d6,www.buzzillions.com,sony,tx9,9,son9,sonytx9,,44.0,2.0,,,10.2,,,,/
5f3ba61f3fd5b671b22009de,122,5f3ba61f3fd5b671b22009de,www.buzzillions.com,sony,dscw510,510,son510,sonycybershotdscw510,,4.0,,,,12.1,,,,/
5f3ba61f3fd5b671b22009e0,123,5f3ba61f3fd5b671b22009e0,www.buzzillions.com,fujifilm,xp50,50,fuj50,fujifilmfinepixxp50074101014853074101014860,,5.0,,,,14.0,CMOS,"""250794""\,""250524""\,""074101014853""\,""074101014860""","""074101014853""\,""074101014860""",/
