,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
2112,5f3ba61f3fd5b671b22011a9,21,www.canon-europe.com,a400,400,/,/,canonpowershota400,3.2,2.2,0.0,0.0,,/,canon
3893,5f3ba61f3fd5b671b220110d,22,www.canon-europe.com,sx130,130,/,/,canonpowershotsx130,4,12,11.33,7.32,308,/,canon
3894,5f3ba61f3fd5b671b2201111,23,www.canon-europe.com,s50,50,/,/,canonpowershots50,4.1,3,11.2,5.8,260,/,canon
3895,5f3ba61f3fd5b671b2201114,24,www.canon-europe.com,ixus70,70,/,/,canondigitalixus70,4,3,0.0,0.0,,/,canon
3896,5f3ba61f3fd5b671b220111e,25,www.canon-europe.com,s45,45,/,/,canonpowershots45,3.6,3,11.2,5.8,260,/,canon
3897,5f3ba61f3fd5b671b2201126,26,www.canon-europe.com,a490,490,/,/,canonpowershota490,4,3.3,9.35,6.17,175,/,canon
3898,5f3ba61f3fd5b671b220112b,27,www.canon-europe.com,ixus500,500,/,/,canondigitalixus500,4.1,3,8.7,5.7,185,/,canon
3899,5f3ba61f3fd5b671b2201142,28,www.canon-europe.com,g12,12,/,/,canonpowershotg12,4,5,11.209999999999999,7.62,401,/,canon
3900,5f3ba61f3fd5b671b220115a,29,www.canon-europe.com,ixus50,50,/,/,canondigitalixus50,4.0,3,0.0,0.0,,/,canon
3901,5f3ba61f3fd5b671b2201169,30,www.canon-europe.com,ixus115,115,/,/,canonixus115,4,4,9.309999999999999,5.58,140,/,canon
3902,5f3ba61f3fd5b671b220116d,31,www.canon-europe.com,a810,810,/,/,canonpowershota810,4,5,9.47,6.13,171,/,canon
3903,5f3ba61f3fd5b671b220116e,32,www.canon-europe.com,ixus65,65,/,/,canondigitalixus65,4.0,3,0.0,0.0,,/,canon
3904,5f3ba61f3fd5b671b2201172,33,www.canon-europe.com,a420,420,/,/,canonpowershota420,3.6,3.2,0.0,0.0,,/,canon
3905,5f3ba61f3fd5b671b220117d,34,www.canon-europe.com,a4000,4000,/,/,canonpowershota4000,4,8,9.53,5.63,145,/,canon
3906,5f3ba61f3fd5b671b220117e,35,www.canon-europe.com,ixus,,/,/,canondigitalixus,4.0,3.0,9.9,5.4399999999999995,130,/,canon
3907,5f3ba61f3fd5b671b2201186,36,www.canon-europe.com,ixus510,510,/,/,canonixus510,4,12,8.58,5.35,163,/,canon
3908,5f3ba61f3fd5b671b220118a,37,www.canon-europe.com,ixus30,30,/,/,canondigitalixus30,3.2,3,8.58,5.34,115,/,canon
3909,5f3ba61f3fd5b671b220118c,38,www.canon-europe.com,ixus80,80,/,/,canondigitalixus80,4,3,0.0,0.0,,/,canon
3910,5f3ba61f3fd5b671b220119c,39,www.canon-europe.com,ixus950,950,/,/,canondigitalixus950,4,4,0.0,0.0,,/,canon
3911,5f3ba61f3fd5b671b22011a0,40,www.canon-europe.com,sx240,240,/,/,canonpowershotsx240,4.0,20,10.629999999999999,6.1,224,/,canon
5638,5f3ba61f3fd5b671b2201115,41,www.canon-europe.com,sx120,120,/,/,canonpowershotsx120,4,10,0.0,0.0,,/,canon
5639,5f3ba61f3fd5b671b220111d,42,www.canon-europe.com,a430,430,/,/,canonpowershota430,3.6,4.0,0.0,0.0,,/,canon
5640,5f3ba61f3fd5b671b2201134,43,www.canon-europe.com,ixus130,130,/,/,canonixus130,4,4,9.22,5.61,133,/,canon
5641,5f3ba61f3fd5b671b2201135,44,www.canon-europe.com,a1000,1000,/,/,canonpowershota1000,4,4,9.540000000000001,6.24,155,/,canon
5642,5f3ba61f3fd5b671b2201140,45,www.canon-europe.com,ixus860,860,/,/,canondigitalixus860,4,3.8,0.0,0.0,,/,canon
5643,5f3ba61f3fd5b671b2201144,46,www.canon-europe.com,a85,85,/,/,canonpowershota85,3.6,3,0.0,0.0,,/,canon
5644,5f3ba61f3fd5b671b2201151,47,www.canon-europe.com,a80,80,/,/,canonpowershota80,3.6,3,10.309999999999999,6.459999999999999,250,/,canon
5645,5f3ba61f3fd5b671b2201155,48,www.canon-europe.com,ixus970,970,/,/,canondigitalixus970,4,5,9.540000000000001,5.720000000000001,155,/,canon
5646,5f3ba61f3fd5b671b2201159,49,www.canon-europe.com,ixus,,/,/,canondigitalixus,3.2,2,8.7,5.7,180,/,canon
5647,5f3ba61f3fd5b671b220115c,50,www.canon-europe.com,ixus800,800,/,/,canondigitalixus800,4.0,4,0.0,0.0,,/,canon
5648,5f3ba61f3fd5b671b2201168,51,www.canon-europe.com,a610,610,/,/,canonpowershota610,,4,0.0,0.0,,/,canon
5649,5f3ba61f3fd5b671b2201177,52,www.canon-europe.com,ixus980,980,/,/,canondigitalixus980,4,3.7,0.0,0.0,,/,canon
5650,5f3ba61f3fd5b671b2201187,53,www.canon-europe.com,a720,720,/,/,canonpowershota720,4,6,0.0,0.0,,/,canon
5651,5f3ba61f3fd5b671b2201188,54,www.canon-europe.com,a620,620,/,/,canonpowershota620,,4,0.0,0.0,,/,canon
5652,5f3ba61f3fd5b671b2201190,55,www.canon-europe.com,ixus310,310,/,/,canonixus310,4,4.4,10.059999999999999,5.54,185,/,canon
5653,5f3ba61f3fd5b671b2201191,56,www.canon-europe.com,a410,410,/,/,canonpowershota410,3.2,3.2,10.3,5.18,150,/,canon
5654,5f3ba61f3fd5b671b22011af,57,www.canon-europe.com,a3200,3200,/,/,canonpowershota3200,4,5,9.51,5.67,149,/,canon
7371,5f3ba61f3fd5b671b2201117,58,www.canon-europe.com,s5,5,/,/,canonpowershots5,4,12,0.0,0.0,450,/,canon
7372,5f3ba61f3fd5b671b220111a,59,www.canon-europe.com,sx150,150,/,/,canonpowershotsx150,4,12,11.33,7.32,306,/,canon
7373,5f3ba61f3fd5b671b2201124,60,www.canon-europe.com,ixus1000,1000,/,/,canonixus1000,4,10,0.0,0.0,,/,canon
7374,5f3ba61f3fd5b671b2201136,61,www.canon-europe.com,a710,710,/,/,canonpowershota710,4,6,0.0,0.0,,/,canon
7375,5f3ba61f3fd5b671b220113b,62,www.canon-europe.com,s95,95,/,/,canonpowershots95,4,3.8,9.98,5.84,193,/,canon
7376,5f3ba61f3fd5b671b220114f,63,www.canon-europe.com,a700,700,/,/,canonpowershota700,,6,0.0,0.0,,/,canon
7377,5f3ba61f3fd5b671b220115b,64,www.canon-europe.com,ixus55,55,/,/,canondigitalixus55,4.0,3,0.0,0.0,,/,canon
7378,5f3ba61f3fd5b671b220115f,65,www.canon-europe.com,ixus750,750,/,/,canondigitalixus750,4.0,3,8.95,5.7,170,/,canon
7379,5f3ba61f3fd5b671b2201170,66,www.canon-europe.com,ixus,-2,/,/,canonixus,3.2,2,8.5,5.6,165,/,canon
7380,5f3ba61f3fd5b671b220117b,67,www.canon-europe.com,sx260,260,/,/,canonpowershotsx260,4.0,20,10.629999999999999,6.1,231,/,canon
7381,5f3ba61f3fd5b671b2201184,68,www.canon-europe.com,ixus230,230,/,/,canonixus230,4,8,9.58,5.68,140,/,canon
7382,5f3ba61f3fd5b671b2201193,69,www.canon-europe.com,g11,11,/,/,canonpowershotg11,4,5,11.209999999999999,7.62,401,/,canon
7383,5f3ba61f3fd5b671b2201198,70,www.canon-europe.com,sx280,280,/,/,canonpowershotsx280,4.0,20,10.64,6.279999999999999,233,/,canon
7384,5f3ba61f3fd5b671b22011aa,71,www.canon-europe.com,sx230,230,/,/,canonpowershotsx230,4.0,14,10.57,6.16,223,/,canon
7385,5f3ba61f3fd5b671b22011ad,72,www.canon-europe.com,g15,15,/,/,canonpowershotg15,4,5,10.66,7.590000000000001,352,/,canon
9092,5f3ba61f3fd5b671b220110f,73,www.canon-europe.com,ixus210,210,/,/,canonixus210,4,5,9.93,5.57,160,/,canon
9093,5f3ba61f3fd5b671b2201113,74,www.canon-europe.com,a560,560,/,/,canonpowershota560,4,4,0.0,0.0,,/,canon
9094,5f3ba61f3fd5b671b2201129,75,www.canon-europe.com,g16,16,/,/,canonpowershotg16,4,5,10.879999999999999,7.590000000000001,356,/,canon
9095,5f3ba61f3fd5b671b220112e,76,www.canon-europe.com,ixus,-2,/,/,canonixus,3.2,2,8.5,5.6,165,/,canon
9096,5f3ba61f3fd5b671b2201132,77,www.canon-europe.com,sx20,20,/,/,canonpowershotsx20,4,20,12.4,8.83,647,/,canon
9097,5f3ba61f3fd5b671b2201153,78,www.canon-europe.com,sx30,30,/,/,canonpowershotsx30,4,35,12.290000000000001,9.24,601,/,canon
9098,5f3ba61f3fd5b671b2201160,79,www.canon-europe.com,ixus125,125,/,/,canonixus125,4,5,9.32,5.7,135,/,canon
9099,5f3ba61f3fd5b671b2201164,80,www.canon-europe.com,a570,570,/,/,canonpowershota570,4,4,0.0,0.0,,/,canon
9100,5f3ba61f3fd5b671b220116a,81,www.canon-europe.com,ixus430,430,/,/,canondigitalixus430,3.6,3,8.7,5.7,185,/,canon
9101,5f3ba61f3fd5b671b2201179,82,www.canon-europe.com,a470,470,/,/,canonpowershota470,4,3.4,0.0,0.0,,/,canon
9102,5f3ba61f3fd5b671b2201180,83,www.canon-europe.com,a3500,3500,/,/,canonpowershota3500,4,5,9.77,5.6,135,/,canon
9103,5f3ba61f3fd5b671b2201189,84,www.canon-europe.com,i7,7,/,/,canondigitalixusi7,4,2.4,9.61,4.51,105,/,canon
9104,5f3ba61f3fd5b671b2201199,85,www.canon-europe.com,a530,530,/,/,canonpowershota530,4,4,0.0,0.0,,/,canon
10870,5f3ba61f3fd5b671b220110c,86,www.canon-europe.com,g10,10,/,/,canonpowershotg10,4,5,0.0,0.0,,/,canon
10871,5f3ba61f3fd5b671b220110e,87,www.canon-europe.com,ixus90,90,/,/,canondigitalixus90,4,3,0.0,0.0,,/,canon
10872,5f3ba61f3fd5b671b220111b,88,www.canon-europe.com,s60,60,/,/,canonpowershots60,4.1,3.6,0.0,0.0,,/,canon
10873,5f3ba61f3fd5b671b220112d,89,www.canon-europe.com,a520,520,/,/,canonpowershota520,3.6,4,0.0,0.0,,/,canon
10874,5f3ba61f3fd5b671b2201138,90,www.canon-europe.com,s70,70,/,/,canonpowershots70,4.1,3.6,0.0,0.0,,/,canon
10875,5f3ba61f3fd5b671b2201146,91,www.canon-europe.com,ixus500,500,/,/,canonixus500,4,12,8.709999999999999,5.39,155,/,canon
10876,5f3ba61f3fd5b671b2201154,92,www.canon-europe.com,ixus100,100,/,/,canondigitalixus100,4,3,8.7,5.45,133,/,canon
10877,5f3ba61f3fd5b671b2201157,93,www.canon-europe.com,a1400,1400,/,/,canonpowershota1400,4,5,9.47,6.17,174,/,canon
10878,5f3ba61f3fd5b671b2201161,94,www.canon-europe.com,ixus900,900,/,/,canondigitalixus900,4,3,0.0,0.0,,/,canon
10879,5f3ba61f3fd5b671b220116b,95,www.canon-europe.com,a480,480,/,/,canonpowershota480,4,3.3,9.209999999999999,6.2,187,/,canon
10880,5f3ba61f3fd5b671b2201182,96,www.canon-europe.com,d20,20,/,/,canonpowershotd20,4.0,5,11.23,7.08,228,/,canon
10881,5f3ba61f3fd5b671b2201192,97,www.canon-europe.com,a2200,2200,/,/,canonpowershota2200,4,4,9.32,5.720000000000001,135,/,canon
12642,5f3ba61f3fd5b671b2201119,98,www.canon-europe.com,a550,550,/,/,canonpowershota550,4,4,0.0,0.0,,/,canon
12643,5f3ba61f3fd5b671b2201120,99,www.canon-europe.com,a1300,1300,/,/,canonpowershota1300,4,5,9.47,6.17,174,/,canon
12644,5f3ba61f3fd5b671b2201123,100,www.canon-europe.com,g3,3,/,/,canonpowershotg3,3.6,4,0.0,0.0,,/,canon
12645,5f3ba61f3fd5b671b2201133,101,www.canon-europe.com,sx200,200,/,/,canonpowershotsx200,4,12,10.3,6.05,247,/,canon
12646,5f3ba61f3fd5b671b2201139,102,www.canon-europe.com,ixus220,220,/,/,canonixus220,4,5,9.22,5.59,141,/,canon
12647,5f3ba61f3fd5b671b220113e,103,www.canon-europe.com,ixus60,60,/,/,canondigitalixus60,4.0,3,0.0,0.0,,/,canon
12648,5f3ba61f3fd5b671b2201141,104,www.canon-europe.com,sx100,100,/,/,canonpowershotsx100,4,10,0.0,0.0,,/,canon
12649,5f3ba61f3fd5b671b220114b,105,www.canon-europe.com,ixus,,/,/,canondigitalixus,5.7,,0.0,0.0,,/,canon
12650,5f3ba61f3fd5b671b220114d,106,www.canon-europe.com,a630,630,/,/,canonpowershota630,4,4,0.0,0.0,,/,canon
12651,5f3ba61f3fd5b671b2201150,107,www.canon-europe.com,ixus40,40,/,/,canondigitalixus40,3.6,3,0.0,0.0,,/,canon
12652,5f3ba61f3fd5b671b2201183,108,www.canon-europe.com,a800,800,/,/,canonpowershota800,4,3.3,9.43,6.16,186,/,canon
12653,5f3ba61f3fd5b671b2201185,109,www.canon-europe.com,a460,460,/,/,canonpowershota460,4,4,0.0,0.0,,/,canon
12654,5f3ba61f3fd5b671b220118e,110,www.canon-europe.com,s120,120,/,/,canonpowershots120,4,5,10.02,5.9,217,/,canon
12655,5f3ba61f3fd5b671b2201195,111,www.canon-europe.com,sx210,210,/,/,canonpowershotsx210,4,14,10.58,5.93,215,/,canon
12656,5f3ba61f3fd5b671b2201197,112,www.canon-europe.com,ixus255,255,/,/,canonixus255,4,10,9.72,5.64,144,/,canon
12657,5f3ba61f3fd5b671b220119d,113,www.canon-europe.com,s2,2,/,/,canonpowershots2,4,12,0.0,0.0,,/,canon
12658,5f3ba61f3fd5b671b22011a6,114,www.canon-europe.com,s110,110,/,/,canonpowershots110,4,5,9.879999999999999,5.9,198,/,canon
12659,5f3ba61f3fd5b671b22011ab,115,www.canon-europe.com,s3,3,/,/,canonpowershots3,4.0,12,0.0,0.0,410,/,canon
14401,5f3ba61f3fd5b671b220111c,116,www.canon-europe.com,a1100,1100,/,/,canonpowershota1100,4,4,0.0,0.0,,/,canon
14402,5f3ba61f3fd5b671b2201125,117,www.canon-europe.com,a2300,2300,/,/,canonpowershota2300,4,5,9.440000000000001,5.42,125,/,canon
14403,5f3ba61f3fd5b671b2201128,118,www.canon-europe.com,ixus300,300,/,/,canonixus300,4,3.8,10.0,5.41,175,/,canon
14404,5f3ba61f3fd5b671b2201145,119,www.canon-europe.com,e1,1,/,/,canonpowershote1,4,4,0.0,0.0,,/,canon
14405,5f3ba61f3fd5b671b2201148,120,www.canon-europe.com,ixus960,960,/,/,canondigitalixus960,4,3.7,9.59,5.99,165,/,canon
14406,5f3ba61f3fd5b671b220114a,121,www.canon-europe.com,a60,60,/,/,canonpowershota60,2.5,3,10.1,6.4,215,/,canon
14407,5f3ba61f3fd5b671b220114e,122,www.canon-europe.com,s80,80,/,/,canonpowershots80,4.0,3.6,10.4,5.7,225,/,canon
14408,5f3ba61f3fd5b671b2201166,123,www.canon-europe.com,a650,650,/,/,canonpowershota650,4,6,0.0,0.0,,/,canon
14409,5f3ba61f3fd5b671b2201171,124,www.canon-europe.com,g6,6,/,/,canonpowershotg6,4.1,4,0.0,0.0,,/,canon
14410,5f3ba61f3fd5b671b2201173,125,www.canon-europe.com,a300,300,/,/,canonpowershota300,5.1,,11.0,5.8,175,/,canon
14411,5f3ba61f3fd5b671b2201181,126,www.canon-europe.com,a3100,3100,/,/,canonpowershota3100,4,4,9.72,5.82,155,/,canon
14412,5f3ba61f3fd5b671b2201194,127,www.canon-europe.com,sx10,10,/,/,canonpowershotsx10,4,20,0.0,0.0,,/,canon
14413,5f3ba61f3fd5b671b220119a,128,www.canon-europe.com,a2500,2500,/,/,canonpowershota2500,4,5,9.77,5.6,125,/,canon
14414,5f3ba61f3fd5b671b22011a3,129,www.canon-europe.com,sx110,110,/,/,canonpowershotsx110,4,10,11.059999999999999,7.040000000000001,245,/,canon
14415,5f3ba61f3fd5b671b22011a5,130,www.canon-europe.com,sx500,500,/,/,canonpowershotsx500,4,30,10.4,6.95,341,/,canon
16118,5f3ba61f3fd5b671b2201130,131,www.canon-europe.com,sx220,220.0,/,/,canonpowershotsx220,4.0,14,10.57,5.93,215,/,canon
16119,5f3ba61f3fd5b671b2201147,132,www.canon-europe.com,a3400,3400.0,/,/,canonpowershota3400,4,5,9.440000000000001,5.63,141,/,canon
16120,5f3ba61f3fd5b671b2201152,133,www.canon-europe.com,s100,100.0,/,/,canonpowershots100,4,5,9.89,5.9799999999999995,198,/,canon
16121,5f3ba61f3fd5b671b220115d,134,www.canon-europe.com,ixus,,/,/,canondigitalixus,4.0,2.4,9.61,4.51,105,/,canon
16122,5f3ba61f3fd5b671b2201165,135,www.canon-europe.com,sx160,160.0,/,/,canonpowershotsx160,4,16,11.1,7.25,291,/,canon
16123,5f3ba61f3fd5b671b220118f,136,www.canon-europe.com,a75,75.0,/,/,canonpowershota75,3.2,3,0.0,0.0,,/,canon
16124,5f3ba61f3fd5b671b220119e,137,www.canon-europe.com,ixus95,95.0,/,/,canondigitalixus95,4,3,8.85,5.4799999999999995,140,/,canon
16125,5f3ba61f3fd5b671b22011ac,138,www.canon-europe.com,ixus120,120.0,/,/,canondigitalixus120,4,4,8.95,5.49,140,/,canon
16126,5f3ba61f3fd5b671b22011ae,139,www.canon-europe.com,d10,10.0,/,/,canonpowershotd10,4,3,10.36,6.69,212,/,canon
17880,5f3ba61f3fd5b671b2201110,140,www.canon-europe.com,s90,90,/,/,canonpowershots90,4,3.8,10.0,5.84,198,/,canon
17881,5f3ba61f3fd5b671b2201116,141,www.canon-europe.com,a3000,3000,/,/,canonpowershota3000,4,4,9.72,5.82,155,/,canon
17882,5f3ba61f3fd5b671b220112a,142,www.canon-europe.com,a2600,2600,/,/,canonpowershota2600,4,5,9.77,5.6,135,/,canon
17883,5f3ba61f3fd5b671b220112c,143,www.canon-europe.com,pro1,1,/,/,canonpowershotpro1,3.2,7.0,0.0,0.0,,/,canon
17884,5f3ba61f3fd5b671b220113c,144,www.canon-europe.com,i5,5,/,/,canondigitalixusi5,6.5,,0.0,0.0,,/,canon
17885,5f3ba61f3fd5b671b220114c,145,www.canon-europe.com,a2000,2000,/,/,canonpowershota2000,4,6,0.0,0.0,,/,canon
17886,5f3ba61f3fd5b671b2201156,146,www.canon-europe.com,a70,70,/,/,canonpowershota70,3.2,3,10.1,6.4,215,/,canon
17887,5f3ba61f3fd5b671b220115e,147,www.canon-europe.com,a540,540,/,/,canonpowershota540,4,4,0.0,0.0,,/,canon
17888,5f3ba61f3fd5b671b220116c,148,www.canon-europe.com,g1,1,/,/,canonpowershotg1,4,4,11.67,8.05,534,/,canon
17889,5f3ba61f3fd5b671b2201175,149,www.canon-europe.com,s1,1,/,/,canonpowershots1,3.2,10,0.0,0.0,,/,canon
17890,5f3ba61f3fd5b671b2201176,150,www.canon-europe.com,ixus990,990,/,/,canonixus990,4,5,0.0,0.0,,/,canon
17891,5f3ba61f3fd5b671b220117a,151,www.canon-europe.com,g9,9,/,/,canonpowershotg9,4,6,0.0,0.0,,/,canon
17892,5f3ba61f3fd5b671b220117f,152,www.canon-europe.com,sx270,270,/,/,canonpowershotsx270,4.0,20,10.64,6.11,227,/,canon
19631,5f3ba61f3fd5b671b2201122,153,www.canon-europe.com,ixus870,870,/,/,canondigitalixus870,4,4,0.0,0.0,,/,canon
19632,5f3ba61f3fd5b671b2201127,154,www.canon-europe.com,ixus400,400,/,/,canondigitalixus400,3.6,3,8.7,5.7,185,/,canon
19633,5f3ba61f3fd5b671b2201131,155,www.canon-europe.com,a310,310,/,/,canonpowershota310,5.1,,0.0,0.0,,/,canon
19634,5f3ba61f3fd5b671b220116f,156,www.canon-europe.com,ixus140,140,/,/,canonixus140,4,8,9.540000000000001,5.6,133,/,canon
19635,5f3ba61f3fd5b671b2201174,157,www.canon-europe.com,a1200,1200,/,/,canonpowershota1200,4,4,9.75,6.25,185,/,canon
19636,5f3ba61f3fd5b671b2201178,158,www.canon-europe.com,a580,580,/,/,canonpowershota580,4,4,0.0,0.0,,/,canon
19637,5f3ba61f3fd5b671b220117c,159,www.canon-europe.com,g7,7,/,/,canonpowershotg7,4,6,0.0,0.0,,/,canon
19638,5f3ba61f3fd5b671b220118b,160,www.canon-europe.com,a2100,2100,/,/,canonpowershota2100,4,6,0.0,0.0,,/,canon
19639,5f3ba61f3fd5b671b220118d,161,www.canon-europe.com,ixus110,110,/,/,canonixus110,4,4,0.0,0.0,,/,canon
19640,5f3ba61f3fd5b671b220119b,162,www.canon-europe.com,a3300,3300,/,/,canonpowershota3300,4,5,9.51,5.67,149,/,canon
19641,5f3ba61f3fd5b671b22011a7,163,www.canon-europe.com,d30,30,/,/,canonpowershotd30,4.0,5,10.940000000000001,6.8,218,/,canon
19642,5f3ba61f3fd5b671b22011a8,164,www.canon-europe.com,a590,590,/,/,canonpowershota590,4,4,0.0,0.0,,/,canon
