key,source,props_number,props_artist,props_year,props_album,props_length,props_language,props_title,props_recId
58c007cf9184900a77a260c6,1,001,Tom Petty and the Heartbreakers,2011,Kiss My Amps Live,04:41,,Takin' My Time (Kiss My Amps Live),6563
58c007cf9184900a77a260c7,3,5,Jerry Rivera,'97,,5.025,Spanish,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,7765
58c007cf9184900a77a260c8,5,33,Burgo & David Haig,,Massive - Rock/Pop,30000,Englih,Sea Breeze (full mix),33
58c007cf9184900a77a260c9,3,7,Gabriel Pierné,'98,,8.542,Engilsh,Introduction et Variations sur une Ronde Populaire - Encore!,34
58c007cf9184900a77a260ca,4,11,Nihilistic Front,null,Mia Runa (2005),7m 9sec,Eng.,011-Der Weg Zum Licht,35
58c007cf9184900a77a260cb,1,007,Skatebård,2010,"Remix You, Remix Me",06:43,,"Vuelo (Frisvold & Lindbæk mix) (Remix You, Remix Me)",7586
58c007cf9184900a77a260cc,3,6,Sidney Bechet,,,2.895,[Multiple languages],Le Marchand de Poisson - Planet Jazz,6393
58c007cf9184900a77a260cd,2,8,,03,electronica@*.lv,319,English,Selffish - Sound Judgement,36
58c007cf9184900a77a260ce,1,005,X-Fusion,2007,Rotten to the Core,05:17,,Pitch Black (Rotten to the Core),3371
58c007cf9184900a77a260cf,2,5,,06,The Greatest Soul Collection,163,English,Sam Cooke - You Send Me,9071
58c007cf9184900a77a260d0,2,12,,,Románticos Inolvidables Vol 2,240,Spanish,Domenico Modugno - La distania es como el viento,37
58c007cf9184900a77a260d1,5,67,Stephan Sechi,,Funk,30000,English,,9318
58c007cf9184900a77a260d2,3,1,Roots Manuva,'05,,4.722,English,"Mind 2 Motion - Bluffers Guide, Volume 6",8711
58c007cf9184900a77a260d3,2,2,,98,Eleven Phases: Detroit Compilation,270,English,Lark Daddy - Flip Flop,38
58c007cf9184900a77a260d4,1,008,Ottorino Respighi,1995,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,02:42,,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),39
58c007cf9184900a77a260d5,5,4,Jason McCoy,2001,Honky Tonk Sonatas,195466,English,Ten Million Teardrops,3713
58c007cf9184900a77a260d6,3,2,Flo Rida feat. Akon,'10,Dat Girl,5.417,English,Who Dat Girl (Promise Land club mix),9109
58c007cf9184900a77a260d7,4,20,Feest Team,null,Apres Ski Safari: Vol 4 (2007),1m 46sec,n.a.,020-Annemarie,40
58c007cf9184900a77a260d8,4,6,Ella Fitzgerald,null,30 by Ella (1999),6m 42sec,Eng.,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,41
58c007cf9184900a77a260d9,2,B1,,11,Into the Wild,266,English,Uriah Heep - Southern Star,42
58c007cf9184900a77a260da,1,006,Hill Bowen & His Orchestra,1957,"For Hi-Fi Living, Volume 5: Love on Broadway",02:40,,"June Is Bustin' Out All Over (For Hi-Fi Living, Volume 5: Love on Broadway)",5576
58c007cf9184900a77a260db,2,8,,91,Revolution Calling,681,English,Guns N’ Roses - Estranged,43
58c007cf9184900a77a260dc,4,1,Astrud Gilberto,null,Look to the Rainbow (2008),2m 23sec, Eng.,001-Berimbou,9369
58c007cf9184900a77a260dd,2,22,,95,Ballet- Hits,188,English,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),5503
58c007cf9184900a77a260de,3,13,Lovett Sisters,'01,,2.642,English,"I Don't Want to Set the World on Fire - The Gals of the Big """"D"""" Jamboree",44
58c007cf9184900a77a260df,3,4,Yardbirds,'02,,2.609,English,Got to Hurry (take 4) - The Yardbirds Story,8013
58c007cf9184900a77a260e0,4,5,Camaron de la Isla,null,Una leyenda flamenca (1992),2m 42sec,Spa.,005-Al verte las flores lloran,45
58c007cf9184900a77a260e1,4,6,Dr. Dre Del,null,Dr Dre Del's Mic of Defiance (1999),unknown,Eng.,006-My Pretty Pecker,5552
58c007cf9184900a77a260e2,1,013,Jimmy Buffett,1998,Don't Stop the Carnival,00:50,,The Handiest Frenchman in the Caribbean (Don't Stop the Carnival),4384
58c007cf9184900a77a260e3,4,6,Noelle Hampton,null,Under  These Skies (unknown),6m 26sec,E.,006-Murder & Mayhem,46
58c007cf9184900a77a260e4,1,011,On Stage / In Studio,2012,On Stage / In Studio,03:02,,Apache (instrumental) (On Stage / In Studio),65
58c007cf9184900a77a260e5,4,5,Drive Like You Stole It,null,Frequency (unknown),2m 57sec,Eng.,005-Put Me Back Together,1168
58c007cf9184900a77a260e6,3,8,Scrooge,'97,,0.85,[Multiple languages],Mindsweeping - Cinematograph,47
58c007cf9184900a77a260e7,4,11,[religious music],null,The Inspiration f Gregorian Chant (1995),2m 41sec,Lat.,011-Easter Processions: Hymne,48
58c007cf9184900a77a260e8,5,4,,2003,The Working Model (Reverse),330946,English,Red Chips,49
58c007cf9184900a77a260e9,2,11,,03,Taito Não Engole Fichas,151,Portuguese,Carbona -  1001 Doses (Até Você Voltar),5803
58c007cf9184900a77a260ea,3,10,Eruca Sativa,'10,,4.283,Spanish,Mi apuesta - Es,50
58c007cf9184900a77a260eb,2,4,,98,Sacrebleu,297,French,Dimitri From Paris - Nothing to Lose,5404
58c007cf9184900a77a260ec,1,002,Frankie Goes to Hollywood,1990,The Power of Love,08:40,,The Power of Love (Rob Searle club mix),905
58c007cf9184900a77a260ed,2,3,,08,Tropical Monsters,227,English,Tropical Dudes - Busybodies,51
58c007cf9184900a77a260ee,4,5,Rattler,null,Demo 2012 (unknown),5m 12sec,Eng.,005-Piranhes,52
58c007cf9184900a77a260ef,2,6,,09,Poganjki,169,null,Uroš Rakovec Trio - Tako lepo bo,8680
58c007cf9184900a77a260f0,1,003,AG & Party Arty,2002,Art of War War,03:57,,War (Art of War),7769
58c007cf9184900a77a260f1,3,3,Spires That in the Sunset Rise,'05,,4.359,English,Little for a Lot - Four Winds the Walker,444
58c007cf9184900a77a260f2,3,4,Edward Mote & William B. Bradbury,,,3.1,English,The Solid Rock - World's Greatest Praise & Worship,5733
58c007cf9184900a77a260f3,4,3,Stereophonics,null,The Sunday Times: The State of Independence - V2 (2007),3m 37sec,Eng.,003-Jayne,53
58c007cf9184900a77a260f4,5,A3,Georges Brassens,1967,Volume 9 : Supplique pour être enterré à la plage de Sète,267693,French,La Fessée,8684
58c007cf9184900a77a260f5,3,2,Hilary Duff,' 03,,2.981,English,Why Not - The Lizzi eMcGuire Movie,54
58c007cf9184900a77a260f6,4,1,Battle Zone,null,Arson Around With Matches (unknown),unknown,Eng.,001-Nation of Sorrow,55
58c007cf9184900a77a260f7,5,2,Younnat,,Radiovision,181000,English,Ronin on Air,56
58c007cf9184900a77a260f8,1,010,FallOutBoy,2008,Now That's What I Call Music 26,03:35,,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You) (Now That's What I Call Music 26),3341
58c007cf9184900a77a260f9,4,22,Kruger Brothers,null,Carolina Scrapbook (1999),unknown,,022-Over There Story,57
58c007cf9184900a77a260fa,4,7,U2 & B.B. King,null,"1987-11-24: Tarrant County Convention Center, Fort Worth, TX, USA (unknown)",unknown,Enkg.,007-When Love Comes to Town,4987
58c007cf9184900a77a260fb,2,4,,,Dornröschen / Der Zauberladen,623,null,Пётр Ильич Чайковский - Pas d'action,404
58c007cf9184900a77a260fc,1,009,Macrosick,,"2005-04-02: The Spanish Moon, Baton Rouge, LA, USA",04:25,,"Acting (2005-04-02: The Spanish Moon, Baton Rouge, LA, USA)",2978
58c007cf9184900a77a260fd,2,1,,93,Sulk,276,English,Molly Half Head - Vivid Whitsun,58
58c007cf9184900a77a260fe,5,5,Telvin,2006,Telvin,420000,Turkish,Nefes (live in Bodrum),59
58c007cf9184900a77a260ff,3,53,マリア starring 田中理恵,'07,,0.104,Japanese,慈愛の言葉集/日常会話篇 - 「ハヤテのごとく!」 キャラクターCD 2,60
58c007cf9184900a77a26100,4,1,Jewel,null,Perfectly Clear (2008),4m 2sec,Eng.,001-Stronger Woman,61
58c007cf9184900a77a26101,4,6,Glass America,null,Fathom (unknown),3m 21sec,Eng.,006-Turning,223
58c007cf9184900a77a26102,2,6,,00,More Chants and Dances of the Native Americans,290,English,Sacred Spirit - Yane-Heja-Hee,1096
58c007cf9184900a77a26103,1,004,松任谷由実,1989,ANNIVERSARY〜無限にCALLING YOU,00:00,,ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),62
58c007cf9184900a77a26104,3,12,Kwest Tha Madd Lad,'96,,4.033,English,Butta-Few-Co - This Is My First Album,9645
58c007cf9184900a77a26105,2,4,,98,Carry On,167,English,aMnassas - Johnny's Garden,63
58c007cf9184900a77a26106,2,9,,,"2003-04-17: Langen, Germany",null,English,Symphony X - Of Sins and Shadows,64
58c007cf9184900a77a26107,5,11,Agents & Vesa Haaja,2012,On Stage / In Studio,182840,[Multiple languages],Apache (instrumental),65
58c007cf9184900a77a26108,1,010,Louis Armstrong,1994,The Quintessence: New York – Chicago 1925-1940,03:19,,Basin Street Blues (The Quintessence: New York – Chicago 1925-1940),7847
58c007cf9184900a77a26109,1,001,Klaus Suonsaari,,Portrait in Sound,03:21,,Semblance (Portrait in Sound),458
58c007cf9184900a77a2610a,2,19,,01,Bluegrass Bonanza,159,English,Lester Flatt & Earl Scruggs - I'm Going to Make Heaven My Home,6997
58c007cf9184900a77a2610b,4,11,Gianni Morandi,null,Come fa bene l'amore (2000),4m 59sec,Ita.,011-Non ti dimentichero,66
58c007cf9184900a77a2610c,1,003,CYNE,2005,Creating Your New Environment,03:19,,Evolution Fight (Creating Your New Environment),2744
58c007cf9184900a77a2610d,5,10,Wind Hearse,,Witch's Arrows,212000,English,***,67
58c007cf9184900a77a2610e,4,6,Erin McKeown,null,Paste mPlayer #77 (2013),2m 49sec,Eng.,006-The Jailer,5839
58c007cf9184900a77a2610f,1,012,Tátrai Band,1995,A hold szerelme,02:56,,A csend (A hold szerelme),5594
58c007cf9184900a77a26110,5,7,Sublime,2006,Everything Under the Sun,187986,English,STP,1349
58c007cf9184900a77a26111,4,1,The One AM Radio,null,Heaven Is Attached by a Slender Thhread (2011),3m 40sec,Eng.,001-Sunlight,68
58c007cf9184900a77a26112,4,5,Chenard Walcker,null,Middle (2004),2m 42sec,Eng.,005-Where the Wild Things Are,9270
58c007cf9184900a77a26113,3,6,Arif Sağ,'98,,4.167,Turkish,Gitme Durnam - Gurbeti Ben mi Yarattım,1215
58c007cf9184900a77a26114,3,1,Joy Division,'88,,3.539,English,Disorsder - Unknown Pleasures,69
58c007cf9184900a77a26115,2,5,,06,Mega Celtique,239,English,Bagad Roñsed-Mor - Gavoten Ar Vro Boulet,70
58c007cf9184900a77a26116,5,6,Amber Claire,2004,Love and Such,263543,English,Broken,71
58c007cf9184900a77a26117,4,6,Cristofano Malvezzi,null,"La Pellegrina: Music for the Wedding of Ferdinando de' Medici and Christine de Lorraine, Princess of France, Florence 1589 (Huelgas Ensemble feat. conductor: Paul Van Nevel) (1997)",4m 31sec,Ita.,"006-La Pellegrina, Intermedio No. 1 """"L'Armonia delle sfere"""": VI. Coppia gentil",9662
58c007cf9184900a77a26118,2,4,,01,Out for the Weekend,175,English,Coffin Nails - Daytime TV,72
58c007cf9184900a77a26119,3,2,Bishop Allen,'06,,3.083,English,Central Booking - Febuary,4877
58c007cf9184900a77a2611a,1,008,Bruno Mars feat. Damian Marley,2011,Doo-Wops & Hooligans,03:49,,Liquor Store Blues (Doo-Wops & Hooligans),73
58c007cf9184900a77a2611b,4,12,Tapio Heinonen,null,Paivat kuin unta (2008),3m 2sec,Fin.,012-Nyt jatan vanhan Turun,2258
58c007cf9184900a77a2611c,1,007,Jack Radics,,Always Around,04:11,,Confession (Always Around),333
58c007cf9184900a77a2611d,2,6,,93,U,148,nEglish,Ser Un Peyjalero - Peyjalero,74
58c007cf9184900a77a2611e,2,16,,06,あまえないでよっ!! さんとら冬盤,107,Japanese,岩崎文紀 - 深海の精,935
58c007cf9184900a77a2611f,2,12,,67,It's a Wonderful World,null,English,The Pair Extraonrdinaire - I'm a Believer,5575
58c007cf9184900a77a26120,4,13,Mak 10,null,Snoop Dogg Presents: The West Coast Blueprint (2010),4m 14sec,Eng.,013-Foe Life,5060
58c007cf9184900a77a26121,2,14,,06,De Hazes 100: Van de fans - Voor de fans,190,Dutch,André HazesR - Ik ben een gokker,75
58c007cf9184900a77a26122,2,9,,92,Midnight Sun,231,English,Herb Alpert - Silent Tears And Roses,406
58c007cf9184900a77a26123,1,9,Steen1,2009,Runoja kontrollihuoneesta,00:32,,Skit (Spürma (Puuhamaa skit)) (Runoja kontrollihuoneesta),76
58c007cf9184900a77a26124,5,11,Macromassa,1993,Los hechos Pérez,158000,Spanish,Bloque Metafísico: La proporción y las distancias,77
58c007cf9184900a77a26125,5,n.a.,Frederica von Stade,,Canteloube : Chants d'Auvergne,118373,French,Chut,78
58c007cf9184900a77a26126,5,3,Melanie O'Reilly,1998,Celtic Spirit: Tales of the Soul,262000,English,Oilean Draiochta,79
58c007cf9184900a77a26127,5,2,Abstract Tribe Unique,,Thynk Taynk -- Ocean Floor,151000,English,Explanation,7682
58c007cf9184900a77a26128,2,2,,01,Ahead of Their Time! Full Force's Greatest HXits,221,English,Full Force - Let's Dance Against the Wall,4093
58c007cf9184900a77a26129,3,6,Nadeem-Shravan,'05,,1.535,Hindi,Haste Suraj Ki - Dil Ka Rishta,80
58c007cf9184900a77a2612a,1,002,Lunchbox,2002,Evolver,06:21,,Particle/Wave (Evolver),9
58c007cf9184900a77a2612b,1,006,Violet Indiana,2004,Russian Doll,04:59,,You (Russian Doll),81
58c007cf9184900a77a2612c,2,11,,03,RTL Party Hits 2003,223,English,Loona - Rhythm of the Night,6936
58c007cf9184900a77a2612d,2,5,,11,Collect the Cuts 2,355,English,Deja-Move - Ways to Go,4811
58c007cf9184900a77a2612e,2,2,,88,"Intégrale Grand Jacques, Volume 10 : Ne me quitte pas",179,French,Jacques Brel - Marieke,82
58c007cf9184900a77a2612f,5,8,The DJ's Project,2005,Bring It Back,73000,English,VS. X-C alibur,8591
58c007cf9184900a77a26130,5,8,Lowland Trio,2002,Hollands Glorie: Lowland Trio,150000,Ducth,Van mij kan je de pot op,83
58c007cf9184900a77a26131,2,12,,98,Hotel Reboelje,342,"""Frisian, Western""","Reboelje - It famke, de hûn en de houtkapper",4085
58c007cf9184900a77a26132,1,006,Tim O’Brien,2008,Chameleon,03:52,,Megna's (Chameleon),84
58c007cf9184900a77a26133,5,6,Domain,2001,One Million Lightyears From Home,,English,Price of Time,7453
58c007cf9184900a77a26134,4,11,Jim Reeves,null,40 Golden Greats (1975),unknown,Eng.,011-You're the Only Good Thing (That's Happened to Me),85
58c007cf9184900a77a26135,5,3,Mind the Gap,2005,Make,,[Multiple languages],According to Me,86
58c007cf9184900a77a26136,3,5,Tracy Nelson,,,3.554,English,Won't Be Long - The Best of Tracy Nelson & Mother Earth,8956
58c007cf9184900a77a26137,4,6,Randy Crawford,null,The Love Songs (unknown),3m 44sec,unknown,006-Nightline,87
58c007cf9184900a77a26138,3,6,Cherokee National Youth Choir,'05,,1.217,English,Hymn 48 (Jesus Is King) - Cherokee Sunday Morning,88
58c007cf9184900a77a26139,3,6,Cecilia,'92,,,Spanish,Perdimos algo - Canciones inéditas,5278
58c007cf9184900a77a2613a,2,8,,07,殺シノ調ベ This is NOT Greatest Hits,313,Japanees,BUCK-TICK - LOVE ME,1607
58c007cf9184900a77a2613b,5,39,Daniel Stefanik,,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,430897,English,Sunday on My Mind (original mix),89
58c007cf9184900a77a2613c,2,10,,06,Finger Lickin' Thang 4,189,English,Plump DJs - Acid Hustle,673
58c007cf9184900a77a2613d,5,10,unk.,,Mark Sparks flute with Clinton Adams piano,84000,,Eight Pieces for Flute Alone -- Rezitativ,90
58c007cf9184900a77a2613e,4,11,,null,     (2008),unknown,Gre.,011- ,5955
58c007cf9184900a77a2613f,1,001,Hurricäde,2008,Hurricäde,01:51,,Voodoo Lovers (Hurricäde),3379
58c007cf9184900a77a26140,1,003,Kids,2007,Anthology,01:44,,We Are the Prisoners (Anthology),91
58c007cf9184900a77a26141,4,26,Disclosure feat. Ria Ritchie,null,FabricLive 71: DJ EZ (2013),2m 37sec,Eng.,026-Control,6185
58c007cf9184900a77a26142,5,7,Antonio Piacentino BRomano,1993,Italian Flute Concertos,311000,English,Concerto in G: I. Allegro ma non troppo,2544
58c007cf9184900a77a26143,2,3,,04,Share the Well,222,English,Caedmon's Call - There's Only One (Holy One),92
58c007cf9184900a77a26144,5,2,Marconi Union,2010,A Lost Connection,443440,English,Endless Winter,93
58c007cf9184900a77a26145,4,1,Caro Emerald,null,Live (unknown),4m 7sec,unnknown,001-One Day (Live),6045
58c007cf9184900a77a26146,5,3,The All‐American Rejects,,"Same Girl, New Songs",242000,English,Too Far Gone,94
58c007cf9184900a77a26147,3,4,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T",'04,,5.617,English,"Slow, Loud and Bangin' (S.L.A.B.ed) - Slow, Loud and Bangin', Volume 4",95
58c007cf9184900a77a26148,5,unk.,The Mulcahy Family,2000,The Mulcahy Family,179000,English,Junior Crehan's / Junior Crejan's (flings),96
58c007cf9184900a77a26149,1,002,George Frideric Handel,,Watermusic Suite / Music of the Royal Fireworks,02:25,,Watermusic Suite: Adagio e staccato (Watermusic Suite / Music of the Royal Fireworks),1728
58c007cf9184900a77a2614a,5,3,Transatlantic,2003,Live in Europe,402000,English,We  All Need Some Light,97
58c007cf9184900a77a2614b,2,4,,97,Relativ Positiv,181,German,Heli Deinboek -O berwart (Birmingham),8958
58c007cf9184900a77a2614c,1,001,Taaake,2007,Nattestid…,05:56,,Nattestid ser porten vid 1 (Nattestid…),1764
58c007cf9184900a77a2614d,2,6,,10,Illusion of Love,313,English,Xalm Retribution - Illusion of Love,98
58c007cf9184900a77a2614e,3,8,Wah!,'02,,3.75,English,Closing - Urban Mantra,99
58c007cf9184900a77a2614f,3,1,Pink Floyd,'87,,4.202,English,Astronomy Domine - The Piper at the Gates of Dawn,100
58c007cf9184900a77a26150,4,4,Kadri Savva,null,Voluaeg (2011),unknown,Est.,F004-Jouluohtu motisklus,101
58c007cf9184900a77a26151,1,012,Checco Zalone,,...Se non avrei fatto il cantande,03:08,,Ritardo mestruale (...Se non avrei fatto il cantande),6718
58c007cf9184900a77a26152,5,4,"Ольга Арефьева и группа """"Ковчег""""",2006,А и Б,291680,Russian,Родина,3925
58c007cf9184900a77a26153,1,001,Wolfgang Amadeus Mozart,1991,Frühe Symphonien,03:05,,"Symphonie Nr. 10 G-dur, KV 74: I. Allegro (Frühe Symphonien)",102
58c007cf9184900a77a26154,3,11,Vrai Ben feat. Yahlane,'09,,5.583,French,Je me rappelle d’une époque - Suicide commercial,103
58c007cf9184900a77a26155,5,34,Giles Perring & Edwards,,Middle East Beats,30000,English,Adhan Calling,8719
58c007cf9184900a77a26156,5,2,Café Tacvba,2005,Un viaje,138760,Spanish,Las batallas,8499
58c007cf9184900a77a26157,4,7,Coke Weed,null,,6m 38sec,Eng.,007-Someone So Young,9018
58c007cf9184900a77a26158,1,010,Antonín Dvořák,2004,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",06:20,,"Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances)",104
