,compared_resources,MPN_Liste_perc_nan,MPN_Liste_std_deviation,MPN_Liste_median,MPN_Liste_skewness,MPN_Liste_kurtosis,EAN_Liste_perc_nan,EAN_Liste_std_deviation,EAN_Liste_median,EAN_Liste_skewness,EAN_Liste_kurtosis,Produktname_dic3_perc_nan,Produktname_dic3_std_deviation,Produktname_dic3_median,Produktname_dic3_skewness,Produktname_dic3_kurtosis,Modell_Liste_perc_nan,Modell_Liste_std_deviation,Modell_Liste_median,Modell_Liste_skewness,Modell_Liste_kurtosis,Digital_zoom_perc_nan,Digital_zoom_std_deviation,Modell_Liste_median,Digital_zoom_skewness,Digital_zoom_kurtosis,optischer_zoom_perc_nan,optischer_zoom_std_deviation,optischer_zoom_median,optischer_zoom_skewness,optischer_zoom_kurtosis,Breite_perc_nan,Breite_std_deviation,Breite_median,Breite_skewness,Breite_kurtosis,Höhe_perc_nan,Höhe_std_deviation,Höhe_median,Höhe_skewness,Höhe_kurtosis,Gewicht_perc_nan,Gewicht_std_deviation,Gewicht_median,Gewicht_skewness,Gewicht_kurtosis,Sensortyp_perc_nan,Sensortyp_std_deviation,Sensortyp_median,Sensortyp_skewness,Sensortyp_kurtosis
13,www.price-hunt.com_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.64,0.09,-1.08,0.0,0.4,0.0,1.08,-0.56,95.65,0.0,0.0,0.0,0.0,95.65,0.33,1.0,-2.0,4.0,88.04,0.0,0.0,0.0,0.0,88.04,0.0,0.0,0.0,0.0,88.04,0.38,0.69,-0.76,-1.05,7.61,0.41,0.5,0.05,-1.69
14,www.gosale.com_www.eglobalcentral.co.uk.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.23,0.77,-0.37,-1.01,0.0,0.43,0.14,0.72,-1.3,100.0,2.0,0.14,2.0,2.0,93.04,0.13,0.0,3.32,11.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
15,www.garricks.com.au_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.23,0.68,-0.02,-1.38,0.0,0.45,0.39,-0.01,-1.85,100.0,2.0,0.39,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,95.16,0.41,0.0,1.73,2.0,3.23,0.36,0.33,0.61,-1.48
16,www.camerafarm.com.au_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.24,0.64,0.22,-1.33,0.0,0.43,0.4,0.12,-1.73,100.0,2.0,0.4,2.0,2.0,100.0,2.0,2.0,2.0,2.0,68.57,0.0,0.0,0.0,0.0,68.57,0.0,0.0,0.0,0.0,94.29,0.05,0.9,2.0,2.0,68.57,0.31,1.0,-0.75,-0.93
17,www.garricks.com.au_www.henrys.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.25,0.64,0.09,-1.48,0.0,0.42,0.33,0.11,-1.78,100.0,2.0,0.33,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,90.0,0.58,0.5,0.0,-6.0,5.0,0.4,1.0,-1.35,-0.12
18,www.canon-europe.com_www.eglobalcentral.co.uk.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.27,0.38,0.75,-1.3,0.0,0.32,0.0,1.85,2.4,91.67,0.05,0.0,-1.73,2.0,77.78,0.5,0.17,0.48,-2.25,11.11,0.31,0.0,2.24,3.72,11.11,0.3,0.0,2.59,5.37,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
19,www.canon-europe.com_www.shopbot.com.au.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.28,0.46,0.32,-1.71,0.0,0.41,0.17,0.81,-1.11,100.0,2.0,0.17,2.0,2.0,76.83,0.51,0.0,0.11,-2.24,20.73,0.36,0.0,1.66,0.98,20.73,0.35,0.0,1.78,1.36,81.71,0.5,1.0,-0.28,-2.14,100.0,2.0,2.0,2.0,2.0
20,www.garricks.com.au_www.ilgs.net.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.25,0.71,-0.25,-1.46,0.0,0.41,0.5,-0.04,-1.7,100.0,2.0,0.5,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,80.77,0.43,0.0,1.29,0.47,23.08,0.0,1.0,0.0,0.0
21,buy.net_www.canon-europe.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.29,0.38,0.54,-1.51,0.0,0.38,0.0,1.55,0.62,52.24,0.25,0.0,-1.98,2.08,29.85,0.45,0.0,0.65,-1.5,4.48,0.0,0.0,0.0,0.0,4.48,0.14,0.0,5.61,33.54,49.25,0.0,0.0,0.0,0.0,100.0,2.0,2.0,2.0,2.0
22,www.ilgs.net_www.gosale.com.csv,22.86,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.22,0.64,-0.0,-1.15,0.0,0.33,0.12,1.48,0.84,100.0,2.0,0.12,2.0,2.0,91.43,0.0,0.0,0.0,0.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,79.05,0.18,0.0,4.69,22.0,100.0,2.0,2.0,2.0,2.0
23,www.priceme.co.nz_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.65,-0.05,-0.97,0.0,0.43,0.12,0.73,-1.27,100.0,2.0,0.12,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
24,www.garricks.com.au_www.price-hunt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.26,0.66,-0.08,-1.37,0.0,0.44,0.14,0.55,-1.51,100.0,2.0,0.14,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,82.81,0.42,0.59,0.18,-1.77,0.0,0.4,1.0,-0.24,-1.76
25,www.wexphotographic.com_www.priceme.co.nz.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.77,-0.31,-1.08,0.0,0.43,0.25,0.43,-1.59,100.0,2.0,0.25,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
26,www.gosale.com_www.price-hunt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.21,0.71,-0.31,-0.75,0.0,0.32,0.0,1.83,1.93,100.0,2.0,0.0,2.0,2.0,83.93,0.38,0.0,1.26,-0.14,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,76.18,0.07,0.0,5.75,33.67,100.0,2.0,2.0,2.0,2.0
27,www.shopbot.com.au_cammarkt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.24,0.71,-0.15,-1.36,0.0,0.44,0.22,0.31,-1.72,100.0,2.0,0.22,2.0,2.0,99.0,2.0,0.0,2.0,2.0,30.0,0.32,0.0,1.81,1.91,29.0,0.31,0.0,2.07,2.84,69.0,0.34,0.21,0.41,-1.42,100.0,2.0,2.0,2.0,2.0
28,www.canon-europe.com_www.wexphotographic.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.3,0.82,-0.13,-1.89,0.0,0.4,0.14,1.2,-0.33,100.0,2.0,0.14,2.0,2.0,4.55,0.4,0.0,1.7,0.98,0.0,0.38,0.32,0.53,-1.11,0.0,0.4,0.15,0.88,-0.96,36.36,0.48,0.0,0.73,-1.67,100.0,2.0,2.0,2.0,2.0
29,www.gosale.com_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.21,0.63,0.13,-0.92,0.0,0.4,0.12,1.06,-0.62,100.0,2.0,0.12,2.0,2.0,99.53,2.0,0.44,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,96.23,0.0,0.0,0.0,0.0,100.0,2.0,2.0,2.0,2.0
30,www.ilgs.net_www.eglobalcentral.co.uk.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.26,0.72,-0.12,-1.54,0.0,0.43,0.33,0.17,-1.76,100.0,2.0,0.33,2.0,2.0,87.18,0.45,1.0,-2.24,5.0,17.95,0.4,0.0,1.3,-0.17,17.95,0.36,0.0,1.98,2.08,100.0,2.0,2.0,2.0,2.0,97.44,2.0,1.0,2.0,2.0
31,buy.net_www.ilgs.net.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.71,-0.1,-1.13,0.0,0.42,0.29,0.43,-1.53,66.2,0.5,0.29,0.35,-2.04,52.11,0.45,1.0,-0.53,-1.66,2.82,0.0,0.0,0.0,0.0,2.82,0.04,0.0,8.31,69.0,18.31,0.0,0.0,0.0,0.0,21.13,0.38,1.0,-0.94,-1.04
32,www.canon-europe.com_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.26,0.36,1.14,-0.4,0.0,0.3,0.0,2.27,4.28,64.52,0.0,0.0,0.0,0.0,67.74,0.47,0.39,0.17,-2.16,19.35,0.0,0.0,0.0,0.0,29.03,0.0,0.0,0.0,0.0,64.52,0.39,0.0,0.92,-1.02,100.0,2.0,2.0,2.0,2.0
33,www.shopbot.com.au_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.7,-0.01,-1.17,0.0,0.44,0.14,0.62,-1.46,100.0,2.0,0.14,2.0,2.0,99.46,2.0,0.0,2.0,2.0,88.65,0.0,0.0,0.0,0.0,88.65,0.0,0.0,0.0,0.0,98.38,0.58,0.0,1.73,2.0,100.0,2.0,2.0,2.0,2.0
34,buy.net_www.camerafarm.com.au.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.26,0.62,0.08,-1.57,0.0,0.45,0.5,-0.13,-1.84,100.0,2.0,0.5,2.0,2.0,100.0,2.0,2.0,2.0,2.0,9.43,0.0,0.0,0.0,0.0,9.43,0.0,0.0,0.0,0.0,90.57,0.0,0.0,0.0,0.0,81.13,0.26,1.0,-2.17,4.03
35,www.camerafarm.com.au_www.price-hunt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.26,0.76,-0.25,-1.45,0.0,0.41,0.5,-0.18,-1.59,100.0,2.0,0.5,2.0,2.0,100.0,2.0,2.0,2.0,2.0,16.67,0.32,0.0,2.37,3.99,16.67,0.3,0.0,2.81,6.3,80.56,0.47,0.67,-0.25,-2.39,86.11,0.45,1.0,-0.69,-2.85
36,www.wexphotographic.com_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.8,-0.39,-1.08,0.0,0.43,0.5,0.07,-1.77,100.0,2.0,0.5,2.0,2.0,84.78,0.25,1.0,-2.65,7.0,84.78,0.0,0.0,0.0,0.0,84.78,0.0,0.0,0.0,0.0,84.78,0.36,0.87,-1.52,2.27,8.7,0.31,0.33,0.92,-0.4
37,www.ilgs.net_www.shopbot.com.au.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.75,-0.08,-1.24,0.0,0.42,0.25,0.58,-1.38,100.0,2.0,0.25,2.0,2.0,93.33,0.41,0.0,2.45,6.0,47.78,0.25,0.0,2.76,6.43,47.78,0.26,0.0,2.91,7.01,86.67,0.38,0.0,1.74,1.63,100.0,2.0,2.0,2.0,2.0
38,www.camerafarm.com.au_www.garricks.com.au.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.25,1.0,-0.54,-1.52,0.0,0.46,1.0,-0.42,-1.78,100.0,2.0,1.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,92.86,0.0,1.0,2.0,2.0,75.0,0.4,1.0,-0.37,-2.8
39,buy.net_www.priceme.co.nz.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.21,0.77,-0.35,-0.8,0.0,0.43,0.17,0.56,-1.48,100.0,2.0,0.17,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
40,www.shopbot.com.au_www.priceme.co.nz.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.82,-0.68,-0.48,0.0,0.43,0.25,0.36,-1.66,100.0,2.0,0.25,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
41,www.buzzillions.com_www.garricks.com.au.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.24,0.55,0.44,-0.56,0.0,0.38,0.0,1.18,-0.19,100.0,2.0,0.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,47.13,0.33,1.0,-2.01,2.15
42,www.garricks.com.au_www.wexphotographic.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.25,0.83,-0.39,-1.39,0.0,0.41,0.5,-0.08,-1.68,100.0,2.0,0.5,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,85.19,0.5,0.0,2.0,4.0,0.0,0.33,1.0,-1.58,0.85
43,www.camerafarm.com.au_www.gosale.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.26,0.5,0.56,-1.24,0.0,0.41,0.21,0.67,-1.27,100.0,2.0,0.21,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
44,www.ebay.com_www.shopbot.com.au.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.25,0.67,-0.45,-0.63,0.48,0.33,0.0,1.76,1.62,100.0,2.0,0.0,2.0,2.0,87.73,0.43,0.0,1.01,-0.88,95.65,0.32,0.0,1.93,2.17,95.65,0.3,0.0,2.39,4.03,99.1,0.28,0.09,0.86,-1.03,100.0,2.0,2.0,2.0,2.0
45,www.buzzillions.com_www.priceme.co.nz.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.67,-0.19,-0.65,0.17,0.38,0.2,0.83,-0.93,100.0,2.0,0.2,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
46,www.ebay.com_www.gosale.com.csv,43.92,0.19,0.0,4.95,22.53,60.97,0.17,0.0,5.68,30.36,0.0,0.25,0.69,-0.44,-0.68,0.9,0.34,0.0,1.64,1.2,100.0,2.0,0.0,2.0,2.0,85.06,0.44,0.0,0.61,-1.49,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,99.06,0.17,0.0,5.2,27.0,100.0,2.0,2.0,2.0,2.0
47,www.camerafarm.com.au_www.eglobalcentral.co.uk.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.28,0.71,-0.1,-1.85,0.0,0.42,0.83,-0.52,-1.44,100.0,2.0,0.83,2.0,2.0,100.0,2.0,2.0,2.0,2.0,25.0,0.24,0.0,4.24,18.0,25.0,0.24,0.0,4.24,18.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
48,www.ebay.com_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.25,0.52,0.05,-0.72,2.8,0.35,0.0,1.62,1.0,100.0,2.0,0.0,2.0,2.0,95.33,0.5,0.72,-0.06,-2.1,97.98,0.0,0.0,0.0,0.0,98.44,0.0,0.0,0.0,0.0,99.84,2.0,0.99,2.0,2.0,99.22,0.41,0.1,1.78,3.15
49,www.garricks.com.au_www.gosale.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.24,0.62,-0.02,-1.25,0.0,0.42,0.14,0.66,-1.37,100.0,2.0,0.14,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,94.49,0.18,0.0,2.65,7.0,100.0,2.0,2.0,2.0,2.0
50,buy.net_www.shopbot.com.au.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.2,0.77,-0.47,-0.7,0.0,0.43,0.14,0.49,-1.58,100.0,2.0,0.14,2.0,2.0,92.65,0.37,0.0,1.69,1.3,10.88,0.0,0.0,0.0,0.0,10.88,0.02,0.0,17.41,303.0,78.24,0.0,0.0,0.0,0.0,100.0,2.0,2.0,2.0,2.0
51,www.gosale.com_cammarkt.com.csv,100.0,2.0,2.0,2.0,2.0,19.78,0.12,0.0,8.45,70.44,0.0,0.25,0.59,0.12,-1.32,0.0,0.41,0.17,0.61,-1.31,100.0,2.0,0.17,2.0,2.0,96.7,0.47,0.08,0.91,-1.77,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,58.24,0.19,0.0,3.23,11.17,100.0,2.0,2.0,2.0,2.0
52,www.shopbot.com.au_www.eglobalcentral.co.uk.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.22,0.82,-0.59,-0.72,0.0,0.45,0.14,0.47,-1.66,100.0,2.0,0.14,2.0,2.0,94.7,0.35,0.0,2.82,7.97,29.14,0.38,0.0,1.49,0.4,29.14,0.36,0.0,1.69,0.99,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
53,www.garricks.com.au_cammarkt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.24,0.67,-0.03,-0.97,0.0,0.46,0.0,0.48,-1.74,100.0,2.0,0.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,80.0,0.46,0.14,0.52,-2.17,22.86,0.35,1.0,-1.12,-0.5
54,buy.net_www.eglobalcentral.co.uk.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.23,0.8,-0.65,-0.7,0.0,0.46,0.25,0.22,-1.85,87.25,0.3,0.25,-2.27,5.04,80.39,0.48,1.0,-0.7,-1.67,7.84,0.0,0.0,0.0,0.0,7.84,0.0,0.0,0.0,0.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
